יצב
פעל 	הווה	_	_ 	_	ליצו_ב
פיעל 	הווה	_	_ 	_	ליצ_ב
פיעל 	הווה	_	_ 	_	לייצ_ב
נפעל 	הווה	_	_ 	_	להייצ_ב
נפעל 	הווה	_	_ 	_	להיצ_ב
הפעיל 	הווה	_	_ 	_	להצי_ב
התפעל 	הווה	_	_ 	_	להתיצ_ב
פעל 	עבר  	ראשון	זכר 	יחיד	יצ_בתי
פעל 	עבר  	ראשון	נקבה	יחיד	יצ_בתי
פעל 	עבר  	שני 	זכר 	יחיד	יצ_בת
פעל 	עבר  	שני 	נקבה	יחיד	יצ_בת
פעל 	עבר  	שלישי	זכר 	יחיד	יצ_ב
פעל 	עבר  	שלישי	נקבה	יחיד	יצ_בה
פעל 	עבר  	ראשון	זכר 	רבים	יצ_בנו
פעל 	עבר  	ראשון	נקבה	רבים	יצ_בנו
פעל 	עבר  	שני 	זכר 	רבים	יצ_בתמ
פעל 	עבר  	שני 	נקבה	רבים	יצ_בתנ
פעל 	עבר  	שלישי	זכר 	רבים	יצ_בו
פעל 	עבר  	שלישי	נקבה	רבים	יצ_בו
פעל 	הווה	ראשון	זכר 	יחיד	יוצ_ב
פעל 	הווה	ראשון	נקבה	יחיד	יוצ_בת
פעל 	הווה	שני 	זכר 	יחיד	יוצ_ב
פעל 	הווה	שני 	נקבה	יחיד	יוצ_בת
פעל 	הווה	שלישי	זכר 	יחיד	יוצ_ב
פעל 	הווה	שלישי	נקבה	יחיד	יוצ_בת
פעל 	הווה	ראשון	זכר 	רבים	יוצ_בימ
פעל 	הווה	ראשון	נקבה	רבים	יוצ_בות
פעל 	הווה	שני 	זכר 	רבים	יוצ_בימ
פעל 	הווה	שני 	נקבה	רבים	יוצ_בות
פעל 	הווה	שלישי	זכר 	רבים	יוצ_בימ
פעל 	הווה	שלישי	נקבה	רבים	יוצ_בות
פעל 	עתיד	ראשון	זכר 	יחיד	אצ_ב
פעל 	עתיד	ראשון	נקבה	יחיד	אצ_ב
פעל 	עתיד	שני 	זכר 	יחיד	תיצ_ב
פעל 	עתיד	שני 	נקבה	יחיד	תיצ_בי
