פעל 	עבר  	ראשון	זכר 	יחיד	_י_צ_בתי
פעל 	עבר  	ראשון	נקבה	יחיד	_י_צ_בתי
פעל 	עבר  	שני 	זכר 	יחיד	_י_צ_בת
פעל 	עבר  	שני 	נקבה	יחיד	_י_צ_בת
פעל 	עבר  	שלישי	זכר 	יחיד	_י_צ_ב
פעל 	עבר  	שלישי	נקבה	יחיד	_י_צ_בה
פעל 	עבר  	ראשון	זכר 	רבים	_י_צ_בנו
פעל 	עבר  	ראשון	נקבה	רבים	_י_צ_בנו
פעל 	עבר  	שני 	זכר 	רבים	_י_צ_בתם
פעל 	עבר  	שני 	נקבה	רבים	_י_צ_בתן
פעל 	עבר  	שלישי	זכר 	רבים	_י_צ_בו
פעל 	עבר  	שלישי	נקבה	רבים	_י_צ_בו
פעל 	הווה	ראשון	זכר 	יחיד	_יו_צ_ב
פעל 	הווה	ראשון	נקבה	יחיד	_יו_צ_בת
פעל 	הווה	שני 	זכר 	יחיד	_יו_צ_ב
פעל 	הווה	שני 	נקבה	יחיד	_יו_צ_בת
פעל 	הווה	שלישי	זכר 	יחיד	_יו_צ_ב
פעל 	הווה	שלישי	נקבה	יחיד	_יו_צ_בת
פעל 	הווה	ראשון	זכר 	רבים	_יו_צ_בים
פעל 	הווה	ראשון	נקבה	רבים	_יו_צ_בות
פעל 	הווה	שני 	זכר 	רבים	_יו_צ_בים
פעל 	הווה	שני 	נקבה	רבים	_יו_צ_בות
פעל 	הווה	שלישי	זכר 	רבים	_יו_צ_בים
פעל 	הווה	שלישי	נקבה	רבים	_יו_צ_בות
פעל 	עתיד	ראשון	זכר 	יחיד	א_צ_ב
פעל 	עתיד	ראשון	נקבה	יחיד	א_צ_ב
פעל 	עתיד	שני 	זכר 	יחיד	ת_י_צ_ב
פעל 	עתיד	שני 	נקבה	יחיד	ת_י_צ_בי
פעל 	עתיד	שלישי	זכר 	יחיד	י_י_צ_ב
פעל 	עתיד	שלישי	נקבה	יחיד	ת_י_צ_ב
פעל 	עתיד	ראשון	זכר 	רבים	נ_צ_ב
פעל 	עתיד	ראשון	נקבה	רבים	נ_צ_ב
פעל 	עתיד	שני 	זכר 	רבים	ת_י_צ_בו
פעל 	עתיד	שני 	נקבה	רבים	ת_י_צ_בנה
פעל 	עתיד	שלישי	זכר 	רבים	י_י_צ_בו
פעל 	עתיד	שלישי	נקבה	רבים	ת_י_צ_בנה
פעל 	ציווי	שני 	זכר 	יחיד	_צו_ב
פעל 	ציווי	שני 	נקבה	יחיד	_צ_בי
פעל 	ציווי	שני 	זכר 	רבים	_צ_בו
פעל 	ציווי	שני 	נקבה	רבים	_צו_בנה
נפעל	עבר 	ראשון	זכר 	יחיד	ני_צ_בתי
נפעל	עבר 	ראשון	נקבה	יחיד	ני_צ_בתי
נפעל	עבר 	שני 	זכר 	יחיד	ני_צ_בת
נפעל	עבר 	שני 	נקבה	יחיד	ני_צ_בת
נפעל	עבר 	שלישי	זכר 	יחיד	ני_צ_ב
נפעל	עבר 	שלישי	נקבה	יחיד	ני_צ_בה
נפעל	עבר 	ראשון	זכר 	רבים	ני_צ_בנו
נפעל	עבר 	ראשון	נקבה	רבים	ני_צ_בנו
נפעל	עבר 	שני 	זכר 	רבים	ני_צ_בתם
נפעל	עבר 	שני 	נקבה	רבים	ני_צ_בתן
נפעל	עבר 	שלישי	זכר 	רבים	ני_צ_בו
נפעל	עבר 	שלישי	נקבה	רבים	ני_צ_בו
נפעל	הווה	ראשון	זכר 	יחיד	ני_צ_ב
נפעל	הווה	ראשון	נקבה	יחיד	ני_צ_בת
נפעל	הווה	שני 	זכר 	יחיד	ני_צ_ב
נפעל	הווה	שני 	נקבה	יחיד	ני_צ_בת
נפעל	הווה	שלישי	זכר 	יחיד	ני_צ_ב
נפעל	הווה	שלישי	נקבה	יחיד	ני_צ_בת
נפעל	הווה	ראשון	זכר 	רבים	ני_צ_בים
נפעל	הווה	ראשון	נקבה	רבים	ני_צ_בות
נפעל	הווה	שני 	זכר 	רבים	ני_צ_בים
נפעל	הווה	שני 	נקבה	רבים	ני_צ_בות
נפעל	הווה	שלישי	זכר 	רבים	ני_צ_בים
נפעל	הווה	שלישי	נקבה	רבים	ני_צ_בות
נפעל	עתיד	ראשון	זכר 	יחיד	א_צ_ב
נפעל	עתיד	ראשון	נקבה	יחיד	א_צ_ב
נפעל	עתיד	שני 	זכר 	יחיד	תי_צ_ב
נפעל	עתיד	שני 	נקבה	יחיד	תי_צ_בי
נפעל	עתיד	שלישי	זכר 	יחיד	יי_צ_ב
נפעל	עתיד	שלישי	נקבה	יחיד	תי_צ_ב
נפעל	עתיד	ראשון	זכר 	רבים	ני_צ_ב
נפעל	עתיד	ראשון	נקבה	רבים	ני_צ_ב
נפעל	עתיד	שני 	זכר 	רבים	תי_צ_בו
נפעל	עתיד	שני 	נקבה	רבים	תי_צ_בנה
נפעל	עתיד	שלישי	זכר 	רבים	יי_צ_בו
נפעל	עתיד	שלישי	נקבה	רבים	תי_צ_בנה
נפעל	ציווי	שני 	זכר 	יחיד	הי_צ_ב
נפעל	ציווי	שני 	נקבה	יחיד	הי_צ_בי
נפעל	ציווי	שני 	זכר 	רבים	הי_צ_בו
נפעל	ציווי	שני 	נקבה	רבים	הי_צ_בנה
נפעל	עבר 	ראשון	זכר 	יחיד	נו_צ_בתי
נפעל	עבר 	ראשון	נקבה	יחיד	נו_צ_בתי
נפעל	עבר 	שני 	זכר 	יחיד	נו_צ_בת
נפעל	עבר 	שני 	נקבה	יחיד	נו_צ_בת
נפעל	עבר 	שלישי	זכר 	יחיד	נו_צ_ב
נפעל	עבר 	שלישי	נקבה	יחיד	נו_צ_בה
נפעל	עבר 	ראשון	זכר 	רבים	נו_צ_בנו
נפעל	עבר 	ראשון	נקבה	רבים	נו_צ_בנו
נפעל	עבר 	שני 	זכר 	רבים	נו_צ_בתם
נפעל	עבר 	שני 	נקבה	רבים	נו_צ_בתן
נפעל	עבר 	שלישי	זכר 	רבים	נו_צ_בו
נפעל	עבר 	שלישי	נקבה	רבים	נו_צ_בו
נפעל	הווה	ראשון	זכר 	יחיד	נו_צ_ב
נפעל	הווה	ראשון	נקבה	יחיד	נו_צ_בת
נפעל	הווה	שני 	זכר 	יחיד	נו_צ_ב
נפעל	הווה	שני 	נקבה	יחיד	נו_צ_בת
נפעל	הווה	שלישי	זכר 	יחיד	נו_צ_ב
נפעל	הווה	שלישי	נקבה	יחיד	נו_צ_בת
נפעל	הווה	ראשון	זכר 	רבים	נו_צ_בים
נפעל	הווה	ראשון	נקבה	רבים	נו_צ_בות
נפעל	הווה	שני 	זכר 	רבים	נו_צ_בים
נפעל	הווה	שני 	נקבה	רבים	נו_צ_בות
נפעל	הווה	שלישי	זכר 	רבים	נו_צ_בים
נפעל	הווה	שלישי	נקבה	רבים	נו_צ_בות
נפעל	עתיד	ראשון	זכר 	יחיד	או_צ_ב
נפעל	עתיד	ראשון	נקבה	יחיד	או_צ_ב
נפעל	עתיד	שני 	זכר 	יחיד	תיו_צ_ב
נפעל	עתיד	שני 	נקבה	יחיד	תיו_צ_בי
נפעל	עתיד	שלישי	זכר 	יחיד	ייו_צ_ב
נפעל	עתיד	שלישי	נקבה	יחיד	תיו_צ_ב
נפעל	עתיד	ראשון	זכר 	רבים	נו_צ_ב
נפעל	עתיד	ראשון	נקבה	רבים	נו_צ_ב
נפעל	עתיד	שני 	זכר 	רבים	תיו_צ_בו
נפעל	עתיד	שני 	נקבה	רבים	תיו_צ_בנה
נפעל	עתיד	שלישי	זכר 	רבים	יי_צ_בו
נפעל	עתיד	שלישי	נקבה	רבים	תיו_צ_בנה
פיעל	עבר 	ראשון	זכר 	יחיד	_יי_צ_בתי
פיעל	עבר 	ראשון	נקבה	יחיד	_יי_צ_בתי
פיעל	עבר 	שני 	זכר 	יחיד	_יי_צ_בת
פיעל	עבר 	שני 	נקבה	יחיד	_יי_צ_בת
פיעל	עבר 	שלישי	זכר 	יחיד	_יי_צ_ב
פיעל	עבר 	שלישי	נקבה	יחיד	_יי_צ_בה
פיעל	עבר 	ראשון	זכר 	רבים	_יי_צ_בנו
פיעל	עבר 	ראשון	נקבה	רבים	_יי_צ_בנו
פיעל	עבר 	שני 	זכר 	רבים	_יי_צ_בתם
פיעל	עבר 	שני 	נקבה	רבים	_יי_צ_בתן
פיעל	עבר 	שלישי	זכר 	רבים	_יי_צ_בו
פיעל	עבר 	שלישי	נקבה	רבים	_יי_צ_בו
פיעל	הווה	ראשון	זכר 	יחיד	מ_י_צ_ב
פיעל	הווה	ראשון	נקבה	יחיד	מ_י_צ_בת
פיעל	הווה	שני 	זכר 	יחיד	מ_י_צ_ב
פיעל	הווה	שני 	נקבה	יחיד	מ_י_צ_בת
פיעל	הווה	שלישי	זכר 	יחיד	מ_י_צ_ב
פיעל	הווה	שלישי	נקבה	יחיד	מ_י_צ_בת
פיעל	הווה	ראשון	זכר 	רבים	מ_י_צ_בים
פיעל	הווה	ראשון	נקבה	רבים	מ_י_צ_בות
פיעל	הווה	שני 	זכר 	רבים	מ_י_צ_בים
פיעל	הווה	שני 	נקבה	רבים	מ_י_צ_בות
פיעל	הווה	שלישי	זכר 	רבים	מ_י_צ_בים
פיעל	הווה	שלישי	נקבה	רבים	מ_י_צ_בות
פיעל	עתיד	ראשון	זכר 	יחיד	א_י_צ_ב
פיעל	עתיד	ראשון	נקבה	יחיד	א_י_צ_ב
פיעל	עתיד	שני 	זכר 	יחיד	ת_י_צ_ב
פיעל	עתיד	שני 	נקבה	יחיד	ת_י_צ_בי
פיעל	עתיד	שלישי	זכר 	יחיד	י_י_צ_ב
פיעל	עתיד	שלישי	נקבה	יחיד	ת_י_צ_ב
פיעל	עתיד	ראשון	זכר 	רבים	נ_י_צ_ב
פיעל	עתיד	ראשון	נקבה	רבים	נ_י_צ_ב
פיעל	עתיד	שני 	זכר 	רבים	ת_י_צ_בו
פיעל	עתיד	שני 	נקבה	רבים	ת_י_צ_בנה
פיעל	עתיד	שלישי	זכר 	רבים	י_י_צ_בו
פיעל	עתיד	שלישי	נקבה	רבים	ת_י_צ_בנה
פיעל	ציווי	שני 	זכר 	יחיד	_י_צ_ב
פיעל	ציווי	שני 	נקבה	יחיד	_י_צ_בי
פיעל	ציווי	שני 	זכר 	רבים	_י_צ_בו
פיעל	ציווי	שני 	נקבה	רבים	_י_צ_בנה
פועל	עבר 	ראשון	זכר 	יחיד	_יו_צ_בתי
פועל	עבר 	ראשון	נקבה	יחיד	_יו_צ_בתי
פועל	עבר 	שני 	זכר 	יחיד	_יו_צ_בת
פועל	עבר 	שני 	נקבה	יחיד	_יו_צ_בת
פועל	עבר 	שלישי	זכר 	יחיד	_יו_צ_ב
פועל	עבר 	שלישי	נקבה	יחיד	_יו_צ_בה
