נסק
פעל 	הווה	_	_ 	_	ל_נ_סו_ק
פעל 	הווה	_	_ 	_	לי_סו_ק
פעל 	הווה	_	_ 	_	ל_נ_ס_ק
פיעל 	הווה	_	_ 	_	ל_נ_ס_ק
נפעל 	הווה	_	_ 	_	להי_נ_ס_ק
נפעל 	הווה	_	_ 	_	לה_נ_ס_ק
הפעיל 	הווה	_	_ 	_	לה_סי_ק
התפעל 	הווה	_	_ 	_	להת_נ_ס_ק
פעל 	עבר  	ראשון	זכר 	יחיד	_נ_ס_קתי
פעל 	עבר  	ראשון	נקבה	יחיד	_נ_ס_קתי
פעל 	עבר  	שני 	זכר 	יחיד	_נ_ס_קת
פעל 	עבר  	שני 	נקבה	יחיד	_נ_ס_קת
פעל 	עבר  	שלישי	זכר 	יחיד	_נ_ס_ק
פעל 	עבר  	שלישי	נקבה	יחיד	_נ_ס_קה
פעל 	עבר  	ראשון	זכר 	רבים	_נ_ס_קנו
פעל 	עבר  	ראשון	נקבה	רבים	_נ_ס_קנו
פעל 	עבר  	שני 	זכר 	רבים	_נ_ס_קתמ
פעל 	עבר  	שני 	נקבה	רבים	_נ_ס_קתנ
פעל 	עבר  	שלישי	זכר 	רבים	_נ_ס_קו
פעל 	עבר  	שלישי	נקבה	רבים	_נ_ס_קו
פעל 	הווה	ראשון	זכר 	יחיד	_נו_ס_ק
פעל 	הווה	ראשון	נקבה	יחיד	_נו_ס_קת
פעל 	הווה	שני 	זכר 	יחיד	_נו_ס_ק
פעל 	הווה	שני 	נקבה	יחיד	_נו_ס_קת
פעל 	הווה	שלישי	זכר 	יחיד	_נו_ס_ק
פעל 	הווה	שלישי	נקבה	יחיד	_נו_ס_קת
פעל 	הווה	ראשון	זכר 	רבים	_נו_ס_קימ
פעל 	הווה	ראשון	נקבה	רבים	_נו_ס_קות
פעל 	הווה	שני 	זכר 	רבים	_נו_ס_קימ
פעל 	הווה	שני 	נקבה	רבים	_נו_ס_קות
פעל 	הווה	שלישי	זכר 	רבים	_נו_ס_קימ
פעל 	הווה	שלישי	נקבה	רבים	_נו_ס_קות
פעל 	עתיד	ראשון	זכר 	יחיד	א_נ_סו_ק
פעל 	עתיד	ראשון	נקבה	יחיד	א_נ_סו_ק
פעל 	עתיד	שני 	זכר 	יחיד	ת_נ_סו_ק
פעל 	עתיד	שני 	נקבה	יחיד	ת_נ_ס_קי
פעל 	עתיד	שלישי	זכר 	יחיד	י_נ_סו_ק
