נטי
פעל 	הווה	_	_ 	_	לנ_טות
פעל 	הווה	_	_ 	_	לי_טות
פעל 	הווה	_	_ 	_	לנ_טות
פיעל 	הווה	_	_ 	_	לנ_טות
נפעל 	הווה	_	_ 	_	להינ_טות
נפעל 	הווה	_	_ 	_	להנ_טות
הפעיל 	הווה	_	_ 	_	לה_טות
התפעל 	הווה	_	_ 	_	להתנ_טות
פעל 	עבר  	ראשון	זכר 	יחיד	נ_ט_יתי
פעל 	עבר  	ראשון	נקבה	יחיד	נ_ט_יתי
פעל 	עבר  	שני 	זכר 	יחיד	נ_ט_ית
פעל 	עבר  	שני 	נקבה	יחיד	נ_ט_ית
פעל 	עבר  	שלישי	זכר 	יחיד	נ_טה
פעל 	עבר  	שלישי	נקבה	יחיד	נ_טתה
פעל 	עבר  	ראשון	זכר 	רבים	נ_טינו
פעל 	עבר  	ראשון	נקבה	רבים	נ_טינו
פעל 	עבר  	שני 	זכר 	רבים	נ_טיתמ
פעל 	עבר  	שני 	נקבה	רבים	נ_טיתנ
פעל 	עבר  	שלישי	זכר 	רבים	נ_טו
פעל 	עבר  	שלישי	נקבה	רבים	נ_טו
פעל 	הווה	ראשון	זכר 	יחיד	נו_טה
פעל 	הווה	ראשון	נקבה	יחיד	נו_טה
פעל 	הווה	שני 	זכר 	יחיד	נו_טה
פעל 	הווה	שני 	נקבה	יחיד	נו_טה
פעל 	הווה	שלישי	זכר 	יחיד	נו_טה
פעל 	הווה	שלישי	נקבה	יחיד	נו_טה
פעל 	הווה	ראשון	זכר 	רבים	נו_טימ
פעל 	הווה	ראשון	נקבה	רבים	נו_טות
פעל 	הווה	שני 	זכר 	רבים	נו_טימ
פעל 	הווה	שני 	נקבה	רבים	נו_טות
פעל 	הווה	שלישי	זכר 	רבים	נו_טימ
פעל 	הווה	שלישי	נקבה	רבים	נו_טות
פעל 	עתיד	ראשון	זכר 	יחיד	אנ_טה
פעל 	עתיד	ראשון	נקבה	יחיד	אנ_טה
