לוי
פעל 	הווה	_	_ 	_	ל_נוות
פיעל 	הווה	_	_ 	_	ל_נוות
הפעיל 	הווה	_	_ 	_	לה_נוות
נפעל 	הווה	_	_ 	_	להי_נוות
נפעל 	הווה	_	_ 	_	לה_נוות
התפעל 	הווה	_	_ 	_	להת_נוות
פעל 	עבר 	ראשון	זכר 	יחיד	_נ_ויתי
פעל 	עבר 	ראשון	נקבה	יחיד	_נ_ויתי
פעל 	עבר 	שני 	זכר 	יחיד	_נ_וית
פעל 	עבר 	שני 	נקבה	יחיד	_נ_וית
פעל 	עבר 	שלישי	זכר 	יחיד	_נ_וה
פעל 	עבר 	שלישי	נקבה	יחיד	_נ_ותה
פעל 	עבר 	ראשון	זכר 	רבים	_נ_וינו
פעל 	עבר 	ראשון	נקבה	רבים	_נ_וינו
פעל 	עבר 	שני 	זכר 	רבים	_נ_ויתמ
פעל 	עבר 	שני 	נקבה	רבים	_נ_ויתנ
פעל 	עבר 	שלישי	זכר 	רבים	_נ_וו
פעל 	עבר 	שלישי	נקבה	רבים	_נ_וו
פעל 	הווה	ראשון	זכר 	יחיד	_נו_וה
פעל 	הווה	ראשון	נקבה	יחיד	_נו_וה
פעל 	הווה	שני 	זכר 	יחיד	_נו_וה
פעל 	הווה	שני 	נקבה	יחיד	_נו_וה
פעל 	הווה	שלישי	זכר 	יחיד	_נו_וה
פעל 	הווה	שלישי	נקבה	יחיד	_נו_וה
פעל 	הווה	ראשון	זכר 	רבים	_נו_וימ
פעל 	הווה	ראשון	נקבה	רבים	_נו_וות
פעל 	הווה	שני 	זכר 	רבים	_נו_וימ
פעל 	הווה	שני 	נקבה	רבים	_נו_וות
פעל 	הווה	שלישי	זכר 	רבים	_נו_וימ
פעל 	הווה	שלישי	נקבה	רבים	_נו_וות
פעל 	עתיד	ראשון	זכר 	יחיד	א_נ_וה
פעל 	עתיד	ראשון	נקבה	יחיד	א_נ_וה
פעל 	עתיד	שני 	זכר 	יחיד	ת_נ_וה
פעל 	עתיד	שני 	נקבה	יחיד	ת_נ_וי
פעל 	עתיד	שלישי	זכר 	יחיד	י_נ_וה
פעל 	עתיד	שלישי	נקבה	יחיד	ת_נ_וה
פעל 	עתיד	ראשון	זכר 	רבים	נ_נ_וה
פעל 	עתיד	ראשון	נקבה	רבים	נ_נ_וה
פעל 	עתיד	שני 	זכר 	רבים	ת_נ_וו
פעל 	עתיד	שני 	נקבה	רבים	ת_נ_וינה
פעל 	עתיד	שלישי	זכר 	רבים	י_נ_וו
פעל 	עתיד	שלישי	נקבה	רבים	ת_נ_וינה
פעל 	ציווי	שני 	זכר 	יחיד	_נ_וה
פעל 	ציווי	שני 	נקבה	יחיד	_נ_וי
פעל 	ציווי	שני 	זכר 	רבים	_נ_וו
פעל 	ציווי	שני 	נקבה	רבים	_נ_וינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_נ_ויתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_נ_ויתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_נ_וית
נפעל 	עבר 	שני 	נקבה	יחיד	נ_נ_וית
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_נ_וה
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_נ_ותה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_נ_וינו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_נ_וינו
נפעל 	עבר 	שני 	זכר 	רבים	נ_נ_ויתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_נ_ויתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_נ_וו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_נ_וו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_נ_וה
נפעל 	הווה	ראשון	נקבה	יחיד	נ_נ_וית
נפעל 	הווה	שני 	זכר 	יחיד	נ_נ_וה
נפעל 	הווה	שני 	נקבה	יחיד	נ_נ_וית
נפעל 	הווה	שלישי	זכר 	יחיד	נ_נ_וה
נפעל 	הווה	שלישי	נקבה	יחיד	נ_נ_וית
נפעל 	הווה	ראשון	זכר 	רבים	נ_נ_וימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_נ_וות
נפעל 	הווה	שני 	זכר 	רבים	נ_נ_וימ
נפעל 	הווה	שני 	נקבה	רבים	נ_נ_וות
נפעל 	הווה	שלישי	זכר 	רבים	נ_נ_וימ
נפעל 	הווה	שלישי	נקבה	רבים	נ_נ_וות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_נ_וה
נפעל 	עתיד	ראשון	נקבה	יחיד	א_נ_וה
נפעל 	עתיד	שני 	זכר 	יחיד	ת_נ_וה
נפעל 	עתיד	שני 	נקבה	יחיד	ת_נ_וי
נפעל 	עתיד	שלישי	זכר 	יחיד	י_נ_וה
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_נ_וה
נפעל 	עתיד	ראשון	זכר 	רבים	נ_נ_וה
נפעל 	עתיד	ראשון	נקבה	רבים	נ_נ_וה
נפעל 	עתיד	שני 	זכר 	רבים	ת_נ_וו
נפעל 	עתיד	שני 	נקבה	רבים	ת_נ_וינה
נפעל 	עתיד	שלישי	זכר 	רבים	י_נ_וו
נפעל 	עתיד	שלישי	נקבה	רבים	ת_נ_וינה
נפעל 	ציווי	שני 	זכר 	יחיד	ה_נ_וה
נפעל 	ציווי	שני 	נקבה	יחיד	ה_נ_וי
נפעל 	ציווי	שני 	זכר 	רבים	ה_נ_וו
נפעל 	ציווי	שני 	נקבה	רבים	ה_נ_וינה
פיעל	עבר 	ראשון	זכר 	יחיד	_ני_ויתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ני_ויתי
פיעל	עבר 	שני 	זכר 	יחיד	_ני_וית
פיעל	עבר 	שני 	נקבה	יחיד	_ני_וית
פיעל	עבר 	שלישי	זכר 	יחיד	_ני_וה
פיעל	עבר 	שלישי	נקבה	יחיד	_ני_ותה
פיעל	עבר 	ראשון	זכר 	רבים	_ני_וינו
פיעל	עבר 	ראשון	נקבה	רבים	_ני_וינו
פיעל	עבר 	שני 	זכר 	רבים	_ני_ויתמ
פיעל	עבר 	שני 	נקבה	רבים	_ני_ויתנ
פיעל	עבר 	שלישי	זכר 	רבים	_ני_וו
פיעל	עבר 	שלישי	נקבה	רבים	_ני_וו
פיעל	הווה	ראשון	זכר 	יחיד	מ_נ_וה
פיעל	הווה	ראשון	נקבה	יחיד	מ_נ_וה
פיעל	הווה	שני 	זכר 	יחיד	מ_נ_וה
פיעל	הווה	שני 	נקבה	יחיד	מ_נ_וה
פיעל	הווה	שלישי	זכר 	יחיד	מ_נ_וה
פיעל	הווה	שלישי	נקבה	יחיד	מ_נ_וה
פיעל	הווה	ראשון	זכר 	רבים	מ_נ_וימ
פיעל	הווה	ראשון	נקבה	רבים	מ_נ_וות
פיעל	הווה	שני 	זכר 	רבים	מ_נ_וימ
פיעל	הווה	שני 	נקבה	רבים	מ_נ_וות
פיעל	הווה	שלישי	זכר 	רבים	מ_נ_וימ
פיעל	הווה	שלישי	נקבה	רבים	מ_נ_וות
פיעל	עתיד	ראשון	זכר 	יחיד	א_נ_וה
פיעל	עתיד	ראשון	נקבה	יחיד	א_נ_וה
פיעל	עתיד	שני 	זכר 	יחיד	ת_נ_וה
פיעל	עתיד	שני 	נקבה	יחיד	ת_נ_וי
פיעל	עתיד	שלישי	זכר 	יחיד	י_נ_וה
פיעל	עתיד	שלישי	נקבה	יחיד	ת_נ_וה
פיעל	עתיד	ראשון	זכר 	רבים	נ_נ_וה
פיעל	עתיד	ראשון	נקבה	רבים	נ_נ_וה
פיעל	עתיד	שני 	זכר 	רבים	ת_נ_וו
פיעל	עתיד	שני 	נקבה	רבים	ת_נ_וינה
פיעל	עתיד	שלישי	זכר 	רבים	י_נ_וו
פיעל	עתיד	שלישי	נקבה	רבים	ת_נ_וינה
פיעל	ציווי	שני 	זכר 	יחיד	_נ_וה
פיעל	ציווי	שני 	נקבה	יחיד	_נ_וי
פיעל	ציווי	שני 	זכר 	רבים	_נ_וו
פיעל	ציווי	שני 	נקבה	רבים	_נ_וינה
פועל	עבר 	ראשון	זכר 	יחיד	_נו_ויתי
פועל	עבר 	ראשון	נקבה	יחיד	_נו_ויתי
פועל	עבר 	שני 	זכר 	יחיד	_נו_וית
פועל	עבר 	שני 	נקבה	יחיד	_נו_וית
פועל	עבר 	שלישי	זכר 	יחיד	_נו_וה
פועל	עבר 	שלישי	נקבה	יחיד	_נו_ותה
פועל	עבר 	ראשון	זכר 	רבים	_נו_וינו
פועל	עבר 	ראשון	נקבה	רבים	_נו_וינו
פועל	עבר 	שני 	זכר 	רבים	_נו_ויתמ
פועל	עבר 	שני 	נקבה	רבים	_נו_ויתנ
פועל	עבר 	שלישי	זכר 	רבים	_נו_וו
פועל	עבר 	שלישי	נקבה	רבים	_נו_וו
פועל	הווה	ראשון	זכר 	יחיד	מ_נו_וה
פועל	הווה	ראשון	נקבה	יחיד	מ_נו_וה
פועל	הווה	שני 	זכר 	יחיד	מ_נו_וה
פועל	הווה	שני 	נקבה	יחיד	מ_נו_וה
פועל	הווה	שלישי	זכר 	יחיד	מ_נו_וה
פעל 	הווה	שלישי	נקבה	יחיד	מ_נו_וה
פועל	הווה	ראשון	זכר 	רבים	מ_נו_וימ
פועל	הווה	ראשון	נקבה	רבים	מ_נו_וות
פועל	הווה	שני 	זכר 	רבים	מ_נו_וימ
פועל	הווה	שני 	נקבה	רבים	מ_נו_וות
פועל	הווה	שלישי	זכר 	רבים	מ_נו_וימ
פועל	הווה	שלישי	נקבה	רבים	מ_נו_וות
פועל	עתיד	ראשון	זכר 	יחיד	א_נו_וה
פועל	עתיד	ראשון	נקבה	יחיד	א_נו_וה
