קרר
פעל 	עבר 	ראשון	זכר 	יחיד	_ק_ר_רתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ק_ר_רתי
פעל 	עבר 	שני 	זכר 	יחיד	_ק_ר_רת
פעל 	עבר 	שני 	נקבה	יחיד	_ק_ר_רת
פעל 	עבר 	שלישי	זכר 	יחיד	_ק_ר_ר
פעל 	עבר 	שלישי	נקבה	יחיד	_ק_ר_רה
פעל 	עבר 	ראשון	זכר 	רבים	_ק_ר_רנו
פעל 	עבר 	ראשון	נקבה	רבים	_ק_ר_רנו
פעל 	עבר 	שני 	זכר 	רבים	_ק_ר_רתם
פעל 	עבר 	שני 	נקבה	רבים	_ק_ר_רתן
פעל 	עבר 	שלישי	זכר 	רבים	_ק_ר_רו
פעל 	עבר 	שלישי	נקבה	רבים	_ק_ר_רו
פעל 	הווה	ראשון	זכר 	יחיד	_ק_ר_ר
פעל 	הווה	ראשון	נקבה	יחיד	_ק_ר_רה
פעל 	הווה	שני 	זכר 	יחיד	_ק_ר_ר
פעל 	הווה	שני 	נקבה	יחיד	_ק_ר_רה
פעל 	הווה	שלישי	זכר 	יחיד	_ק_ר_ר
פעל 	הווה	שלישי	נקבה	יחיד	_ק_ר_רה
פעל 	הווה	ראשון	זכר 	רבים	_ק_ר_רים
פעל 	הווה	ראשון	נקבה	רבים	_ק_ר_רות
פעל 	הווה	שני 	זכר 	רבים	_ק_ר_רים
פעל 	הווה	שני 	נקבה	רבים	_ק_ר_רות
פעל 	הווה	שלישי	זכר 	רבים	_ק_ר_רים
פעל 	הווה	שלישי	נקבה	רבים	_ק_ר_רות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ק_רו_ר
פעל 	עתיד	ראשון	נקבה	יחיד	א_ק_רו_ר
פעל 	עתיד	שני 	זכר 	יחיד	ת_ק_רו_ר
פעל 	עתיד	שני 	נקבה	יחיד	ת_ק_רו_רי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ק_רו_ר
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ק_רו_ר
פעל 	עתיד	ראשון	זכר 	רבים	נ_ק_רו_ר
פעל 	עתיד	ראשון	נקבה	רבים	נ_ק_רו_ר
פעל 	עתיד	שני 	זכר 	רבים	ת_ק_רו_רו
פעל 	עתיד	שני 	נקבה	רבים	ת_ק_רו_רנה
פעל 	עתיד	שלישי	זכר 	רבים	י_ק_רו_רו
