מצי
פעל 	עבר 	ראשון	זכר 	יחיד	_מ_ציתי
פעל 	עבר 	ראשון	נקבה	יחיד	_מ_ציתי
פעל 	עבר 	שני 	זכר 	יחיד	_מ_צית
פעל 	עבר 	שני 	נקבה	יחיד	_מ_צית
פעל 	עבר 	שלישי	זכר 	יחיד	_מ_צה
פעל 	עבר 	שלישי	נקבה	יחיד	_מ_צתה
פעל 	עבר 	ראשון	זכר 	רבים	_מ_צינו
פעל 	עבר 	ראשון	נקבה	רבים	_מ_צינו
פעל 	עבר 	שני 	זכר 	רבים	_מ_ציתם
פעל 	עבר 	שני 	נקבה	רבים	_מ_ציתן
פעל 	עבר 	שלישי	זכר 	רבים	_מ_צו
פעל 	עבר 	שלישי	נקבה	רבים	_מ_צו
פעל 	הווה	ראשון	זכר 	יחיד	_מו_צה
פעל 	הווה	ראשון	נקבה	יחיד	_מו_צה
פעל 	הווה	שני 	זכר 	יחיד	_מו_צה
פעל 	הווה	שני 	נקבה	יחיד	_מו_צה
פעל 	הווה	שלישי	זכר 	יחיד	_מו_צה
פעל 	הווה	שלישי	נקבה	יחיד	_מו_צה
פעל 	הווה	ראשון	זכר 	רבים	_מו_צים
פעל 	הווה	ראשון	נקבה	רבים	_מו_צות
פעל 	הווה	שני 	זכר 	רבים	_מו_צים
פעל 	הווה	שני 	נקבה	רבים	_מו_צות
פעל 	הווה	שלישי	זכר 	רבים	_מו_צים
פעל 	הווה	שלישי	נקבה	רבים	_מו_צות
פעל 	עתיד	ראשון	זכר 	יחיד	א_מ_צה
פעל 	עתיד	ראשון	נקבה	יחיד	א_מ_צה
פעל 	עתיד	שני 	זכר 	יחיד	ת_מ_צה
פעל 	עתיד	שני 	נקבה	יחיד	ת_מ_צי
פעל 	עתיד	שלישי	זכר 	יחיד	י_מ_צה
פעל 	עתיד	שלישי	נקבה	יחיד	ת_מ_צה
פעל 	עתיד	ראשון	זכר 	רבים	נ_מ_צה
פעל 	עתיד	ראשון	נקבה	רבים	נ_מ_צה
פעל 	עתיד	שני 	זכר 	רבים	ת_מ_צו
פעל 	עתיד	שני 	נקבה	רבים	ת_מ_צינה
פעל 	עתיד	שלישי	זכר 	רבים	י_מ_צו
פעל 	עתיד	שלישי	נקבה	רבים	ת_מ_צינה
פעל 	ציווי	שני 	זכר 	יחיד	_מ_צה
פעל 	ציווי	שני 	נקבה	יחיד	_מ_צי
פעל 	ציווי	שני 	זכר 	רבים	_מ_צו
פעל 	ציווי	שני 	נקבה	רבים	_מ_צינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_מ_ציתי
