קומ
פעל 	הווה	_	_ 	_	ל_קו_מ
פיעל 	הווה	_	_ 	_	ל_קיי_מ
פיעל 	הווה	_	_ 	_	ל_קי_מ
פיעל 	הווה	_	_ 	_	ל_קו_מ_מ
הפעיל 	הווה	_	_ 	_	לה_קי_מ
התפעל 	הווה	_	_ 	_	להת_קו_מ_מ
פעל 	עבר 	ראשון	זכר 	יחיד	_ק_מתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ק_מתי
פעל 	עבר 	שני 	זכר 	יחיד	_ק_מת
פעל 	עבר 	שני 	נקבה	יחיד	_ק_מת
פעל 	עבר 	שלישי	זכר 	יחיד	_ק_מ
פעל 	עבר 	שלישי	נקבה	יחיד	_ק_מה
פעל 	עבר 	ראשון	זכר 	רבים	_ק_מנו
פעל 	עבר 	ראשון	נקבה	רבים	_ק_מנו
פעל 	עבר 	שני 	זכר 	רבים	_ק_מתמ
פעל 	עבר 	שני 	נקבה	רבים	_ק_מתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ק_מו
פעל 	עבר 	שלישי	נקבה	רבים	_ק_מו
פעל 	הווה	ראשון	זכר 	יחיד	_ק_מ
פעל 	הווה	ראשון	נקבה	יחיד	_ק_מה
פעל 	הווה	שני 	זכר 	יחיד	_ק_מ
פעל 	הווה	שני 	נקבה	יחיד	_ק_מה
פעל 	הווה	שלישי	זכר 	יחיד	_ק_מ
פעל 	הווה	שלישי	נקבה	יחיד	_ק_מה
פעל 	הווה	ראשון	זכר 	רבים	_ק_מימ
פעל 	הווה	ראשון	נקבה	רבים	_ק_מות
פעל 	הווה	שני 	זכר 	רבים	_ק_מימ
פעל 	הווה	שני 	נקבה	רבים	_ק_מות
פעל 	הווה	שלישי	זכר 	רבים	_ק_מימ
פעל 	הווה	שלישי	נקבה	רבים	_ק_מות
פעל 	עתיד	ראשון	זכר 	יחיד	א_קו_מ
פעל 	עתיד	ראשון	נקבה	יחיד	א_קו_מ
פעל 	עתיד	שני 	זכר 	יחיד	ת_קו_מ
פעל 	עתיד	שני 	נקבה	יחיד	ת_קו_מי
פעל 	עתיד	שלישי	זכר 	יחיד	י_קו_מ
פעל 	עתיד	שלישי	נקבה	יחיד	ת_קו_מ
פעל 	עתיד	ראשון	זכר 	רבים	נ_קו_מ
פעל 	עתיד	ראשון	נקבה	רבים	נ_קו_מ
פעל 	עתיד	שני 	זכר 	רבים	ת_קו_מו
פעל 	עתיד	שני 	נקבה	רבים	ת_קו_מנה
פעל 	עתיד	שלישי	זכר 	רבים	י_קו_מו
פעל 	עתיד	שלישי	נקבה	רבים	י_קו_מנה
פעל 	ציווי	שני 	זכר 	יחיד	_קו_מ
פעל 	ציווי	שני 	נקבה	יחיד	_קו_מי
פעל 	ציווי	שני 	זכר 	רבים	_קו_מו
פעל 	ציווי	שני 	נקבה	רבים	_קו_מנה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_קו_מתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_קו_מתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_קו_מת
נפעל 	עבר 	שני 	נקבה	יחיד	נ_קו_מת
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_קו_מ
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_קו_מה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_קו_מו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_קו_מו
נפעל 	עבר 	שני 	זכר 	רבים	נ_קו_מתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_קו_מתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_קו_מו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_קו_מו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_קו_מ
נפעל 	הווה	ראשון	נקבה	יחיד	נ_קו_מה
נפעל 	הווה	שני 	זכר 	יחיד	נ_קו_מ
נפעל 	הווה	שני 	נקבה	יחיד	נ_קו_מה
נפעל 	הווה	שלישי	זכר 	יחיד	נ_קו_מ
נפעל 	הווה	שלישי	נקבה	יחיד	נ_קו_מה
נפעל 	הווה	ראשון	זכר 	רבים	נ_קו_מימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_קו_מות
נפעל 	הווה	שני 	זכר 	רבים	נ_קו_מימ
נפעל 	הווה	שני 	נקבה	רבים	נ_קו_מות
נפעל 	הווה	שלישי	זכר 	רבים	נ_קו_מימ
נפעל 	הווה	שלישי	נקבה	רבים	נ_קו_מות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_קו_מ
נפעל 	עתיד	ראשון	נקבה	יחיד	א_קו_מ
נפעל 	עתיד	שני 	זכר 	יחיד	ת_קו_מ
נפעל 	עתיד	שני 	נקבה	יחיד	ת_קו_מי
נפעל 	עתיד	שלישי	זכר 	יחיד	י_קו_מ
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_קו_מ
נפעל 	עתיד	ראשון	זכר 	רבים	נ_קו_מ
נפעל 	עתיד	ראשון	נקבה	רבים	נ_קו_מ
נפעל 	עתיד	שני 	זכר 	רבים	ת_קו_מו
נפעל 	עתיד	שני 	נקבה	רבים	ת_קו_מנה
נפעל 	עתיד	שלישי	זכר 	רבים	י_קו_מו
נפעל 	עתיד	שלישי	נקבה	רבים	ת_קו_מנה
נפעל 	ציווי	שני 	זכר 	יחיד	הי_קו_מ
נפעל 	ציווי	שני 	נקבה	יחיד	הי_קו_מי
נפעל 	ציווי	שני 	זכר 	רבים	הי_קו_מו
נפעל 	ציווי	שני 	נקבה	רבים	הי_קו_מנה
פיעל	עבר 	ראשון	זכר 	יחיד	_קי_ו_מתי
פיעל	עבר 	ראשון	נקבה	יחיד	_קי_ו_מתי
פיעל	עבר 	שני 	זכר 	יחיד	_קי_ו_מתי
פיעל	עבר 	שני 	נקבה	יחיד	_קי_ו_מתי
פיעל	עבר 	שלישי	זכר 	יחיד	_קי_ו_מ
פיעל	עבר 	שלישי	נקבה	יחיד	_קי_ו_מה
פיעל	עבר 	ראשון	זכר 	רבים	_קי_ו_מו
פיעל	עבר 	ראשון	נקבה	רבים	_קי_ו_מו
פיעל	עבר 	שני 	זכר 	רבים	_קי_ו_מתמ
