לוי
פעל 	הווה	_	_ 	_	ל_לוות
פיעל 	הווה	_	_ 	_	ל_לוות
הפעיל 	הווה	_	_ 	_	לה_לוות
נפעל 	הווה	_	_ 	_	להי_לוות
נפעל 	הווה	_	_ 	_	לה_לוות
התפעל 	הווה	_	_ 	_	להת_לוות
פעל 	עבר 	ראשון	זכר 	יחיד	_לויתי
פעל 	עבר 	ראשון	נקבה	יחיד	_לויתי
פעל 	עבר 	שני 	זכר 	יחיד	_לוית
פעל 	עבר 	שני 	נקבה	יחיד	_לוית
פעל 	עבר 	שלישי	זכר 	יחיד	_לוה
פעל 	עבר 	שלישי	נקבה	יחיד	_לותה
פעל 	עבר 	ראשון	זכר 	רבים	_לוינו
פעל 	עבר 	ראשון	נקבה	רבים	_לוינו
פעל 	עבר 	שני 	זכר 	רבים	_לויתמ
פעל 	עבר 	שני 	נקבה	רבים	_לויתנ
פעל 	עבר 	שלישי	זכר 	רבים	_לוו
פעל 	עבר 	שלישי	נקבה	רבים	_לוו
פעל 	הווה	ראשון	זכר 	יחיד	_לווה
פעל 	הווה	ראשון	נקבה	יחיד	_לווה
פעל 	הווה	שני 	זכר 	יחיד	_לווה
פעל 	הווה	שני 	נקבה	יחיד	_לווה
פעל 	הווה	שלישי	זכר 	יחיד	_לווה
פעל 	הווה	שלישי	נקבה	יחיד	_לווה
פעל 	הווה	ראשון	זכר 	רבים	_לווימ
פעל 	הווה	ראשון	נקבה	רבים	_לוות
פעל 	הווה	שני 	זכר 	רבים	_לווימ
פעל 	הווה	שני 	נקבה	רבים	_לוות
פעל 	הווה	שלישי	זכר 	רבים	_לווימ
פעל 	הווה	שלישי	נקבה	רבים	_לוות
פעל 	עתיד	ראשון	זכר 	יחיד	א_לוה
פעל 	עתיד	ראשון	נקבה	יחיד	א_לוה
פעל 	עתיד	שני 	זכר 	יחיד	ת_לוה
פעל 	עתיד	שני 	נקבה	יחיד	ת_לוי
פעל 	עתיד	שלישי	זכר 	יחיד	י_לוה
פעל 	עתיד	שלישי	נקבה	יחיד	ת_לוה
פעל 	עתיד	ראשון	זכר 	רבים	נ_לוה
פעל 	עתיד	ראשון	נקבה	רבים	נ_לוה
פעל 	עתיד	שני 	זכר 	רבים	ת_לוו
פעל 	עתיד	שני 	נקבה	רבים	ת_לוינה
פעל 	עתיד	שלישי	זכר 	רבים	י_לוו
פעל 	עתיד	שלישי	נקבה	רבים	ת_לוינה
פעל 	ציווי	שני 	זכר 	יחיד	_לוה
פעל 	ציווי	שני 	נקבה	יחיד	_לוי
פעל 	ציווי	שני 	זכר 	רבים	_לוו
פעל 	ציווי	שני 	נקבה	רבים	_לוינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_לויתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_לויתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_לוית
נפעל 	עבר 	שני 	נקבה	יחיד	נ_לוית
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_לוה
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_לותה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_לוינו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_לוינו
נפעל 	עבר 	שני 	זכר 	רבים	נ_לויתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_לויתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_לוו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_לוו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_לוה
נפעל 	הווה	ראשון	נקבה	יחיד	נ_לוית
נפעל 	הווה	שני 	זכר 	יחיד	נ_לוה
נפעל 	הווה	שני 	נקבה	יחיד	נ_לוית
נפעל 	הווה	שלישי	זכר 	יחיד	נ_לוה
נפעל 	הווה	שלישי	נקבה	יחיד	נ_לוית
נפעל 	הווה	ראשון	זכר 	רבים	נ_לוימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_לוות
נפעל 	הווה	שני 	זכר 	רבים	נ_לוימ
נפעל 	הווה	שני 	נקבה	רבים	נ_לוות
נפעל 	הווה	שלישי	זכר 	רבים	נ_לוימ
