פעל 	עזר 	ראשון	זכר 	יחיד	_ז_נתי
פעל 	עזר 	ראשון	נקבה	יחיד	_ז_נתי
פעל 	עזר 	שני 	זכר 	יחיד	_ז_נת
פעל 	עזר 	שני 	נקבה	יחיד	_ז_נת
פעל 	עזר 	שלישי	זכר 	יחיד	_ז_נ
פעל 	עזר 	שלישי	נקבה	יחיד	_ז_נה
פעל 	עזר 	ראשון	זכר 	רבים	_ז_נו
פעל 	עזר 	ראשון	נקבה	רבים	_ז_נו
פעל 	עזר 	שני 	זכר 	רבים	_ז_נתם
פעל 	עזר 	שני 	נקבה	רבים	_ז_נתן
פעל 	עזר 	שלישי	זכר 	רבים	_ז_נו
פעל 	עזר 	שלישי	נקבה	רבים	_ז_נו
פעל 	הווה	ראשון	זכר 	יחיד	_ז_נ
פעל 	הווה	ראשון	נקבה	יחיד	_ז_נה
פעל 	הווה	שני 	זכר 	יחיד	_ז_נ
פעל 	הווה	שני 	נקבה	יחיד	_ז_נה
פעל 	הווה	שלישי	זכר 	יחיד	_ז_נ
פעל 	הווה	שלישי	נקבה	יחיד	_ז_נה
פעל 	הווה	ראשון	זכר 	רבים	_ז_נים
פעל 	הווה	ראשון	נקבה	רבים	_ז_נות
פעל 	הווה	שני 	זכר 	רבים	_ז_נים
פעל 	הווה	שני 	נקבה	רבים	_ז_נות
פעל 	הווה	שלישי	זכר 	רבים	_ז_נים
פעל 	הווה	שלישי	נקבה	רבים	_ז_נות
פעל 	עתיד	ראשון	זכר 	יחיד	א_זו_נ
פעל 	עתיד	ראשון	נקבה	יחיד	א_זו_נ
פעל 	עתיד	שני 	זכר 	יחיד	ת_זו_נ
פעל 	עתיד	שני 	נקבה	יחיד	ת_זו_ני
פעל 	עתיד	שלישי	זכר 	יחיד	י_זו_נ
פעל 	עתיד	שלישי	נקבה	יחיד	ת_זו_נ
פעל 	עתיד	ראשון	זכר 	רבים	נ_זו_נ
פעל 	עתיד	ראשון	נקבה	רבים	נ_זו_נ
פעל 	עתיד	שני 	זכר 	רבים	ת_זו_נו
פעל 	עתיד	שני 	נקבה	רבים	ת_זו_נה
פעל 	עתיד	שלישי	זכר 	רבים	י_זו_נו
פעל 	עתיד	שלישי	נקבה	רבים	י_זו_נה
פעל 	ציווי	שני 	זכר 	יחיד	_זו_נ
פעל 	ציווי	שני 	נקבה	יחיד	_זו_ני
פעל 	ציווי	שני 	זכר 	רבים	_זו_נו
פעל 	ציווי	שני 	נקבה	רבים	_זו_נה
נפעל 	עזר 	ראשון	זכר 	יחיד	נ_זו_נתי
נפעל 	עזר 	ראשון	נקבה	יחיד	נ_זו_נתי
נפעל 	עזר 	שני 	זכר 	יחיד	נ_זו_נת
נפעל 	עזר 	שני 	נקבה	יחיד	נ_זו_נת
נפעל 	עזר 	שלישי	זכר 	יחיד	נ_זו_נ
נפעל 	עזר 	שלישי	נקבה	יחיד	נ_זו_נה
נפעל 	עזר 	ראשון	זכר 	רבים	נ_זו_נו
נפעל 	עזר 	ראשון	נקבה	רבים	נ_זו_נו
נפעל 	עזר 	שני 	זכר 	רבים	נ_זו_נתם
נפעל 	עזר 	שני 	נקבה	רבים	נ_זו_נתן
נפעל 	עזר 	שלישי	זכר 	רבים	נ_זו_נו
נפעל 	עזר 	שלישי	נקבה	רבים	נ_זו_נו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_זו_נ
