ילד
פעל 	עבר  	ראשון	זכר 	יחיד	_י_ל_דתי
פעל 	עבר  	ראשון	נקבה	יחיד	_י_ל_דתי
פעל 	עבר  	שני 	זכר 	יחיד	_י_ל_דת
פעל 	עבר  	שני 	נקבה	יחיד	_י_ל_דת
פעל 	עבר  	שלישי	זכר 	יחיד	_י_ל_ד
פעל 	עבר  	שלישי	נקבה	יחיד	_י_ל_דה
פעל 	עבר  	ראשון	זכר 	רבים	_י_ל_דנו
פעל 	עבר  	ראשון	נקבה	רבים	_י_ל_דנו
פעל 	עבר  	שני 	זכר 	רבים	_י_ל_דתמ
פעל 	עבר  	שני 	נקבה	רבים	_י_ל_דתנ
פעל 	עבר  	שלישי	זכר 	רבים	_י_ל_דו
פעל 	עבר  	שלישי	נקבה	רבים	_י_ל_דו
פעל 	הווה	ראשון	זכר 	יחיד	_יו_ל_ד
פעל 	הווה	ראשון	נקבה	יחיד	_יו_ל_דת
פעל 	הווה	שני 	זכר 	יחיד	_יו_ל_ד
פעל 	הווה	שני 	נקבה	יחיד	_יו_ל_דת
פעל 	הווה	שלישי	זכר 	יחיד	_יו_ל_ד
פעל 	הווה	שלישי	נקבה	יחיד	_יו_ל_דת
פעל 	הווה	ראשון	זכר 	רבים	_יו_ל_דימ
פעל 	הווה	ראשון	נקבה	רבים	_יו_ל_דות
פעל 	הווה	שני 	זכר 	רבים	_יו_ל_דימ
פעל 	הווה	שני 	נקבה	רבים	_יו_ל_דות
פעל 	הווה	שלישי	זכר 	רבים	_יו_ל_דימ
פעל 	הווה	שלישי	נקבה	רבים	_יו_ל_דות
פעל 	עתיד	ראשון	זכר 	יחיד	א_י_ל_ד
פעל 	עתיד	ראשון	נקבה	יחיד	א_י_ל_ד
פעל 	עתיד	שני 	זכר 	יחיד	ת_י_ל_ד
פעל 	עתיד	שני 	נקבה	יחיד	ת_י_ל_די
פעל 	עתיד	שלישי	זכר 	יחיד	י_י_ל_ד
פעל 	עתיד	שלישי	נקבה	יחיד	ת_י_ל_ד
פעל 	עתיד	ראשון	זכר 	רבים	נ_י_ל_ד
פעל 	עתיד	ראשון	נקבה	רבים	נ_י_ל_ד
פעל 	עתיד	שני 	זכר 	רבים	ת_י_ל_דו
פעל 	עתיד	שני 	נקבה	רבים	ת_י_ל_דנה
פעל 	עתיד	שלישי	זכר 	רבים	י_י_ל_דו
פעל 	עתיד	שלישי	נקבה	רבים	ת_י_ל_דנה
פעל 	ציווי	שני 	זכר 	יחיד	_י_לו_ד
פעל 	ציווי	שני 	נקבה	יחיד	_יי_ל_די
פעל 	ציווי	שני 	זכר 	רבים	_יי_ל_דו
פעל 	ציווי	שני 	נקבה	רבים	_י_לו_דנה
נפעל	עבר 	ראשון	זכר 	יחיד	נו_ל_דתי
נפעל	עבר 	ראשון	נקבה	יחיד	נו_ל_דתי
נפעל	עבר 	שני 	זכר 	יחיד	נו_ל_דת
נפעל	עבר 	שני 	נקבה	יחיד	נו_ל_דת
נפעל	עבר 	שלישי	זכר 	יחיד	נו_ל_ד
נפעל	עבר 	שלישי	נקבה	יחיד	נו_ל_דה
נפעל	עבר 	ראשון	זכר 	רבים	נו_ל_דנו
נפעל	עבר 	ראשון	נקבה	רבים	נו_ל_דנו
