יבב
פיעל 	הווה	_	_ 	_	ל_י_ב_ב
פיעל 	הווה	_	_ 	_	ל_י_י_ב_ב
התפעל 	הווה	_	_ 	_	להת_י_ב_ב
פעל 	עבר 	ראשון	זכר 	יחיד	_י_ב_בתי
פעל 	עבר 	ראשון	נקבה	יחיד	_י_ב_בתי
פעל 	עבר 	שני 	זכר 	יחיד	_י_ב_בת
פעל 	עבר 	שני 	נקבה	יחיד	_י_ב_בת
פעל 	עבר 	שלישי	זכר 	יחיד	_י_ב_ב
פעל 	עבר 	שלישי	נקבה	יחיד	_י_ב_בה
פעל 	עבר 	ראשון	זכר 	רבים	_י_ב_בנו
פעל 	עבר 	ראשון	נקבה	רבים	_י_ב_בנו
פעל 	עבר 	שני 	זכר 	רבים	_י_ב_בתמ
פעל 	עבר 	שני 	נקבה	רבים	_י_ב_בתנ
פעל 	עבר 	שלישי	זכר 	רבים	_י_ב_בו
פעל 	עבר 	שלישי	נקבה	רבים	_י_ב_בו
פעל 	הווה	ראשון	זכר 	יחיד	_י_ב_ב
פעל 	הווה	ראשון	נקבה	יחיד	_י_ב_בה
פעל 	הווה	שני 	זכר 	יחיד	_י_ב_ב
פעל 	הווה	שני 	נקבה	יחיד	_י_ב_בה
פעל 	הווה	שלישי	זכר 	יחיד	_י_ב_ב
פעל 	הווה	שלישי	נקבה	יחיד	_י_ב_בה
פעל 	הווה	ראשון	זכר 	רבים	_י_ב_בימ
פעל 	הווה	ראשון	נקבה	רבים	_י_ב_בות
פעל 	הווה	שני 	זכר 	רבים	_י_ב_בימ
פעל 	הווה	שני 	נקבה	רבים	_י_ב_בות
פעל 	הווה	שלישי	זכר 	רבים	_י_ב_בימ
פעל 	הווה	שלישי	נקבה	רבים	_י_ב_בות
פעל 	עתיד	ראשון	זכר 	יחיד	א_י_בו_ב
פעל 	עתיד	ראשון	נקבה	יחיד	א_י_בו_ב
פעל 	עתיד	שני 	זכר 	יחיד	ת_י_בו_ב
פעל 	עתיד	שני 	נקבה	יחיד	ת_י_בו_בי
פעל 	עתיד	שלישי	זכר 	יחיד	י_י_בו_ב
פעל 	עתיד	שלישי	נקבה	יחיד	ת_י_בו_ב
פעל 	עתיד	ראשון	זכר 	רבים	נ_י_בו_ב
