ירי
פעל 	הווה	_	_ 	_	לי_רות
פיעל 	הווה	_	_ 	_	ליי_רות
פיעל 	הווה	_	_ 	_	לי_רות
נפעל 	הווה	_	_ 	_	להיי_רות
נפעל 	הווה	_	_ 	_	להי_רות
הפעיל 	הווה	_	_ 	_	להו_רות
התפעל 	הווה	_	_ 	_	להתי_רות
פעל 	עבר 	ראשון	זכר 	יחיד	י_ריתי
פעל 	עבר 	ראשון	נקבה	יחיד	י_ריתי
פעל 	עבר 	שני 	זכר 	יחיד	י_רית
פעל 	עבר 	שני 	נקבה	יחיד	י_רית
פעל 	עבר 	שלישי	זכר 	יחיד	י_רה
פעל 	עבר 	שלישי	נקבה	יחיד	י_רתה
פעל 	עבר 	ראשון	זכר 	רבים	י_רינו
פעל 	עבר 	ראשון	נקבה	רבים	י_רינו
פעל 	עבר 	שני 	זכר 	רבים	י_ריתמ
פעל 	עבר 	שני 	נקבה	רבים	י_ריתנ
פעל 	עבר 	שלישי	זכר 	רבים	י_רו
פעל 	עבר 	שלישי	נקבה	רבים	י_רו
פעל 	הווה	ראשון	זכר 	יחיד	יו_רה
פעל 	הווה	ראשון	נקבה	יחיד	יו_רה
פעל 	הווה	שני 	זכר 	יחיד	יו_רה
פעל 	הווה	שני 	נקבה	יחיד	יו_רה
פעל 	הווה	שלישי	זכר 	יחיד	יו_רה
פעל 	הווה	שלישי	נקבה	יחיד	יו_רה
פעל 	הווה	ראשון	זכר 	רבים	יו_רימ
פעל 	הווה	ראשון	נקבה	רבים	יו_רות
פעל 	הווה	שני 	זכר 	רבים	יו_רימ
פעל 	הווה	שני 	נקבה	רבים	יו_רות
פעל 	הווה	שלישי	זכר 	רבים	יו_רימ
פעל 	הווה	שלישי	נקבה	רבים	יו_רות
פעל 	עתיד	ראשון	זכר 	יחיד	אי_רה
פעל 	עתיד	ראשון	נקבה	יחיד	אי_רה
פעל 	עתיד	שני 	זכר 	יחיד	תי_רה
פעל 	עתיד	שני 	נקבה	יחיד	תי_רי
פעל 	עתיד	שלישי	זכר 	יחיד	יי_רה
פעל 	עתיד	שלישי	נקבה	יחיד	תי_רה
פעל 	עתיד	ראשון	זכר 	רבים	ני_רה
פעל 	עתיד	ראשון	נקבה	רבים	ני_רה
פעל 	עתיד	שני 	זכר 	רבים	תי_רו
פעל 	עתיד	שני 	נקבה	רבים	תי_רינה
פעל 	עתיד	שלישי	זכר 	רבים	יי_רו
פעל 	עתיד	שלישי	נקבה	רבים	תי_רינה
פעל 	ציווי	שני 	זכר 	יחיד	י_רה
פעל 	ציווי	שני 	נקבה	יחיד	י_רי
פעל 	ציווי	שני 	זכר 	רבים	י_רו
פעל 	ציווי	שני 	נקבה	רבים	י_רינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נו_ריתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נו_ריתי
נפעל 	עבר 	שני 	זכר 	יחיד	נו_רית
נפעל 	עבר 	שני 	נקבה	יחיד	נו_רית
נפעל 	עבר 	שלישי	זכר 	יחיד	נו_רה
נפעל 	עבר 	שלישי	נקבה	יחיד	נו_רתה
נפעל 	עבר 	ראשון	זכר 	רבים	נו_רינו
נפעל 	עבר 	ראשון	נקבה	רבים	נו_רינו
נפעל 	עבר 	שני 	זכר 	רבים	נו_ריתמ
נפעל 	עבר 	שני 	נקבה	רבים	נו_ריתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נו_רו
נפעל 	עבר 	שלישי	נקבה	רבים	נו_רו
נפעל 	הווה	ראשון	זכר 	יחיד	נו_רה
נפעל 	הווה	ראשון	נקבה	יחיד	נו_רית
נפעל 	הווה	שני 	זכר 	יחיד	נו_רה
נפעל 	הווה	שני 	נקבה	יחיד	נו_רית
נפעל 	הווה	שלישי	זכר 	יחיד	נו_רה
נפעל 	הווה	שלישי	נקבה	יחיד	נו_רית
נפעל 	הווה	ראשון	זכר 	רבים	נו_רימ
נפעל 	הווה	ראשון	נקבה	רבים	נו_רות
נפעל 	הווה	שני 	זכר 	רבים	נו_רימ
נפעל 	הווה	שני 	נקבה	רבים	נו_רות
נפעל 	הווה	שלישי	זכר 	רבים	נו_רימ
נפעל 	הווה	שלישי	נקבה	רבים	נו_רות
נפעל 	עתיד	ראשון	זכר 	יחיד	אי_רה
נפעל 	עתיד	ראשון	נקבה	יחיד	אי_רה
נפעל 	עתיד	שני 	זכר 	יחיד	תי_רה
נפעל 	עתיד	שני 	נקבה	יחיד	תי_רי
נפעל 	עתיד	שלישי	זכר 	יחיד	יי_רה
נפעל 	עתיד	שלישי	נקבה	יחיד	תי_רה
נפעל 	עתיד	ראשון	זכר 	רבים	ני_רה
נפעל 	עתיד	ראשון	נקבה	רבים	ני_רה
נפעל 	עתיד	שני 	זכר 	רבים	תי_רו
נפעל 	עתיד	שני 	נקבה	רבים	תי_רינה
נפעל 	עתיד	שלישי	זכר 	רבים	יי_רו
נפעל 	עתיד	שלישי	נקבה	רבים	תי_רינה
נפעל 	ציווי	שני 	זכר 	יחיד	הי_רה
נפעל 	ציווי	שני 	נקבה	יחיד	הי_רי
נפעל 	ציווי	שני 	זכר 	רבים	הי_רו
נפעל 	ציווי	שני 	נקבה	רבים	הי_רינה
פיעל	עבר 	ראשון	זכר 	יחיד	יי_ריתי
פיעל	עבר 	ראשון	נקבה	יחיד	יי_ריתי
פיעל	עבר 	שני 	זכר 	יחיד	יי_רית
פיעל	עבר 	שני 	נקבה	יחיד	יי_רית
פיעל	עבר 	שלישי	זכר 	יחיד	יי_רה
פיעל	עבר 	שלישי	נקבה	יחיד	יי_רתה
פיעל	עבר 	ראשון	זכר 	רבים	יי_רינו
פיעל	עבר 	ראשון	נקבה	רבים	יי_רינו
פיעל	עבר 	שני 	זכר 	רבים	יי_ריתמ
פיעל	עבר 	שני 	נקבה	רבים	יי_ריתנ
פיעל	עבר 	שלישי	זכר 	רבים	יי_רו
פיעל	עבר 	שלישי	נקבה	רבים	יי_רו
פיעל	הווה	ראשון	זכר 	יחיד	מי_רה
פיעל	הווה	ראשון	נקבה	יחיד	מי_רה
פיעל	הווה	שני 	זכר 	יחיד	מי_רה
פיעל	הווה	שני 	נקבה	יחיד	מי_רה
פיעל	הווה	שלישי	זכר 	יחיד	מי_רה
פיעל	הווה	שלישי	נקבה	יחיד	מי_רה
פיעל	הווה	ראשון	זכר 	רבים	מי_רימ
פיעל	הווה	ראשון	נקבה	רבים	מי_רות
פיעל	הווה	שני 	זכר 	רבים	מי_רימ
פיעל	הווה	שני 	נקבה	רבים	מי_רות
פיעל	הווה	שלישי	זכר 	רבים	מי_רימ
פיעל	הווה	שלישי	נקבה	רבים	מי_רות
פיעל	עתיד	ראשון	זכר 	יחיד	אי_רה
פיעל	עתיד	ראשון	נקבה	יחיד	אי_רה
פיעל	עתיד	שני 	זכר 	יחיד	תי_רה
פיעל	עתיד	שני 	נקבה	יחיד	תי_רי
פיעל	עתיד	שלישי	זכר 	יחיד	יי_רה
פיעל	עתיד	שלישי	נקבה	יחיד	תי_רה
פיעל	עתיד	ראשון	זכר 	רבים	ני_רה
פיעל	עתיד	ראשון	נקבה	רבים	ני_רה
פיעל	עתיד	שני 	זכר 	רבים	תי_רו
פיעל	עתיד	שני 	נקבה	רבים	תי_רינה
פיעל	עתיד	שלישי	זכר 	רבים	יי_רו
פיעל	עתיד	שלישי	נקבה	רבים	תי_רינה
פיעל	ציווי	שני 	זכר 	יחיד	י_רה
פיעל	ציווי	שני 	נקבה	יחיד	י_רי
פיעל	ציווי	שני 	זכר 	רבים	י_רו
פיעל	ציווי	שני 	נקבה	רבים	י_רינה
פועל	עבר 	ראשון	זכר 	יחיד	יו_ריתי
פועל	עבר 	ראשון	נקבה	יחיד	יו_ריתי
פועל	עבר 	שני 	זכר 	יחיד	יו_רית
פועל	עבר 	שני 	נקבה	יחיד	יו_רית
פועל	עבר 	שלישי	זכר 	יחיד	יו_רה
פועל	עבר 	שלישי	נקבה	יחיד	יו_רתה
פועל	עבר 	ראשון	זכר 	רבים	יו_רינו
פועל	עבר 	ראשון	נקבה	רבים	יו_רינו
פועל	עבר 	שני 	זכר 	רבים	יו_ריתמ
פועל	עבר 	שני 	נקבה	רבים	יו_ריתנ
פועל	עבר 	שלישי	זכר 	רבים	יו_רו
פועל	עבר 	שלישי	נקבה	רבים	יו_רו
פועל	הווה	ראשון	זכר 	יחיד	מיו_רה
פועל	הווה	ראשון	נקבה	יחיד	מיו_רה
פועל	הווה	שני 	זכר 	יחיד	מיו_רה
פועל	הווה	שני 	נקבה	יחיד	מיו_רה
פועל	הווה	שלישי	זכר 	יחיד	מיו_רה
פעל 	הווה	שלישי	נקבה	יחיד	מיו_רה
פועל	הווה	ראשון	זכר 	רבים	מיו_רימ
פועל	הווה	ראשון	נקבה	רבים	מיו_רות
פועל	הווה	שני 	זכר 	רבים	מיו_רימ
פועל	הווה	שני 	נקבה	רבים	מיו_רות
פועל	הווה	שלישי	זכר 	רבים	מיו_רימ
פועל	הווה	שלישי	נקבה	רבים	מיו_רות
פועל	עתיד	ראשון	זכר 	יחיד	איו_רה
פועל	עתיד	ראשון	נקבה	יחיד	איו_רה
פועל	עתיד	שני 	זכר 	יחיד	תיו_רה
פועל	עתיד	שני 	נקבה	יחיד	תיו_רי
פועל	עתיד	שלישי	זכר 	יחיד	ייו_רה
פועל	עתיד	שלישי	נקבה	יחיד	תיו_רה
פועל	עתיד	ראשון	זכר 	רבים	ניו_רה
פועל	עתיד	ראשון	נקבה	רבים	ניו_רה
פועל	עתיד	שני 	זכר 	רבים	תיו_רו
פועל	עתיד	שני 	נקבה	רבים	תיו_רינה
פועל	עתיד	שלישי	זכר 	רבים	ייו_רו
פועל	עתיד	שלישי	נקבה	רבים	תיו_רינה
הפעיל	עבר 	ראשון	זכר 	יחיד	הו_ריתי
הפעיל	עבר 	ראשון	נקבה	יחיד	הו_ריתי
הפעיל	עבר 	שני 	זכר 	יחיד	הו_רית
הפעיל	עבר 	שני 	נקבה	יחיד	הו_רית
הפעיל	עבר 	שלישי	זכר 	יחיד	הו_רה
הפעיל	עבר 	שלישי	נקבה	יחיד	הו_רתה
הפעיל	עבר 	ראשון	זכר 	רבים	הו_רינו
הפעיל	עבר 	ראשון	נקבה	רבים	הו_רינו
הפעיל	עבר 	שני 	זכר 	רבים	הו_ריתמ
הפעיל	עבר 	שני 	נקבה	רבים	הו_ריתנ
הפעיל	עבר 	שלישי	זכר 	רבים	הו_רו
הפעיל	עבר 	שלישי	נקבה	רבים	הו_רו
הפעיל	הווה	ראשון	זכר 	יחיד	מו_רה
הפעיל	הווה	ראשון	נקבה	יחיד	מו_רה
הפעיל	הווה	שני 	זכר 	יחיד	מו_רה
הפעיל	הווה	שני 	נקבה	יחיד	מו_רה
הפעיל	הווה	שלישי	זכר 	יחיד	מו_רה
הפעיל	הווה	שלישי	נקבה	יחיד	מו_רה
הפעיל	הווה	ראשון	זכר 	רבים	מו_רימ
הפעיל	הווה	ראשון	נקבה	רבים	מו_רות
הפעיל	הווה	שני 	זכר 	רבים	מו_רימ
הפעיל	הווה	שני 	נקבה	רבים	מו_רות
הפעיל	הווה	שלישי	זכר 	רבים	מו_רימ
הפעיל	הווה	שלישי	נקבה	רבים	מו_רות
הפעיל	עתיד	ראשון	זכר 	יחיד	או_רה
הפעיל	עתיד	ראשון	נקבה	יחיד	או_רה
הפעיל	עתיד	שני 	זכר 	יחיד	תו_רה
הפעיל	עתיד	שני 	נקבה	יחיד	תו_רי
הפעיל	עתיד	שלישי	זכר 	יחיד	יו_רה
