דגר
פעל 	הווה	_	_ 	_	ל_ד_גו_ר
פעל 	הווה	_	_ 	_	ל_ד_ג_ר
פיעל 	הווה	_	_ 	_	ל_ד_ג_ר
נפעל 	הווה	_	_ 	_	להי_ד_ג_ר
נפעל 	הווה	_	_ 	_	לה_ד_ג_ר
הפעיל 	הווה	_	_ 	_	לה_ד_גי_ר
התפעל 	הווה	_	_ 	_	להת_ד_ג_ר
פעל 	עבר  	ראשון	זכר 	יחיד	_ד_ג_רתי
פעל 	עבר  	ראשון	נקבה	יחיד	_ד_ג_רתי
פעל 	עבר  	שני 	זכר 	יחיד	_ד_ג_רת
פעל 	עבר  	שני 	נקבה	יחיד	_ד_ג_רת
פעל 	עבר  	שלישי	זכר 	יחיד	_ד_ג_ר
פעל 	עבר  	שלישי	נקבה	יחיד	_ד_ג_רה
פעל 	עבר  	ראשון	זכר 	רבים	_ד_ג_רנו
פעל 	עבר  	ראשון	נקבה	רבים	_ד_ג_רנו
פעל 	עבר  	שני 	זכר 	רבים	_ד_ג_רתמ
פעל 	עבר  	שני 	נקבה	רבים	_ד_ג_רתנ
פעל 	עבר  	שלישי	זכר 	רבים	_ד_ג_רו
פעל 	עבר  	שלישי	נקבה	רבים	_ד_ג_רו
פעל 	הווה	ראשון	זכר 	יחיד	_דו_ג_ר
פעל 	הווה	ראשון	נקבה	יחיד	_דו_ג_רת
פעל 	הווה	שני 	זכר 	יחיד	_דו_ג_ר
פעל 	הווה	שני 	נקבה	יחיד	_דו_ג_רת
פעל 	הווה	שלישי	זכר 	יחיד	_דו_ג_ר
פעל 	הווה	שלישי	נקבה	יחיד	_דו_ג_רת
פעל 	הווה	ראשון	זכר 	רבים	_דו_ג_רימ
פעל 	הווה	ראשון	נקבה	רבים	_דו_ג_רות
פעל 	הווה	שני 	זכר 	רבים	_דו_ג_רימ
פעל 	הווה	שני 	נקבה	רבים	_דו_ג_רות
פעל 	הווה	שלישי	זכר 	רבים	_דו_ג_רימ
פעל 	הווה	שלישי	נקבה	רבים	_דו_ג_רות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ד_גו_ר
פעל 	עתיד	ראשון	נקבה	יחיד	א_ד_גו_ר
פעל 	עתיד	שני 	זכר 	יחיד	ת_ד_גו_ר
פעל 	עתיד	שני 	נקבה	יחיד	ת_ד_ג_רי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ד_גו_ר
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ד_גו_ר
פעל 	עתיד	ראשון	זכר 	רבים	נ_ד_גו_ר
פעל 	עתיד	ראשון	נקבה	רבים	נ_ד_גו_ר
פעל 	עתיד	שני 	זכר 	רבים	ת_ד_ג_רו
פעל 	עתיד	שני 	נקבה	רבים	ת_ד_ג_רנה
פעל 	עתיד	שלישי	זכר 	רבים	י_ד_גו_רו
פעל 	עתיד	שלישי	נקבה	רבים	ת_ד_גו_רנה
פעל 	ציווי	שני 	זכר 	יחיד	_ד_גו_ר
פעל 	ציווי	שני 	נקבה	יחיד	_די_ג_רי
פעל 	ציווי	שני 	זכר 	רבים	_די_ג_רו
פעל 	ציווי	שני 	נקבה	רבים	_ד_גו_רנה
נפעל	עבר 	ראשון	זכר 	יחיד	נ_ד_ג_רתי
נפעל	עבר 	ראשון	נקבה	יחיד	נ_ד_ג_רתי
נפעל	עבר 	שני 	זכר 	יחיד	נ_ד_ג_רת
נפעל	עבר 	שני 	נקבה	יחיד	נ_ד_ג_רת
נפעל	עבר 	שלישי	זכר 	יחיד	נ_ד_ג_ר
נפעל	עבר 	שלישי	נקבה	יחיד	נ_ד_ג_רה
נפעל	עבר 	ראשון	זכר 	רבים	נ_ד_ג_רנו
נפעל	עבר 	ראשון	נקבה	רבים	נ_ד_ג_רנו
נפעל	עבר 	שני 	זכר 	רבים	נ_ד_ג_רתמ
נפעל	עבר 	שני 	נקבה	רבים	נ_ד_ג_רתנ
נפעל	עבר 	שלישי	זכר 	רבים	נ_ד_ג_רו
נפעל	עבר 	שלישי	נקבה	רבים	נ_ד_ג_רו
נפעל	הווה	ראשון	זכר 	יחיד	נ_ד_ג_ר
נפעל	הווה	ראשון	נקבה	יחיד	נ_ד_ג_רת
נפעל	הווה	שני 	זכר 	יחיד	נ_ד_ג_ר
נפעל	הווה	שני 	נקבה	יחיד	נ_ד_ג_רת
נפעל	הווה	שלישי	זכר 	יחיד	נ_ד_ג_ר
נפעל	הווה	שלישי	נקבה	יחיד	נ_ד_ג_רת
נפעל	הווה	ראשון	זכר 	רבים	נ_ד_ג_רימ
נפעל	הווה	ראשון	נקבה	רבים	נ_ד_ג_רות
נפעל	הווה	שני 	זכר 	רבים	נ_ד_ג_רימ
נפעל	הווה	שני 	נקבה	רבים	נ_ד_ג_רות
נפעל	הווה	שלישי	זכר 	רבים	נ_ד_ג_רימ
נפעל	הווה	שלישי	נקבה	רבים	נ_ד_ג_רות
נפעל	עתיד	ראשון	זכר 	יחיד	א_ד_ג_ר
נפעל	עתיד	ראשון	נקבה	יחיד	א_ד_ג_ר
נפעל	עתיד	שני 	זכר 	יחיד	תי_ד_ג_ר
נפעל	עתיד	שני 	נקבה	יחיד	תי_ד_ג_רי
נפעל	עתיד	שלישי	זכר 	יחיד	יי_ד_ג_ר
נפעל	עתיד	שלישי	נקבה	יחיד	תי_ד_ג_ר
נפעל	עתיד	ראשון	זכר 	רבים	נ_ד_ג_ר
נפעל	עתיד	ראשון	נקבה	רבים	נ_ד_ג_ר
נפעל	עתיד	שני 	זכר 	רבים	תי_ד_ג_רו
נפעל	עתיד	שני 	נקבה	רבים	תי_ד_ג_רנה
נפעל	עתיד	שלישי	זכר 	רבים	יי_ד_ג_רו
נפעל	עתיד	שלישי	נקבה	רבים	תי_ד_ג_רנה
נפעל	ציווי	שני 	זכר 	יחיד	הי_ד_ג_ר
נפעל	ציווי	שני 	נקבה	יחיד	ה_ד_ג_רי
נפעל	ציווי	שני 	זכר 	רבים	ה_ד_ג_רו
נפעל	ציווי	שני 	נקבה	רבים	ה_ד_ג_רנה
פיעל	עבר 	ראשון	זכר 	יחיד	_די_ג_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_די_ג_רתי
פיעל	עבר 	שני 	זכר 	יחיד	_די_ג_רת
פיעל	עבר 	שני 	נקבה	יחיד	_די_ג_רת
פיעל	עבר 	שלישי	זכר 	יחיד	_די_ג_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_די_ג_רה
פיעל	עבר 	ראשון	זכר 	רבים	_די_ג_רנו
פיעל	עבר 	ראשון	נקבה	רבים	_די_ג_רנו
פיעל	עבר 	שני 	זכר 	רבים	_די_ג_רתמ
פיעל	עבר 	שני 	נקבה	רבים	_די_ג_רתנ
פיעל	עבר 	שלישי	זכר 	רבים	_די_ג_רו
פיעל	עבר 	שלישי	נקבה	רבים	_די_ג_רו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ד_ג_ר
פיעל	הווה	ראשון	נקבה	יחיד	מ_ד_ג_רת
פיעל	הווה	שני 	זכר 	יחיד	מ_ד_ג_ר
פיעל	הווה	שני 	נקבה	יחיד	מ_ד_ג_רת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ד_ג_ר
פיעל	הווה	שלישי	נקבה	יחיד	מ_ד_ג_רת
פיעל	הווה	ראשון	זכר 	רבים	מ_ד_ג_רימ
פיעל	הווה	ראשון	נקבה	רבים	מ_ד_ג_רות
פיעל	הווה	שני 	זכר 	רבים	מ_ד_ג_רימ
פיעל	הווה	שני 	נקבה	רבים	מ_ד_ג_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_ד_ג_רימ
פיעל	הווה	שלישי	נקבה	רבים	מ_ד_ג_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ד_ג_ר
פיעל	עתיד	ראשון	נקבה	יחיד	א_ד_ג_ר
פיעל	עתיד	שני 	זכר 	יחיד	ת_ד_ג_ר
פיעל	עתיד	שני 	נקבה	יחיד	ת_ד_ג_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ד_ג_ר
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ד_ג_ר
פיעל	עתיד	ראשון	זכר 	רבים	נ_ד_ג_ר
