תשש
פעל 	הווה	_	_ 	_	ל_ת_שו_ש
פעל 	הווה	_	_ 	_	ל_ת_ש_ש
פיעל 	הווה	_	_ 	_	ל_ת_ש_ש
נפעל 	הווה	_	_ 	_	להי_ת_ש_ש
נפעל 	הווה	_	_ 	_	לה_ת_ש_ש
הפעיל 	הווה	_	_ 	_	לה_ת_שי_ש
התפעל 	הווה	_	_ 	_	להת_ת_ש_ש
התפעל 	הווה	_	_ 	_	לה_ת_ש
פעל 	עבר 	ראשון	זכר 	יחיד	_ת_ש_שתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ת_ש_שתי
פעל 	עבר 	שני 	זכר 	יחיד	_ת_ש_שת
פעל 	עבר 	שני 	נקבה	יחיד	_ת_ש_שת
פעל 	עבר 	שלישי	זכר 	יחיד	_ת_ש_ש
פעל 	עבר 	שלישי	נקבה	יחיד	_ת_ש_שה
פעל 	עבר 	ראשון	זכר 	רבים	_ת_ש_שנו
פעל 	עבר 	ראשון	נקבה	רבים	_ת_ש_שנו
פעל 	עבר 	שני 	זכר 	רבים	_ת_ש_שתמ
פעל 	עבר 	שני 	נקבה	רבים	_ת_ש_שתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ת_ש_שו
פעל 	עבר 	שלישי	נקבה	רבים	_ת_ש_שו
פעל 	הווה	ראשון	זכר 	יחיד	_ת_ש_ש
פעל 	הווה	ראשון	נקבה	יחיד	_ת_ש_שה
פעל 	הווה	שני 	זכר 	יחיד	_ת_ש_ש
פעל 	הווה	שני 	נקבה	יחיד	_ת_ש_שה
פעל 	הווה	שלישי	זכר 	יחיד	_ת_ש_ש
פעל 	הווה	שלישי	נקבה	יחיד	_ת_ש_שה
פעל 	הווה	ראשון	זכר 	רבים	_ת_ש_שימ
פעל 	הווה	ראשון	נקבה	רבים	_ת_ש_שות
פעל 	הווה	שני 	זכר 	רבים	_ת_ש_שימ
פעל 	הווה	שני 	נקבה	רבים	_ת_ש_שות
פעל 	הווה	שלישי	זכר 	רבים	_ת_ש_שימ
פעל 	הווה	שלישי	נקבה	רבים	_ת_ש_שות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ת_שו_ש
פעל 	עתיד	ראשון	נקבה	יחיד	א_ת_שו_ש
פעל 	עתיד	שני 	זכר 	יחיד	ת_ת_שו_ש
פעל 	עתיד	שני 	נקבה	יחיד	ת_ת_שו_שי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ת_שו_ש
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ת_שו_ש
פעל 	עתיד	ראשון	זכר 	רבים	נ_ת_שו_ש
פעל 	עתיד	ראשון	נקבה	רבים	נ_ת_שו_ש
פעל 	עתיד	שני 	זכר 	רבים	ת_ת_שו_שו
פעל 	עתיד	שני 	נקבה	רבים	ת_ת_שו_שנה
פעל 	עתיד	שלישי	זכר 	רבים	י_ת_שו_שו
פעל 	עתיד	שלישי	נקבה	רבים	י_ת_שו_שנה
פעל 	ציווי	שני 	זכר 	יחיד	_ת_שו_ש
פעל 	ציווי	שני 	נקבה	יחיד	_ת_ש_שי
פעל 	ציווי	שני 	זכר 	רבים	_ת_ש_שו
פעל 	ציווי	שני 	נקבה	רבים	_ת_שו_שנה
פעל 	עבר 	ראשון	זכר 	יחיד	_ת_שתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ת_שתי
פעל 	עבר 	שני 	זכר 	יחיד	_ת_שת
פעל 	עבר 	שני 	נקבה	יחיד	_ת_שת
פעל 	עבר 	שלישי	זכר 	יחיד	_ת_ש
פעל 	עבר 	שלישי	נקבה	יחיד	_ת_שה
פעל 	עבר 	ראשון	זכר 	רבים	_ת_שנו
פעל 	עבר 	ראשון	נקבה	רבים	_ת_שנו
