טעי
פעל 	הווה	_	_ 	_	ל_ט_עות
פיעל 	הווה	_	_ 	_	ל_ט_עות
נפעל 	הווה	_	_ 	_	להי_ט_עות
הפעיל 	הווה	_	_ 	_	לה_ט_עות
התפעל 	הווה	_	_ 	_	להת_ט_עות
התפעל 	הווה	_	_ 	_	להי_ט_עות
פעל 	עבר 	ראשון	זכר 	יחיד	_ט_עיתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ט_עיתי
פעל 	עבר 	שני 	זכר 	יחיד	_ט_עית
פעל 	עבר 	שני 	נקבה	יחיד	_ט_עית
פעל 	עבר 	שלישי	זכר 	יחיד	_ט_עה
פעל 	עבר 	שלישי	נקבה	יחיד	_ט_עתה
פעל 	עבר 	ראשון	זכר 	רבים	_ט_עינו
פעל 	עבר 	ראשון	נקבה	רבים	_ט_עינו
פעל 	עבר 	שני 	זכר 	רבים	_ט_עיתמ
פעל 	עבר 	שני 	נקבה	רבים	_ט_עיתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ט_עו
פעל 	עבר 	שלישי	נקבה	רבים	_ט_עו
פעל 	הווה	ראשון	זכר 	יחיד	_טו_עה
פעל 	הווה	ראשון	נקבה	יחיד	_טו_עה
פעל 	הווה	שני 	זכר 	יחיד	_טו_עה
פעל 	הווה	שני 	נקבה	יחיד	_טו_עה
פעל 	הווה	שלישי	זכר 	יחיד	_טו_עה
פעל 	הווה	שלישי	נקבה	יחיד	_טו_עה
פעל 	הווה	ראשון	זכר 	רבים	_טו_עימ
פעל 	הווה	ראשון	נקבה	רבים	_טו_עות
פעל 	הווה	שני 	זכר 	רבים	_טו_עימ
פעל 	הווה	שני 	נקבה	רבים	_טו_עות
פעל 	הווה	שלישי	זכר 	רבים	_טו_עימ
פעל 	הווה	שלישי	נקבה	רבים	_טו_עות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ט_עה
פעל 	עתיד	ראשון	נקבה	יחיד	א_ט_עה
פעל 	עתיד	שני 	זכר 	יחיד	ת_ט_עה
פעל 	עתיד	שני 	נקבה	יחיד	ת_ט_עי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ט_עה
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ט_עה
פעל 	עתיד	ראשון	זכר 	רבים	נ_ט_עה
פעל 	עתיד	ראשון	נקבה	רבים	נ_ט_עה
פעל 	עתיד	שני 	זכר 	רבים	ת_ט_עו
פעל 	עתיד	שני 	נקבה	רבים	ת_ט_עינה
פעל 	עתיד	שלישי	זכר 	רבים	י_ט_עו
פעל 	עתיד	שלישי	נקבה	רבים	ת_ט_עינה
פעל 	ציווי	שני 	זכר 	יחיד	_ט_עה
פעל 	ציווי	שני 	נקבה	יחיד	_ט_עי
פעל 	ציווי	שני 	זכר 	רבים	_ט_עו
פעל 	ציווי	שני 	נקבה	רבים	_ט_עינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_ט_עיתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_ט_עיתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_ט_עית
נפעל 	עבר 	שני 	נקבה	יחיד	נ_ט_עית
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_ט_עה
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_ט_עתה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_ט_עינו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_ט_עינו
נפעל 	עבר 	שני 	זכר 	רבים	נ_ט_עיתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_ט_עיתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_ט_עו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_ט_עו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_ט_עה
נפעל 	הווה	ראשון	נקבה	יחיד	נ_ט_עית
נפעל 	הווה	שני 	זכר 	יחיד	נ_ט_עה
נפעל 	הווה	שני 	נקבה	יחיד	נ_ט_עית
נפעל 	הווה	שלישי	זכר 	יחיד	נ_ט_עה
נפעל 	הווה	שלישי	נקבה	יחיד	נ_ט_עית
נפעל 	הווה	ראשון	זכר 	רבים	נ_ט_עימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_ט_עות
נפעל 	הווה	שני 	זכר 	רבים	נ_ט_עימ
נפעל 	הווה	שני 	נקבה	רבים	נ_ט_עות
נפעל 	הווה	שלישי	זכר 	רבים	נ_ט_עימ
נפעל 	הווה	שלישי	נקבה	רבים	נ_ט_עות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_ט_עה
נפעל 	עתיד	ראשון	נקבה	יחיד	א_ט_עה
נפעל 	עתיד	שני 	זכר 	יחיד	ת_ט_עה
