טוח
פעל 	הווה	_	_ 	_	ל_טו_ח
פיעל 	הווה	_	_ 	_	ל_טיי_ח
פיעל 	הווה	_	_ 	_	ל_טוו_ח
נפעל 	הווה	_	_ 	_	לה_טו_ח
נפעל 	הווה	_	_ 	_	להי_טו_ח
הפעיל 	הווה	_	_ 	_	לה_טוי_ח
הפעיל 	הווה	_	_ 	_	לה_טווי_ח
התפעל 	הווה	_	_ 	_	להת_טוו_ח
פעל 	עבר 	ראשון	זכר 	יחיד	_ט_חתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ט_חתי
פעל 	עבר 	שני 	זכר 	יחיד	_ט_חת
פעל 	עבר 	שני 	נקבה	יחיד	_ט_חת
פעל 	עבר 	שלישי	זכר 	יחיד	_ט_ח
פעל 	עבר 	שלישי	נקבה	יחיד	_ט_חה
פעל 	עבר 	ראשון	זכר 	רבים	_ט_חנו
פעל 	עבר 	ראשון	נקבה	רבים	_ט_חנו
פעל 	עבר 	שני 	זכר 	רבים	_ט_חתמ
פעל 	עבר 	שני 	נקבה	רבים	_ט_חתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ט_חו
פעל 	עבר 	שלישי	נקבה	רבים	_ט_חו
פעל 	הווה	ראשון	זכר 	יחיד	_ט_ח
פעל 	הווה	ראשון	נקבה	יחיד	_ט_חה
פעל 	הווה	שני 	זכר 	יחיד	_ט_ח
פעל 	הווה	שני 	נקבה	יחיד	_ט_חה
פעל 	הווה	שלישי	זכר 	יחיד	_ט_ח
פעל 	הווה	שלישי	נקבה	יחיד	_ט_חה
פעל 	הווה	ראשון	זכר 	רבים	_ט_חימ
פעל 	הווה	ראשון	נקבה	רבים	_ט_חות
פעל 	הווה	שני 	זכר 	רבים	_ט_חימ
פעל 	הווה	שני 	נקבה	רבים	_ט_חות
פעל 	הווה	שלישי	זכר 	רבים	_ט_חימ
פעל 	הווה	שלישי	נקבה	רבים	_ט_חות
פעל 	עתיד	ראשון	זכר 	יחיד	א_טו_ח
פעל 	עתיד	ראשון	נקבה	יחיד	א_טו_ח
פעל 	עתיד	שני 	זכר 	יחיד	ת_טו_ח
פעל 	עתיד	שני 	נקבה	יחיד	ת_טו_חי
פעל 	עתיד	שלישי	זכר 	יחיד	י_טו_ח
פעל 	עתיד	שלישי	נקבה	יחיד	ת_טו_ח
פעל 	עתיד	ראשון	זכר 	רבים	נ_טו_ח
פעל 	עתיד	ראשון	נקבה	רבים	נ_טו_ח
פעל 	עתיד	שני 	זכר 	רבים	ת_טו_חו
פעל 	עתיד	שני 	נקבה	רבים	ת_טו_חנה
פעל 	עתיד	שלישי	זכר 	רבים	י_טו_חו
פעל 	עתיד	שלישי	נקבה	רבים	י_טו_חנה
פעל 	ציווי	שני 	זכר 	יחיד	_טו_ח
פעל 	ציווי	שני 	נקבה	יחיד	_טו_חי
פעל 	ציווי	שני 	זכר 	רבים	_טו_חו
פעל 	ציווי	שני 	נקבה	רבים	_טו_חנה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_טו_חתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_טו_חתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_טו_חת
נפעל 	עבר 	שני 	נקבה	יחיד	נ_טו_חת
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_טו_ח
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_טו_חה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_טו_חו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_טו_חו
נפעל 	עבר 	שני 	זכר 	רבים	נ_טו_חתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_טו_חתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_טו_חו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_טו_חו
