טוי
פעל 	הווה	_	_ 	_	ל_טוות
הפעיל 	הווה	_	_ 	_	לה_טוות
פעל 	עבר 	ראשון	זכר 	יחיד	_טויתי
פעל 	עבר 	ראשון	נקבה	יחיד	_טויתי
פעל 	עבר 	שני 	זכר 	יחיד	_טוית
פעל 	עבר 	שני 	נקבה	יחיד	_טוית
פעל 	עבר 	שלישי	זכר 	יחיד	_טוה
פעל 	עבר 	שלישי	נקבה	יחיד	_טותה
פעל 	עבר 	ראשון	זכר 	רבים	_טוינו
פעל 	עבר 	ראשון	נקבה	רבים	_טוינו
פעל 	עבר 	שני 	זכר 	רבים	_טויתמ
פעל 	עבר 	שני 	נקבה	רבים	_טויתנ
פעל 	עבר 	שלישי	זכר 	רבים	_טוו
פעל 	עבר 	שלישי	נקבה	רבים	_טוו
פעל 	הווה	ראשון	זכר 	יחיד	_טווה
פעל 	הווה	ראשון	נקבה	יחיד	_טווה
פעל 	הווה	שני 	זכר 	יחיד	_טווה
פעל 	הווה	שני 	נקבה	יחיד	_טווה
פעל 	הווה	שלישי	זכר 	יחיד	_טווה
פעל 	הווה	שלישי	נקבה	יחיד	_טווה
פעל 	הווה	ראשון	זכר 	רבים	_טווימ
פעל 	הווה	ראשון	נקבה	רבים	_טוות
פעל 	הווה	שני 	זכר 	רבים	_טווימ
פעל 	הווה	שני 	נקבה	רבים	_טוות
פעל 	הווה	שלישי	זכר 	רבים	_טווימ
פעל 	הווה	שלישי	נקבה	רבים	_טוות
פעל 	עתיד	ראשון	זכר 	יחיד	א_טוה
פעל 	עתיד	ראשון	נקבה	יחיד	א_טוה
פעל 	עתיד	שני 	זכר 	יחיד	_טוה
פעל 	עתיד	שני 	נקבה	יחיד	_טוי
פעל 	עתיד	שלישי	זכר 	יחיד	י_טוה
פעל 	עתיד	שלישי	נקבה	יחיד	_טוה
פעל 	עתיד	ראשון	זכר 	רבים	נ_טוה
פעל 	עתיד	ראשון	נקבה	רבים	נ_טוה
פעל 	עתיד	שני 	זכר 	רבים	_טוו
פעל 	עתיד	שני 	נקבה	רבים	_טוינה
פעל 	עתיד	שלישי	זכר 	רבים	י_טוו
פעל 	עתיד	שלישי	נקבה	רבים	_טוינה
פעל 	ציווי	שני 	זכר 	יחיד	_טוה
פעל 	ציווי	שני 	נקבה	יחיד	_טוי
פעל 	ציווי	שני 	זכר 	רבים	_טוו
פעל 	ציווי	שני 	נקבה	רבים	_טוינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_טויתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_טויתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_טוית
נפעל 	עבר 	שני 	נקבה	יחיד	נ_טוית
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_טוה
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_טותה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_טוינו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_טוינו
נפעל 	עבר 	שני 	זכר 	רבים	נ_טויתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_טויתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_טוו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_טוו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_טוה
נפעל 	הווה	ראשון	נקבה	יחיד	נ_טוית
נפעל 	הווה	שני 	זכר 	יחיד	נ_טוה
נפעל 	הווה	שני 	נקבה	יחיד	נ_טוית
נפעל 	הווה	שלישי	זכר 	יחיד	נ_טוה
נפעל 	הווה	שלישי	נקבה	יחיד	נ_טוית
נפעל 	הווה	ראשון	זכר 	רבים	נ_טוימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_טוות
נפעל 	הווה	שני 	זכר 	רבים	נ_טוימ
נפעל 	הווה	שני 	נקבה	רבים	נ_טוות
נפעל 	הווה	שלישי	זכר 	רבים	נ_טוימ
נפעל 	הווה	שלישי	נקבה	רבים	נ_טוות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_טוה
נפעל 	עתיד	ראשון	נקבה	יחיד	א_טוה
נפעל 	עתיד	שני 	זכר 	יחיד	_טוה
נפעל 	עתיד	שני 	נקבה	יחיד	_טוי
נפעל 	עתיד	שלישי	זכר 	יחיד	י_טוה
נפעל 	עתיד	שלישי	נקבה	יחיד	_טוה
נפעל 	עתיד	ראשון	זכר 	רבים	נ_טוה
נפעל 	עתיד	ראשון	נקבה	רבים	נ_טוה
נפעל 	עתיד	שני 	זכר 	רבים	_טוו
נפעל 	עתיד	שני 	נקבה	רבים	_טוינה
נפעל 	עתיד	שלישי	זכר 	רבים	י_טוו
נפעל 	עתיד	שלישי	נקבה	רבים	_טוינה
נפעל 	ציווי	שני 	זכר 	יחיד	ה_טוה
נפעל 	ציווי	שני 	נקבה	יחיד	ה_טוי
נפעל 	ציווי	שני 	זכר 	רבים	ה_טוו
נפעל 	ציווי	שני 	נקבה	רבים	ה_טוינה
פיעל	עבר 	ראשון	זכר 	יחיד	_טיויתי
פיעל	עבר 	ראשון	נקבה	יחיד	_טיויתי
פיעל	עבר 	שני 	זכר 	יחיד	_טיוית
פיעל	עבר 	שני 	נקבה	יחיד	_טיוית
פיעל	עבר 	שלישי	זכר 	יחיד	_טיוה
פיעל	עבר 	שלישי	נקבה	יחיד	_טיותה
פיעל	עבר 	ראשון	זכר 	רבים	_טיוינו
פיעל	עבר 	ראשון	נקבה	רבים	_טיוינו
פיעל	עבר 	שני 	זכר 	רבים	_טיויתמ
פיעל	עבר 	שני 	נקבה	רבים	_טיויתנ
פיעל	עבר 	שלישי	זכר 	רבים	_טיוו
פיעל	עבר 	שלישי	נקבה	רבים	_טיוו
פיעל	הווה	ראשון	זכר 	יחיד	מ_טוה
פיעל	הווה	ראשון	נקבה	יחיד	מ_טוה
פיעל	הווה	שני 	זכר 	יחיד	מ_טוה
פיעל	הווה	שני 	נקבה	יחיד	מ_טוה
פיעל	הווה	שלישי	זכר 	יחיד	מ_טוה
פיעל	הווה	שלישי	נקבה	יחיד	מ_טוה
פיעל	הווה	ראשון	זכר 	רבים	מ_טוימ
פיעל	הווה	ראשון	נקבה	רבים	מ_טוות
פיעל	הווה	שני 	זכר 	רבים	מ_טוימ
פיעל	הווה	שני 	נקבה	רבים	מ_טוות
פיעל	הווה	שלישי	זכר 	רבים	מ_טוימ
פיעל	הווה	שלישי	נקבה	רבים	מ_טוות
פיעל	עתיד	ראשון	זכר 	יחיד	א_טוה
פיעל	עתיד	ראשון	נקבה	יחיד	א_טוה
פיעל	עתיד	שני 	זכר 	יחיד	_טוה
פיעל	עתיד	שני 	נקבה	יחיד	_טוי
פיעל	עתיד	שלישי	זכר 	יחיד	י_טוה
פיעל	עתיד	שלישי	נקבה	יחיד	_טוה
פיעל	עתיד	ראשון	זכר 	רבים	נ_טוה
פיעל	עתיד	ראשון	נקבה	רבים	נ_טוה
פיעל	עתיד	שני 	זכר 	רבים	_טוו
פיעל	עתיד	שני 	נקבה	רבים	_טוינה
פיעל	עתיד	שלישי	זכר 	רבים	י_טוו
פיעל	עתיד	שלישי	נקבה	רבים	_טוינה
פיעל	ציווי	שני 	זכר 	יחיד	_טוה
פיעל	ציווי	שני 	נקבה	יחיד	_טוי
