זקר
פעל 	הווה	_	_ 	_	ל_ז_קו_ר
פעל 	הווה	_	_ 	_	ל_ז_ק_ר
פיעל 	הווה	_	_ 	_	ל_ז_ק_ר
הופעל 	הווה	_	_ 	_	להי_ז_ק_ר
הופעל 	הווה	_	_ 	_	לה_ז_ק_ר
הפעיל 	הווה	_	_ 	_	לה_ז_קי_ר
התפעל 	הווה	_	_ 	_	לה_זד_ק_ר
פעל 	עבר  	ראשון	זכר 	יחיד	_ז_ק_רתי
פעל 	עבר  	ראשון	נקבה	יחיד	_ז_ק_רתי
פעל 	עבר  	שני 	זכר 	יחיד	_ז_ק_רת
פעל 	עבר  	שני 	נקבה	יחיד	_ז_ק_רת
פעל 	עבר  	שלישי	זכר 	יחיד	_ז_ק_ר
פעל 	עבר  	שלישי	נקבה	יחיד	_ז_ק_רה
פעל 	עבר  	ראשון	זכר 	רבים	_ז_ק_רנו
פעל 	עבר  	ראשון	נקבה	רבים	_ז_ק_רנו
פעל 	עבר  	שני 	זכר 	רבים	_ז_ק_רתמ
פעל 	עבר  	שני 	נקבה	רבים	_ז_ק_רתנ
פעל 	עבר  	שלישי	זכר 	רבים	_ז_ק_רו
פעל 	עבר  	שלישי	נקבה	רבים	_ז_ק_רו
פעל 	הווה	ראשון	זכר 	יחיד	_זו_ק_ר
פעל 	הווה	ראשון	נקבה	יחיד	_זו_ק_רת
פעל 	הווה	שני 	זכר 	יחיד	_זו_ק_ר
פעל 	הווה	שני 	נקבה	יחיד	_זו_ק_רת
פעל 	הווה	שלישי	זכר 	יחיד	_זו_ק_ר
פעל 	הווה	שלישי	נקבה	יחיד	_זו_ק_רת
פעל 	הווה	ראשון	זכר 	רבים	_זו_ק_רימ
פעל 	הווה	ראשון	נקבה	רבים	_זו_ק_רות
פעל 	הווה	שני 	זכר 	רבים	_זו_ק_רימ
פעל 	הווה	שני 	נקבה	רבים	_זו_ק_רות
פעל 	הווה	שלישי	זכר 	רבים	_זו_ק_רימ
פעל 	הווה	שלישי	נקבה	רבים	_זו_ק_רות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ז_קו_ר
פעל 	עתיד	ראשון	נקבה	יחיד	א_ז_קו_ר
פעל 	עתיד	שני 	זכר 	יחיד	ת_ז_קו_ר
פעל 	עתיד	שני 	נקבה	יחיד	ת_ז_ק_רי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ז_קו_ר
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ז_קו_ר
פעל 	עתיד	ראשון	זכר 	רבים	נ_ז_קו_ר
פעל 	עתיד	ראשון	נקבה	רבים	נ_ז_קו_ר
פעל 	עתיד	שני 	זכר 	רבים	ת_ז_קו_רו
פעל 	עתיד	שני 	נקבה	רבים	ת_ז_קו_רנה
פעל 	עתיד	שלישי	זכר 	רבים	י_ז_ק_רו
פעל 	עתיד	שלישי	נקבה	רבים	ת_ז_קו_רנה
