זקק
פעל 	עבר 	ראשון	זכר 	יחיד	_ז_ק_קתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ז_ק_קתי
פעל 	עבר 	שני 	זכר 	יחיד	_ז_ק_קת
פעל 	עבר 	שני 	נקבה	יחיד	_ז_ק_קת
פעל 	עבר 	שלישי	זכר 	יחיד	_ז_ק_ק
פעל 	עבר 	שלישי	נקבה	יחיד	_ז_ק_קה
פעל 	עבר 	ראשון	זכר 	רבים	_ז_ק_קנו
פעל 	עבר 	ראשון	נקבה	רבים	_ז_ק_קנו
פעל 	עבר 	שני 	זכר 	רבים	_ז_ק_קתמ
פעל 	עבר 	שני 	נקבה	רבים	_ז_ק_קתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ז_ק_קו
פעל 	עבר 	שלישי	נקבה	רבים	_ז_ק_קו
פעל 	הווה	ראשון	זכר 	יחיד	_ז_ק_ק
פעל 	הווה	ראשון	נקבה	יחיד	_ז_ק_קה
פעל 	הווה	שני 	זכר 	יחיד	_ז_ק_ק
פעל 	הווה	שני 	נקבה	יחיד	_ז_ק_קה
פעל 	הווה	שלישי	זכר 	יחיד	_ז_ק_ק
פעל 	הווה	שלישי	נקבה	יחיד	_ז_ק_קה
פעל 	הווה	ראשון	זכר 	רבים	_ז_ק_קימ
פעל 	הווה	ראשון	נקבה	רבים	_ז_ק_קות
פעל 	הווה	שני 	זכר 	רבים	_ז_ק_קימ
פעל 	הווה	שני 	נקבה	רבים	_ז_ק_קות
פעל 	הווה	שלישי	זכר 	רבים	_ז_ק_קימ
פעל 	הווה	שלישי	נקבה	רבים	_ז_ק_קות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ז_קו_ק
פעל 	עתיד	ראשון	נקבה	יחיד	א_ז_קו_ק
פעל 	עתיד	שני 	זכר 	יחיד	ת_ז_קו_ק
פעל 	עתיד	שני 	נקבה	יחיד	ת_ז_קו_קי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ז_קו_ק
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ז_קו_ק
פעל 	עתיד	ראשון	זכר 	רבים	נ_ז_קו_ק
פעל 	עתיד	ראשון	נקבה	רבים	נ_ז_קו_ק
פעל 	עתיד	שני 	זכר 	רבים	ת_ז_קו_קו
פעל 	עתיד	שני 	נקבה	רבים	ת_ז_קו_קנה
פעל 	עתיד	שלישי	זכר 	רבים	י_ז_קו_קו
פעל 	עתיד	שלישי	נקבה	רבים	י_ז_קו_קנה
פעל 	ציווי	שני 	זכר 	יחיד	_ז_קו_ק
פעל 	ציווי	שני 	נקבה	יחיד	_ז_ק_קי
פעל 	ציווי	שני 	זכר 	רבים	_ז_ק_קו
פעל 	ציווי	שני 	נקבה	רבים	_ז_קו_קנה
פעל 	עבר 	ראשון	זכר 	יחיד	_ז_קתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ז_קתי
פעל 	עבר 	שני 	זכר 	יחיד	_ז_קת
פעל 	עבר 	שני 	נקבה	יחיד	_ז_קת
פעל 	עבר 	שלישי	זכר 	יחיד	_ז_ק
פעל 	עבר 	שלישי	נקבה	יחיד	_ז_קה
פעל 	עבר 	ראשון	זכר 	רבים	_ז_קנו
פעל 	עבר 	ראשון	נקבה	רבים	_ז_קנו
פעל 	עבר 	שני 	זכר 	רבים	_ז_קתמ
פעל 	עבר 	שני 	נקבה	רבים	_ז_קתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ז_קו
פעל 	עבר 	שלישי	נקבה	רבים	_ז_קו
פעל 	הווה	ראשון	זכר 	יחיד	_ז_ק
פעל 	הווה	ראשון	נקבה	יחיד	_ז_קה
פעל 	הווה	שני 	זכר 	יחיד	_ז_ק
פעל 	הווה	שני 	נקבה	יחיד	_ז_קה
פעל 	הווה	שלישי	זכר 	יחיד	_ז_ק
פעל 	הווה	שלישי	נקבה	יחיד	_ז_קה
פעל 	הווה	ראשון	זכר 	רבים	_ז_קימ
פעל 	הווה	ראשון	נקבה	רבים	_ז_קות
פעל 	הווה	שני 	זכר 	רבים	_ז_קימ
פעל 	הווה	שני 	נקבה	רבים	_ז_קות
פעל 	הווה	שלישי	זכר 	רבים	_ז_קימ
