זרי
פעל 	עבר 	ראשון	זכר 	יחיד	_ז_ריתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ז_ריתי
פעל 	עבר 	שני 	זכר 	יחיד	_ז_רית
פעל 	עבר 	שני 	נקבה	יחיד	_ז_רית
פעל 	עבר 	שלישי	זכר 	יחיד	_ז_רה
פעל 	עבר 	שלישי	נקבה	יחיד	_ז_רתה
פעל 	עבר 	ראשון	זכר 	רבים	_ז_רינו
פעל 	עבר 	ראשון	נקבה	רבים	_ז_רינו
פעל 	עבר 	שני 	זכר 	רבים	_ז_ריתמ
פעל 	עבר 	שני 	נקבה	רבים	_ז_ריתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ז_רו
פעל 	עבר 	שלישי	נקבה	רבים	_ז_רו
פעל 	הווה	ראשון	זכר 	יחיד	_זו_רה
פעל 	הווה	ראשון	נקבה	יחיד	_זו_רה
פעל 	הווה	שני 	זכר 	יחיד	_זו_רה
פעל 	הווה	שני 	נקבה	יחיד	_זו_רה
פעל 	הווה	שלישי	זכר 	יחיד	_זו_רה
פעל 	הווה	שלישי	נקבה	יחיד	_זו_רה
פעל 	הווה	ראשון	זכר 	רבים	_זו_רימ
פעל 	הווה	ראשון	נקבה	רבים	_זו_רות
פעל 	הווה	שני 	זכר 	רבים	_זו_רימ
פעל 	הווה	שני 	נקבה	רבים	_זו_רות
פעל 	הווה	שלישי	זכר 	רבים	_זו_רימ
פעל 	הווה	שלישי	נקבה	רבים	_זו_רות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ז_רה
פעל 	עתיד	ראשון	נקבה	יחיד	א_ז_רה
פעל 	עתיד	שני 	זכר 	יחיד	ת_ז_רה
פעל 	עתיד	שני 	נקבה	יחיד	ת_ז_רי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ז_רה
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ז_רה
פעל 	עתיד	ראשון	זכר 	רבים	נ_ז_רה
פעל 	עתיד	ראשון	נקבה	רבים	נ_ז_רה
פעל 	עתיד	שני 	זכר 	רבים	ת_ז_רו
פעל 	עתיד	שני 	נקבה	רבים	ת_ז_רינה
פעל 	עתיד	שלישי	זכר 	רבים	י_ז_רו
פעל 	עתיד	שלישי	נקבה	רבים	ת_ז_רינה
פעל 	ציווי	שני 	זכר 	יחיד	_ז_רה
פעל 	ציווי	שני 	נקבה	יחיד	_ז_רי
פעל 	ציווי	שני 	זכר 	רבים	_ז_רו
פעל 	ציווי	שני 	נקבה	רבים	_ז_רינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_ז_ריתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_ז_ריתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_ז_רית
נפעל 	עבר 	שני 	נקבה	יחיד	נ_ז_רית
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_ז_רה
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_ז_רתה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_ז_רינו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_ז_רינו
נפעל 	עבר 	שני 	זכר 	רבים	נ_ז_ריתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_ז_ריתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_ז_רו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_ז_רו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_ז_רה
נפעל 	הווה	ראשון	נקבה	יחיד	נ_ז_רית
נפעל 	הווה	שני 	זכר 	יחיד	נ_ז_רה
נפעל 	הווה	שני 	נקבה	יחיד	נ_ז_רית
נפעל 	הווה	שלישי	זכר 	יחיד	נ_ז_רה
נפעל 	הווה	שלישי	נקבה	יחיד	נ_ז_רית
נפעל 	הווה	ראשון	זכר 	רבים	נ_ז_רימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_ז_רות
