זוג
פעל 	עבר 	ראשון	זכר 	יחיד	_ז_גתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ז_גתי
פעל 	עבר 	שני 	זכר 	יחיד	_ז_גת
פעל 	עבר 	שני 	נקבה	יחיד	_ז_גת
פעל 	עבר 	שלישי	זכר 	יחיד	_ז_ג
פעל 	עבר 	שלישי	נקבה	יחיד	_ז_גה
פעל 	עבר 	ראשון	זכר 	רבים	_ז_גנו
פעל 	עבר 	ראשון	נקבה	רבים	_ז_גנו
פעל 	עבר 	שני 	זכר 	רבים	_ז_גתם
פעל 	עבר 	שני 	נקבה	רבים	_ז_גתן
פעל 	עבר 	שלישי	זכר 	רבים	_ז_גו
פעל 	עבר 	שלישי	נקבה	רבים	_ז_גו
פעל 	הווה	ראשון	זכר 	יחיד	_ז_ג
פעל 	הווה	ראשון	נקבה	יחיד	_ז_גה
פעל 	הווה	שני 	זכר 	יחיד	_ז_ג
פעל 	הווה	שני 	נקבה	יחיד	_ז_גה
פעל 	הווה	שלישי	זכר 	יחיד	_ז_ג
פעל 	הווה	שלישי	נקבה	יחיד	_ז_גה
פעל 	הווה	ראשון	זכר 	רבים	_ז_גים
פעל 	הווה	ראשון	נקבה	רבים	_ז_גות
פעל 	הווה	שני 	זכר 	רבים	_ז_גים
פעל 	הווה	שני 	נקבה	רבים	_ז_גות
פעל 	הווה	שלישי	זכר 	רבים	_ז_גים
פעל 	הווה	שלישי	נקבה	רבים	_ז_גות
פעל 	עתיד	ראשון	זכר 	יחיד	א_זו_ג
פעל 	עתיד	ראשון	נקבה	יחיד	א_זו_ג
פעל 	עתיד	שני 	זכר 	יחיד	ת_זו_ג
פעל 	עתיד	שני 	נקבה	יחיד	ת_זו_גי
פעל 	עתיד	שלישי	זכר 	יחיד	י_זו_ג
פעל 	עתיד	שלישי	נקבה	יחיד	ת_זו_ג
פעל 	עתיד	ראשון	זכר 	רבים	נ_זו_ג
פעל 	עתיד	ראשון	נקבה	רבים	נ_זו_ג
פעל 	עתיד	שני 	זכר 	רבים	ת_זו_גו
פעל 	עתיד	שני 	נקבה	רבים	ת_זו_גנה
פעל 	עתיד	שלישי	זכר 	רבים	י_זו_גו
פעל 	עתיד	שלישי	נקבה	רבים	י_זו_גנה
פעל 	ציווי	שני 	זכר 	יחיד	_זו_ג
פעל 	ציווי	שני 	נקבה	יחיד	_זו_גי
