צלמ
פעל 	הווה	_	_ 	_	ל_צ_לו_מ
פעל 	הווה	_	_ 	_	ל_צ_ל_מ
פיעל 	הווה	_	_ 	_	ל_צ_ל_מ
נפעל 	הווה	_	_ 	_	להי_צ_ל_מ
נפעל 	הווה	_	_ 	_	לה_צ_ל_מ
הפעיל 	הווה	_	_ 	_	לה_צ_לי_מ
התפעל 	הווה	_	_ 	_	לה_צט_ל_מ
פעל 	עבר  	ראשון	זכר 	יחיד	_צ_מ_מתי
פעל 	עבר  	ראשון	נקבה	יחיד	_צ_מ_מתי
פעל 	עבר  	שני 	זכר 	יחיד	_צ_מ_מת
פעל 	עבר  	שני 	נקבה	יחיד	_צ_מ_מת
פעל 	עבר  	שלישי	זכר 	יחיד	_צ_מ_מ
פעל 	עבר  	שלישי	נקבה	יחיד	_צ_מ_מה
פעל 	עבר  	ראשון	זכר 	רבים	_צ_מ_מנו
פעל 	עבר  	ראשון	נקבה	רבים	_צ_מ_מנו
פעל 	עבר  	שני 	זכר 	רבים	_צ_מ_מתמ
פעל 	עבר  	שני 	נקבה	רבים	_צ_מ_מתנ
פעל 	עבר  	שלישי	זכר 	רבים	_צ_מ_מו
פעל 	עבר  	שלישי	נקבה	רבים	_צ_מ_מו
פעל 	הווה	ראשון	זכר 	יחיד	_צו_מ_מ
פעל 	הווה	ראשון	נקבה	יחיד	_צו_מ_מת
פעל 	הווה	שני 	זכר 	יחיד	_צו_מ_מ
פעל 	הווה	שני 	נקבה	יחיד	_צו_מ_מת
פעל 	הווה	שלישי	זכר 	יחיד	_צו_מ_מ
פעל 	הווה	שלישי	נקבה	יחיד	_צו_מ_מת
פעל 	הווה	ראשון	זכר 	רבים	_צו_מ_מימ
פעל 	הווה	ראשון	נקבה	רבים	_צו_מ_מות
פעל 	הווה	שני 	זכר 	רבים	_צו_מ_מימ
פעל 	הווה	שני 	נקבה	רבים	_צו_מ_מות
פעל 	הווה	שלישי	זכר 	רבים	_צו_מ_מימ
פעל 	הווה	שלישי	נקבה	רבים	_צו_מ_מות
פעל 	עתיד	ראשון	זכר 	יחיד	א_צ_מו_מ
פעל 	עתיד	ראשון	נקבה	יחיד	א_צ_מו_מ
פעל 	עתיד	שני 	זכר 	יחיד	ת_צ_מו_מ
פעל 	עתיד	שני 	נקבה	יחיד	ת_צ_מ_מי
פעל 	עתיד	שלישי	זכר 	יחיד	י_צ_מו_מ
פעל 	עתיד	שלישי	נקבה	יחיד	ת_צ_מ_מ
פעל 	עתיד	ראשון	זכר 	רבים	נ_צ_מו_מ
פעל 	עתיד	ראשון	נקבה	רבים	נ_צ_מו_מ
פעל 	עתיד	שני 	זכר 	רבים	ת_צ_מ_מו
פעל 	עתיד	שני 	נקבה	רבים	ת_צ_מו_מנה
פעל 	עתיד	שלישי	זכר 	רבים	י_צ_מ_מו
פעל 	עתיד	שלישי	נקבה	רבים	ת_צ_מו_מנה
פעל 	ציווי	שני 	זכר 	יחיד	_צ_מו_מ
פעל 	ציווי	שני 	נקבה	יחיד	_צי_מ_מי
פעל 	ציווי	שני 	זכר 	רבים	_צי_מ_מו
פעל 	ציווי	שני 	נקבה	רבים	_צ_מו_מנה
נפעל	עבר 	ראשון	זכר 	יחיד	נ_צ_מ_מתי
נפעל	עבר 	ראשון	נקבה	יחיד	נ_צ_מ_מתי
נפעל	עבר 	שני 	זכר 	יחיד	נ_צ_מ_מת
נפעל	עבר 	שני 	נקבה	יחיד	נ_צ_מ_מת
נפעל	עבר 	שלישי	זכר 	יחיד	נ_צ_מ_מ
נפעל	עבר 	שלישי	נקבה	יחיד	נ_צ_מ_מה
נפעל	עבר 	ראשון	זכר 	רבים	נ_צ_מ_מנו
נפעל	עבר 	ראשון	נקבה	רבים	נ_צ_מ_מנו
נפעל	עבר 	שני 	זכר 	רבים	נ_צ_מ_מתמ
נפעל	עבר 	שני 	נקבה	רבים	נ_צ_מ_מתנ
נפעל	עבר 	שלישי	זכר 	רבים	נ_צ_מ_מו
נפעל	עבר 	שלישי	נקבה	רבים	נ_צ_מ_מו
נפעל	הווה	ראשון	זכר 	יחיד	נ_צ_מ_מ
נפעל	הווה	ראשון	נקבה	יחיד	נ_צ_מ_מת
נפעל	הווה	שני 	זכר 	יחיד	נ_צ_מ_מ
נפעל	הווה	שני 	נקבה	יחיד	נ_צ_מ_מת
נפעל	הווה	שלישי	זכר 	יחיד	נ_צ_מ_מ
נפעל	הווה	שלישי	נקבה	יחיד	נ_צ_מ_מת
נפעל	הווה	ראשון	זכר 	רבים	נ_צ_מ_מימ
נפעל	הווה	ראשון	נקבה	רבים	נ_צ_מ_מות
נפעל	הווה	שני 	זכר 	רבים	נ_צ_מ_מימ
נפעל	הווה	שני 	נקבה	רבים	נ_צ_מ_מות
נפעל	הווה	שלישי	זכר 	רבים	נ_צ_מ_מימ
נפעל	הווה	שלישי	נקבה	רבים	נ_צ_מ_מות
נפעל	עתיד	ראשון	זכר 	יחיד	א_צ_מ_מ
נפעל	עתיד	ראשון	נקבה	יחיד	א_צ_מ_מ
נפעל	עתיד	שני 	זכר 	יחיד	תי_צ_מ_מ
נפעל	עתיד	שני 	נקבה	יחיד	תי_צ_מ_מי
נפעל	עתיד	שלישי	זכר 	יחיד	יי_צ_מ_מ
נפעל	עתיד	שלישי	נקבה	יחיד	תי_צ_מ_מ
נפעל	עתיד	ראשון	זכר 	רבים	נ_צ_מ_מ
נפעל	עתיד	ראשון	נקבה	רבים	נ_צ_מ_מ
נפעל	עתיד	שני 	זכר 	רבים	תי_צ_מ_מו
נפעל	עתיד	שני 	נקבה	רבים	תי_צ_מ_מנה
נפעל	עתיד	שלישי	זכר 	רבים	יי_צ_מ_מו
נפעל	עתיד	שלישי	נקבה	רבים	תי_צ_מ_מנה
נפעל	ציווי	שני 	זכר 	יחיד	הי_צ_מ_מ
נפעל	ציווי	שני 	נקבה	יחיד	ה_צ_מ_מי
נפעל	ציווי	שני 	זכר 	רבים	ה_צ_מ_מו
נפעל	ציווי	שני 	נקבה	רבים	ה_צ_מ_מנה
פיעל	עבר 	ראשון	זכר 	יחיד	_צי_מ_מתי
פיעל	עבר 	ראשון	נקבה	יחיד	_צי_מ_מתי
פיעל	עבר 	שני 	זכר 	יחיד	_צי_מ_מת
פיעל	עבר 	שני 	נקבה	יחיד	_צי_מ_מת
פיעל	עבר 	שלישי	זכר 	יחיד	_צי_מ_מ
פיעל	עבר 	שלישי	נקבה	יחיד	_צי_מ_מה
פיעל	עבר 	ראשון	זכר 	רבים	_צי_מ_מנו
פיעל	עבר 	ראשון	נקבה	רבים	_צי_מ_מנו
פיעל	עבר 	שני 	זכר 	רבים	_צי_מ_מתמ
פיעל	עבר 	שני 	נקבה	רבים	_צי_מ_מתנ
פיעל	עבר 	שלישי	זכר 	רבים	_צי_מ_מו
פיעל	עבר 	שלישי	נקבה	רבים	_צי_מ_מו
פיעל	הווה	ראשון	זכר 	יחיד	מ_צ_מ_מ
פיעל	הווה	ראשון	נקבה	יחיד	מ_צ_מ_מת
פיעל	הווה	שני 	זכר 	יחיד	מ_צ_מ_מ
פיעל	הווה	שני 	נקבה	יחיד	מ_צ_מ_מת
פיעל	הווה	שלישי	זכר 	יחיד	מ_צ_מ_מ
פיעל	הווה	שלישי	נקבה	יחיד	מ_צ_מ_מת
פיעל	הווה	ראשון	זכר 	רבים	מ_צ_מ_מימ
פיעל	הווה	ראשון	נקבה	רבים	מ_צ_מ_מות
פיעל	הווה	שני 	זכר 	רבים	מ_צ_מ_מימ
פיעל	הווה	שני 	נקבה	רבים	מ_צ_מ_מות
פיעל	הווה	שלישי	זכר 	רבים	מ_צ_מ_מימ
פיעל	הווה	שלישי	נקבה	רבים	מ_צ_מ_מות
פיעל	עתיד	ראשון	זכר 	יחיד	א_צ_מ_מ
פיעל	עתיד	ראשון	נקבה	יחיד	א_צ_מ_מ
פיעל	עתיד	שני 	זכר 	יחיד	ת_צ_מ_מ
פיעל	עתיד	שני 	נקבה	יחיד	ת_צ_מ_מי
פיעל	עתיד	שלישי	זכר 	יחיד	י_צ_מ_מ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צ_מ_מ
פיעל	עתיד	ראשון	זכר 	רבים	נ_צ_מ_מ
פיעל	עתיד	ראשון	נקבה	רבים	נ_צ_מ_מ
פיעל	עתיד	שני 	זכר 	רבים	ת_צ_מ_מו
פיעל	עתיד	שני 	נקבה	רבים	ת_צ_מ_מנה
פיעל	עתיד	שלישי	זכר 	רבים	י_צ_מ_מו
פיעל	עתיד	שלישי	נקבה	רבים	ת_צ_מ_מנה
פיעל	ציווי	שני 	זכר 	יחיד	_צ_מ_מ
פיעל	ציווי	שני 	נקבה	יחיד	_צ_מ_מי
פיעל	ציווי	שני 	זכר 	רבים	_צ_מ_מו
פיעל	ציווי	שני 	נקבה	רבים	_צ_מ_מנה
פועל	עבר 	ראשון	זכר 	יחיד	_צו_מ_מתי
פועל	עבר 	ראשון	נקבה	יחיד	_צו_מ_מתי
פועל	עבר 	שני 	זכר 	יחיד	_צו_מ_מת
פועל	עבר 	שני 	נקבה	יחיד	_צו_מ_מת
פועל	עבר 	שלישי	זכר 	יחיד	_צו_מ_מ
פועל	עבר 	שלישי	נקבה	יחיד	_צו_מ_מה
פועל	עבר 	ראשון	זכר 	רבים	_צו_מ_מנו
פועל	עבר 	ראשון	נקבה	רבים	_צו_מ_מנו
פועל	עבר 	שני 	זכר 	רבים	_צו_מ_מתמ
פועל	עבר 	שני 	נקבה	רבים	_צו_מ_מתנ
פועל	עבר 	שלישי	זכר 	רבים	_צו_מ_מו
פועל	עבר 	שלישי	נקבה	רבים	_צו_מ_מו
פועל	הווה	ראשון	זכר 	יחיד	מ_צו_מ_מ
פועל	הווה	ראשון	נקבה	יחיד	מ_צו_מ_מת
פועל	הווה	שני 	זכר 	יחיד	מ_צו_מ_מ
פועל	הווה	שני 	נקבה	יחיד	מ_צו_מ_מת
פועל	הווה	שלישי	זכר 	יחיד	מ_צו_מ_מ
פועל	הווה	שלישי	נקבה	יחיד	מ_צו_מ_מת
פועל	הווה	ראשון	זכר 	רבים	מ_צו_מ_מימ
פועל	הווה	ראשון	נקבה	רבים	מ_צו_מ_מות
פועל	הווה	שני 	זכר 	רבים	מ_צו_מ_מימ
פועל	הווה	שני 	נקבה	רבים	מ_צו_מ_מות
פועל	הווה	שלישי	זכר 	רבים	מ_צו_מ_מימ
פועל	הווה	שלישי	נקבה	רבים	מ_צו_מ_מות
פועל	עתיד	ראשון	זכר 	יחיד	א_צו_מ_מ
פועל	עתיד	ראשון	נקבה	יחיד	א_צו_מ_מ
פועל	עתיד	שני 	זכר 	יחיד	ת_צו_מ_מ
פועל	עתיד	שני 	נקבה	יחיד	ת_צו_מ_מי
פועל	עתיד	שלישי	זכר 	יחיד	י_צו_מ_מ
פועל	עתיד	שלישי	נקבה	יחיד	ת_צו_מ_מ
פועל	עתיד	ראשון	זכר 	רבים	נ_צו_מ_מ
פועל	עתיד	ראשון	נקבה	רבים	נ_צו_מ_מ
פועל	עתיד	שני 	זכר 	רבים	ת_צו_מ_מו
פועל	עתיד	שני 	נקבה	רבים	ת_צו_מ_מנה
פועל	עתיד	שלישי	זכר 	רבים	י_צו_מ_מו
