צרר
פעל 	הווה	_	_ 	_	ל_צ_רו_ר
פעל 	הווה	_	_ 	_	ל_צ_ר_ר
פיעל 	הווה	_	_ 	_	ל_צ_ר_ר
נפעל 	הווה	_	_ 	_	להי_צ_ר_ר
נפעל 	הווה	_	_ 	_	לה_צ_ר_ר
הפעיל 	הווה	_	_ 	_	לה_צ_רי_ר
התפעל 	הווה	_	_ 	_	לה_צט_ר_ר
פעל 	עבר 	ראשון	זכר 	יחיד	_צ_ר_רתי
פעל 	עבר 	ראשון	נקבה	יחיד	_צ_ר_רתי
פעל 	עבר 	שני 	זכר 	יחיד	_צ_ר_רת
פעל 	עבר 	שני 	נקבה	יחיד	_צ_ר_רת
פעל 	עבר 	שלישי	זכר 	יחיד	_צ_ר_ר
פעל 	עבר 	שלישי	נקבה	יחיד	_צ_ר_רה
פעל 	עבר 	ראשון	זכר 	רבים	_צ_ר_רנו
פעל 	עבר 	ראשון	נקבה	רבים	_צ_ר_רנו
פעל 	עבר 	שני 	זכר 	רבים	_צ_ר_רתמ
פעל 	עבר 	שני 	נקבה	רבים	_צ_ר_רתנ
פעל 	עבר 	שלישי	זכר 	רבים	_צ_ר_רו
פעל 	עבר 	שלישי	נקבה	רבים	_צ_ר_רו
פעל 	הווה	ראשון	זכר 	יחיד	_צ_ר_ר
פעל 	הווה	ראשון	נקבה	יחיד	_צ_ר_רה
פעל 	הווה	שני 	זכר 	יחיד	_צ_ר_ר
פעל 	הווה	שני 	נקבה	יחיד	_צ_ר_רה
פעל 	הווה	שלישי	זכר 	יחיד	_צ_ר_ר
פעל 	הווה	שלישי	נקבה	יחיד	_צ_ר_רה
פעל 	הווה	ראשון	זכר 	רבים	_צ_ר_רימ
פעל 	הווה	ראשון	נקבה	רבים	_צ_ר_רות
פעל 	הווה	שני 	זכר 	רבים	_צ_ר_רימ
פעל 	הווה	שני 	נקבה	רבים	_צ_ר_רות
פעל 	הווה	שלישי	זכר 	רבים	_צ_ר_רימ
פעל 	הווה	שלישי	נקבה	רבים	_צ_ר_רות
פעל 	עתיד	ראשון	זכר 	יחיד	א_צ_רו_ר
פעל 	עתיד	ראשון	נקבה	יחיד	א_צ_רו_ר
פעל 	עתיד	שני 	זכר 	יחיד	ת_צ_רו_ר
פעל 	עתיד	שני 	נקבה	יחיד	ת_צ_רו_רי
פעל 	עתיד	שלישי	זכר 	יחיד	י_צ_רו_ר
פעל 	עתיד	שלישי	נקבה	יחיד	ת_צ_רו_ר
פעל 	עתיד	ראשון	זכר 	רבים	נ_צ_רו_ר
פעל 	עתיד	ראשון	נקבה	רבים	נ_צ_רו_ר
פעל 	עתיד	שני 	זכר 	רבים	ת_צ_רו_רו
פעל 	עתיד	שני 	נקבה	רבים	ת_צ_רו_רנה
פעל 	עתיד	שלישי	זכר 	רבים	י_צ_רו_רו
פעל 	עתיד	שלישי	נקבה	רבים	י_צ_רו_רנה
פעל 	ציווי	שני 	זכר 	יחיד	_צ_רו_ר
