צלי
פעל 	עבר 	ראשון	זכר 	יחיד	_צ_ליתי
פעל 	עבר 	ראשון	נקבה	יחיד	_צ_ליתי
פעל 	עבר 	שני 	זכר 	יחיד	_צ_לית
פעל 	עבר 	שני 	נקבה	יחיד	_צ_לית
פעל 	עבר 	שלישי	זכר 	יחיד	_צ_לה
פעל 	עבר 	שלישי	נקבה	יחיד	_צ_לתה
פעל 	עבר 	ראשון	זכר 	רבים	_צ_לינו
פעל 	עבר 	ראשון	נקבה	רבים	_צ_לינו
פעל 	עבר 	שני 	זכר 	רבים	_צ_ליתם
פעל 	עבר 	שני 	נקבה	רבים	_צ_ליתן
פעל 	עבר 	שלישי	זכר 	רבים	_צ_לו
פעל 	עבר 	שלישי	נקבה	רבים	_צ_לו
פעל 	הווה	ראשון	זכר 	יחיד	_צו_לה
פעל 	הווה	ראשון	נקבה	יחיד	_צו_לה
פעל 	הווה	שני 	זכר 	יחיד	_צו_לה
פעל 	הווה	שני 	נקבה	יחיד	_צו_לה
פעל 	הווה	שלישי	זכר 	יחיד	_צו_לה
פעל 	הווה	שלישי	נקבה	יחיד	_צו_לה
פעל 	הווה	ראשון	זכר 	רבים	_צו_לים
פעל 	הווה	ראשון	נקבה	רבים	_צו_לות
פעל 	הווה	שני 	זכר 	רבים	_צו_לים
פעל 	הווה	שני 	נקבה	רבים	_צו_לות
פעל 	הווה	שלישי	זכר 	רבים	_צו_לים
פעל 	הווה	שלישי	נקבה	רבים	_צו_לות
פעל 	עתיד	ראשון	זכר 	יחיד	א_צ_לה
פעל 	עתיד	ראשון	נקבה	יחיד	א_צ_לה
פעל 	עתיד	שני 	זכר 	יחיד	ת_צ_לה
פעל 	עתיד	שני 	נקבה	יחיד	ת_צ_לי
פעל 	עתיד	שלישי	זכר 	יחיד	י_צ_לה
פעל 	עתיד	שלישי	נקבה	יחיד	ת_צ_לה
פעל 	עתיד	ראשון	זכר 	רבים	נ_צ_לה
פעל 	עתיד	ראשון	נקבה	רבים	נ_צ_לה
פעל 	עתיד	שני 	זכר 	רבים	ת_צ_לו
פעל 	עתיד	שני 	נקבה	רבים	ת_צ_לינה
פעל 	עתיד	שלישי	זכר 	רבים	י_צ_לו
פעל 	עתיד	שלישי	נקבה	רבים	ת_צ_לינה
פעל 	ציווי	שני 	זכר 	יחיד	_צ_לה
פעל 	ציווי	שני 	נקבה	יחיד	_צ_לי
פעל 	ציווי	שני 	זכר 	רבים	_צ_לו
פעל 	ציווי	שני 	נקבה	רבים	_צ_לינה
