צוד
פעל 	הווה	_	_ 	_	ל_צו_ד
פיעל 	הווה	_	_ 	_	ל_ציי_ד
פיעל 	הווה	_	_ 	_	ל_צי_ד
פיעל 	הווה	_	_ 	_	ל_צו_ד_ד
נפעל 	הווה	_	_ 	_	להי_צו_ד
הפעיל 	הווה	_	_ 	_	לה_צי_ד
התפעל 	הווה	_	_ 	_	לה_צטו_ד_ד
התפעל 	הווה	_	_ 	_	לה_צטיי_ד
פעל 	עבר 	ראשון	זכר 	יחיד	_צ_דתי
פעל 	עבר 	ראשון	נקבה	יחיד	_צ_דתי
פעל 	עבר 	שני 	זכר 	יחיד	_צ_דת
פעל 	עבר 	שני 	נקבה	יחיד	_צ_דת
פעל 	עבר 	שלישי	זכר 	יחיד	_צ_ד
פעל 	עבר 	שלישי	נקבה	יחיד	_צ_דה
פעל 	עבר 	ראשון	זכר 	רבים	_צ_דנו
פעל 	עבר 	ראשון	נקבה	רבים	_צ_דנו
פעל 	עבר 	שני 	זכר 	רבים	_צ_דתמ
פעל 	עבר 	שני 	נקבה	רבים	_צ_דתנ
פעל 	עבר 	שלישי	זכר 	רבים	_צ_דו
פעל 	עבר 	שלישי	נקבה	רבים	_צ_דו
פעל 	הווה	ראשון	זכר 	יחיד	_צ_ד
פעל 	הווה	ראשון	נקבה	יחיד	_צ_דה
פעל 	הווה	שני 	זכר 	יחיד	_צ_ד
פעל 	הווה	שני 	נקבה	יחיד	_צ_דה
פעל 	הווה	שלישי	זכר 	יחיד	_צ_ד
פעל 	הווה	שלישי	נקבה	יחיד	_צ_דה
פעל 	הווה	ראשון	זכר 	רבים	_צ_דימ
פעל 	הווה	ראשון	נקבה	רבים	_צ_דות
פעל 	הווה	שני 	זכר 	רבים	_צ_דימ
פעל 	הווה	שני 	נקבה	רבים	_צ_דות
פעל 	הווה	שלישי	זכר 	רבים	_צ_דימ
פעל 	הווה	שלישי	נקבה	רבים	_צ_דות
פעל 	עתיד	ראשון	זכר 	יחיד	א_צו_ד
פעל 	עתיד	ראשון	נקבה	יחיד	א_צו_ד
פעל 	עתיד	שני 	זכר 	יחיד	ת_צו_ד
פעל 	עתיד	שני 	נקבה	יחיד	ת_צו_די
פעל 	עתיד	שלישי	זכר 	יחיד	י_צו_ד
פעל 	עתיד	שלישי	נקבה	יחיד	ת_צו_ד
פעל 	עתיד	ראשון	זכר 	רבים	נ_צו_ד
פעל 	עתיד	ראשון	נקבה	רבים	נ_צו_ד
פעל 	עתיד	שני 	זכר 	רבים	ת_צו_דו
פעל 	עתיד	שני 	נקבה	רבים	ת_צו_דנה
פעל 	עתיד	שלישי	זכר 	רבים	י_צו_דו
פעל 	עתיד	שלישי	נקבה	רבים	י_צו_דנה
פעל 	ציווי	שני 	זכר 	יחיד	_צו_ד
פעל 	ציווי	שני 	נקבה	יחיד	_צו_די
פעל 	ציווי	שני 	זכר 	רבים	_צו_דו
פעל 	ציווי	שני 	נקבה	רבים	_צו_דנה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_צו_דתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_צו_דתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_צו_דת
נפעל 	עבר 	שני 	נקבה	יחיד	נ_צו_דת
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_צו_ד
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_צו_דה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_צו_דו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_צו_דו
נפעל 	עבר 	שני 	זכר 	רבים	נ_צו_דתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_צו_דתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_צו_דו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_צו_דו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_צו_ד
נפעל 	הווה	ראשון	נקבה	יחיד	נ_צו_דה
נפעל 	הווה	שני 	זכר 	יחיד	נ_צו_ד
נפעל 	הווה	שני 	נקבה	יחיד	נ_צו_דה
נפעל 	הווה	שלישי	זכר 	יחיד	נ_צו_ד
נפעל 	הווה	שלישי	נקבה	יחיד	נ_צו_דה
נפעל 	הווה	ראשון	זכר 	רבים	נ_צו_דימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_צו_דות
נפעל 	הווה	שני 	זכר 	רבים	נ_צו_דימ
נפעל 	הווה	שני 	נקבה	רבים	נ_צו_דות
נפעל 	הווה	שלישי	זכר 	רבים	נ_צו_דימ
נפעל 	הווה	שלישי	נקבה	רבים	נ_צו_דות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_צו_ד
נפעל 	עתיד	ראשון	נקבה	יחיד	א_צו_ד
נפעל 	עתיד	שני 	זכר 	יחיד	ת_צו_ד
נפעל 	עתיד	שני 	נקבה	יחיד	ת_צו_די
נפעל 	עתיד	שלישי	זכר 	יחיד	י_צו_ד
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_צו_ד
נפעל 	עתיד	ראשון	זכר 	רבים	נ_צו_ד
נפעל 	עתיד	ראשון	נקבה	רבים	נ_צו_ד
נפעל 	עתיד	שני 	זכר 	רבים	ת_צו_דו
נפעל 	עתיד	שני 	נקבה	רבים	ת_צו_דנה
נפעל 	עתיד	שלישי	זכר 	רבים	י_צו_דו
נפעל 	עתיד	שלישי	נקבה	רבים	ת_צו_דנה
נפעל 	ציווי	שני 	זכר 	יחיד	הי_צו_ד
נפעל 	ציווי	שני 	נקבה	יחיד	הי_צו_די
נפעל 	ציווי	שני 	זכר 	רבים	הי_צו_דו
נפעל 	ציווי	שני 	נקבה	רבים	הי_צו_דנה
פיעל	עבר 	ראשון	זכר 	יחיד	_ציי_דתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ציי_דתי
פיעל	עבר 	שני 	זכר 	יחיד	_ציי_דתי
פיעל	עבר 	שני 	נקבה	יחיד	_ציי_דתי
