צוי
פיעל 	הווה	_	_ 	_	ל_צוות
התפעל 	הווה	_	_ 	_	לה_צטוות
פעל 	עבר 	ראשון	זכר 	יחיד	_צויתי
פעל 	עבר 	ראשון	נקבה	יחיד	_צויתי
פעל 	עבר 	שני 	זכר 	יחיד	_צוית
פעל 	עבר 	שני 	נקבה	יחיד	_צוית
פעל 	עבר 	שלישי	זכר 	יחיד	_צוה
פעל 	עבר 	שלישי	נקבה	יחיד	_צותה
פעל 	עבר 	ראשון	זכר 	רבים	_צוינו
פעל 	עבר 	ראשון	נקבה	רבים	_צוינו
פעל 	עבר 	שני 	זכר 	רבים	_צויתמ
פעל 	עבר 	שני 	נקבה	רבים	_צויתנ
פעל 	עבר 	שלישי	זכר 	רבים	_צוו
פעל 	עבר 	שלישי	נקבה	רבים	_צוו
פעל 	הווה	ראשון	זכר 	יחיד	_צווה
פעל 	הווה	ראשון	נקבה	יחיד	_צווה
פעל 	הווה	שני 	זכר 	יחיד	_צווה
פעל 	הווה	שני 	נקבה	יחיד	_צווה
פעל 	הווה	שלישי	זכר 	יחיד	_צווה
פעל 	הווה	שלישי	נקבה	יחיד	_צווה
פעל 	הווה	ראשון	זכר 	רבים	_צווימ
פעל 	הווה	ראשון	נקבה	רבים	_צוות
פעל 	הווה	שני 	זכר 	רבים	_צווימ
פעל 	הווה	שני 	נקבה	רבים	_צוות
פעל 	הווה	שלישי	זכר 	רבים	_צווימ
פעל 	הווה	שלישי	נקבה	רבים	_צוות
פעל 	עתיד	ראשון	זכר 	יחיד	א_צוה
פעל 	עתיד	ראשון	נקבה	יחיד	א_צוה
פעל 	עתיד	שני 	זכר 	יחיד	ת_צוה
פעל 	עתיד	שני 	נקבה	יחיד	ת_צוי
פעל 	עתיד	שלישי	זכר 	יחיד	י_צוה
פעל 	עתיד	שלישי	נקבה	יחיד	ת_צוה
פעל 	עתיד	ראשון	זכר 	רבים	נ_צוה
פעל 	עתיד	ראשון	נקבה	רבים	נ_צוה
פעל 	עתיד	שני 	זכר 	רבים	ת_צוו
פעל 	עתיד	שני 	נקבה	רבים	ת_צוינה
פעל 	עתיד	שלישי	זכר 	רבים	י_צוו
פעל 	עתיד	שלישי	נקבה	רבים	ת_צוינה
פעל 	ציווי	שני 	זכר 	יחיד	_צוה
פעל 	ציווי	שני 	נקבה	יחיד	_צוי
פעל 	ציווי	שני 	זכר 	רבים	_צוו
פעל 	ציווי	שני 	נקבה	רבים	_צוינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_צויתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_צויתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_צוית
נפעל 	עבר 	שני 	נקבה	יחיד	נ_צוית
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_צוה
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_צותה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_צוינו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_צוינו
נפעל 	עבר 	שני 	זכר 	רבים	נ_צויתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_צויתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_צוו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_צוו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_צוה
נפעל 	הווה	ראשון	נקבה	יחיד	נ_צוית
נפעל 	הווה	שני 	זכר 	יחיד	נ_צוה
נפעל 	הווה	שני 	נקבה	יחיד	נ_צוית
נפעל 	הווה	שלישי	זכר 	יחיד	נ_צוה
נפעל 	הווה	שלישי	נקבה	יחיד	נ_צוית
נפעל 	הווה	ראשון	זכר 	רבים	נ_צוימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_צוות
נפעל 	הווה	שני 	זכר 	רבים	נ_צוימ
נפעל 	הווה	שני 	נקבה	רבים	נ_צוות
נפעל 	הווה	שלישי	זכר 	רבים	נ_צוימ
נפעל 	הווה	שלישי	נקבה	רבים	נ_צוות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_צוה
נפעל 	עתיד	ראשון	נקבה	יחיד	א_צוה
נפעל 	עתיד	שני 	זכר 	יחיד	ת_צוה
נפעל 	עתיד	שני 	נקבה	יחיד	ת_צוי
נפעל 	עתיד	שלישי	זכר 	יחיד	י_צוה
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_צוה
נפעל 	עתיד	ראשון	זכר 	רבים	נ_צוה
נפעל 	עתיד	ראשון	נקבה	רבים	נ_צוה
נפעל 	עתיד	שני 	זכר 	רבים	ת_צוו
נפעל 	עתיד	שני 	נקבה	רבים	ת_צוינה
נפעל 	עתיד	שלישי	זכר 	רבים	י_צוו
נפעל 	עתיד	שלישי	נקבה	רבים	ת_צוינה
נפעל 	ציווי	שני 	זכר 	יחיד	ה_צוה
נפעל 	ציווי	שני 	נקבה	יחיד	ה_צוי
נפעל 	ציווי	שני 	זכר 	רבים	ה_צוו
נפעל 	ציווי	שני 	נקבה	רבים	ה_צוינה
פיעל	עבר 	ראשון	זכר 	יחיד	_ציויתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ציויתי
פיעל	עבר 	שני 	זכר 	יחיד	_ציוית
פיעל	עבר 	שני 	נקבה	יחיד	_ציוית
פיעל	עבר 	שלישי	זכר 	יחיד	_ציוה
פיעל	עבר 	שלישי	נקבה	יחיד	_ציותה
פיעל	עבר 	ראשון	זכר 	רבים	_ציוינו
פיעל	עבר 	ראשון	נקבה	רבים	_ציוינו
פיעל	עבר 	שני 	זכר 	רבים	_ציויתמ
פיעל	עבר 	שני 	נקבה	רבים	_ציויתנ
פיעל	עבר 	שלישי	זכר 	רבים	_ציוו
פיעל	עבר 	שלישי	נקבה	רבים	_ציוו
פיעל	הווה	ראשון	זכר 	יחיד	מ_צוה
פיעל	הווה	ראשון	נקבה	יחיד	מ_צוה
פיעל	הווה	שני 	זכר 	יחיד	מ_צוה
פיעל	הווה	שני 	נקבה	יחיד	מ_צוה
פיעל	הווה	שלישי	זכר 	יחיד	מ_צוה
פיעל	הווה	שלישי	נקבה	יחיד	מ_צוה
פיעל	הווה	ראשון	זכר 	רבים	מ_צוימ
פיעל	הווה	ראשון	נקבה	רבים	מ_צוות
פיעל	הווה	שני 	זכר 	רבים	מ_צוימ
פיעל	הווה	שני 	נקבה	רבים	מ_צוות
פיעל	הווה	שלישי	זכר 	רבים	מ_צוימ
פיעל	הווה	שלישי	נקבה	רבים	מ_צוות
פיעל	עתיד	ראשון	זכר 	יחיד	א_צוה
פיעל	עתיד	ראשון	נקבה	יחיד	א_צוה
פיעל	עתיד	שני 	זכר 	יחיד	ת_צוה
פיעל	עתיד	שני 	נקבה	יחיד	ת_צוי
פיעל	עתיד	שלישי	זכר 	יחיד	י_צוה
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צוה
פיעל	עתיד	ראשון	זכר 	רבים	נ_צוה
פיעל	עתיד	ראשון	נקבה	רבים	נ_צוה
פיעל	עתיד	שני 	זכר 	רבים	ת_צוו
פיעל	עתיד	שני 	נקבה	רבים	ת_צוינה
פיעל	עתיד	שלישי	זכר 	רבים	י_צוו
פיעל	עתיד	שלישי	נקבה	רבים	ת_צוינה
פיעל	ציווי	שני 	זכר 	יחיד	_צוה
פיעל	ציווי	שני 	נקבה	יחיד	_צוי
פיעל	ציווי	שני 	זכר 	רבים	_צוו
פיעל	ציווי	שני 	נקבה	רבים	_צוינה
פועל	עבר 	ראשון	זכר 	יחיד	_צוויתי
פועל	עבר 	ראשון	נקבה	יחיד	_צוויתי
פועל	עבר 	שני 	זכר 	יחיד	_צווית
פועל	עבר 	שני 	נקבה	יחיד	_צווית
פועל	עבר 	שלישי	זכר 	יחיד	_צווה
פועל	עבר 	שלישי	נקבה	יחיד	_צוותה
פועל	עבר 	ראשון	זכר 	רבים	_צווינו
פועל	עבר 	ראשון	נקבה	רבים	_צווינו
פועל	עבר 	שני 	זכר 	רבים	_צוויתמ
פועל	עבר 	שני 	נקבה	רבים	_צוויתנ
פועל	עבר 	שלישי	זכר 	רבים	_צוו
פועל	עבר 	שלישי	נקבה	רבים	_צוו
פועל	הווה	ראשון	זכר 	יחיד	מ_צווה
פועל	הווה	ראשון	נקבה	יחיד	מ_צווה
פועל	הווה	שני 	זכר 	יחיד	מ_צווה
פועל	הווה	שני 	נקבה	יחיד	מ_צווה
פועל	הווה	שלישי	זכר 	יחיד	מ_צווה
פעל 	הווה	שלישי	נקבה	יחיד	מ_צווה
פועל	הווה	ראשון	זכר 	רבים	מ_צווימ
פועל	הווה	ראשון	נקבה	רבים	מ_צוות
פועל	הווה	שני 	זכר 	רבים	מ_צווימ
פועל	הווה	שני 	נקבה	רבים	מ_צוות
פועל	הווה	שלישי	זכר 	רבים	מ_צווימ
פועל	הווה	שלישי	נקבה	רבים	מ_צוות
פועל	עתיד	ראשון	זכר 	יחיד	א_צווה
פועל	עתיד	ראשון	נקבה	יחיד	א_צווה
פועל	עתיד	שני 	זכר 	יחיד	ת_צווה
פועל	עתיד	שני 	נקבה	יחיד	ת_צווי
פועל	עתיד	שלישי	זכר 	יחיד	י_צווה
פועל	עתיד	שלישי	נקבה	יחיד	ת_צווה
פועל	עתיד	ראשון	זכר 	רבים	נ_צווה
פועל	עתיד	ראשון	נקבה	רבים	נ_צווה
פועל	עתיד	שני 	זכר 	רבים	ת_צוו
פועל	עתיד	שני 	נקבה	רבים	ת_צווינה
פועל	עתיד	שלישי	זכר 	רבים	י_צוו
פועל	עתיד	שלישי	נקבה	רבים	ת_צווינה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_צויתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_צויתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_צוית
הפעיל	עבר 	שני 	נקבה	יחיד	ה_צוית
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_צוה
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_צותה
הפעיל	עבר 	ראשון	זכר 	רבים	ה_צוינו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_צוינו
הפעיל	עבר 	שני 	זכר 	רבים	ה_צויתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_צויתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_צוו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_צוו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_צוה
הפעיל	הווה	ראשון	נקבה	יחיד	מ_צוה
הפעיל	הווה	שני 	זכר 	יחיד	מ_צוה
הפעיל	הווה	שני 	נקבה	יחיד	מ_צוה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_צוה
הפעיל	הווה	שלישי	נקבה	יחיד	מ_צוה
הפעיל	הווה	ראשון	זכר 	רבים	מ_צוימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_צוות
הפעיל	הווה	שני 	זכר 	רבים	מ_צוימ
הפעיל	הווה	שני 	נקבה	רבים	מ_צוות
הפעיל	הווה	שלישי	זכר 	רבים	מ_צוימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_צוות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_צוה
הפעיל	עתיד	ראשון	נקבה	יחיד	א_צוה
הפעיל	עתיד	שני 	זכר 	יחיד	ת_צוה
הפעיל	עתיד	שני 	נקבה	יחיד	ת_צוי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_צוה
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_צוה
הפעיל	עתיד	ראשון	זכר 	רבים	נ_צוה
הפעיל	עתיד	ראשון	נקבה	רבים	נ_צוה
הפעיל	עתיד	שני 	זכר 	רבים	ת_צוו
הפעיל	עתיד	שני 	נקבה	רבים	ת_צוינה
הפעיל	עתיד	שלישי	זכר 	רבים	י_צוו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_צוינה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_צוה
הפעיל	ציווי	שני 	נקבה	יחיד	ה_צוי
הפעיל	ציווי	שני 	זכר 	רבים	ה_צוו
הפעיל	ציווי	שני 	נקבה	רבים	ה_צוינה
הופעל 	עבר 	ראשון	זכר 	יחיד	ה_צויתי
