סרר
פעל 	עבר 	ראשון	זכר 	יחיד	_ס_ר_רתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ס_ר_רתי
פעל 	עבר 	שני 	זכר 	יחיד	_ס_ר_רת
פעל 	עבר 	שני 	נקבה	יחיד	_ס_ר_רת
פעל 	עבר 	שלישי	זכר 	יחיד	_ס_ר_ר
פעל 	עבר 	שלישי	נקבה	יחיד	_ס_ר_רה
פעל 	עבר 	ראשון	זכר 	רבים	_ס_ר_רנו
פעל 	עבר 	ראשון	נקבה	רבים	_ס_ר_רנו
פעל 	עבר 	שני 	זכר 	רבים	_ס_ר_רתמ
פעל 	עבר 	שני 	נקבה	רבים	_ס_ר_רתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ס_ר_רו
פעל 	עבר 	שלישי	נקבה	רבים	_ס_ר_רו
פעל 	הווה	ראשון	זכר 	יחיד	_ס_ר_ר
פעל 	הווה	ראשון	נקבה	יחיד	_ס_ר_רה
פעל 	הווה	שני 	זכר 	יחיד	_ס_ר_ר
פעל 	הווה	שני 	נקבה	יחיד	_ס_ר_רה
פעל 	הווה	שלישי	זכר 	יחיד	_ס_ר_ר
פעל 	הווה	שלישי	נקבה	יחיד	_ס_ר_רה
פעל 	הווה	ראשון	זכר 	רבים	_ס_ר_רימ
פעל 	הווה	ראשון	נקבה	רבים	_ס_ר_רות
פעל 	הווה	שני 	זכר 	רבים	_ס_ר_רימ
פעל 	הווה	שני 	נקבה	רבים	_ס_ר_רות
פעל 	הווה	שלישי	זכר 	רבים	_ס_ר_רימ
פעל 	הווה	שלישי	נקבה	רבים	_ס_ר_רות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ס_רו_ר
פעל 	עתיד	ראשון	נקבה	יחיד	א_ס_רו_ר
פעל 	עתיד	שני 	זכר 	יחיד	ת_ס_רו_ר
פעל 	עתיד	שני 	נקבה	יחיד	ת_ס_רו_רי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ס_רו_ר
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ס_רו_ר
פעל 	עתיד	ראשון	זכר 	רבים	נ_ס_רו_ר
פעל 	עתיד	ראשון	נקבה	רבים	נ_ס_רו_ר
פעל 	עתיד	שני 	זכר 	רבים	ת_ס_רו_רו
