שטי
פעל 	הווה	_	_ 	_	ל_ש_טות
פיעל 	הווה	_	_ 	_	ל_ש_טות
נפעל 	הווה	_	_ 	_	להי_ש_טות
נפעל 	הווה	_	_ 	_	לה_ש_טות
הפעיל 	הווה	_	_ 	_	לה_ש_טות
התפעל 	הווה	_	_ 	_	לה_שת_טות
פעל 	עבר 	ראשון	זכר 	יחיד	_ש_שיתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ש_שיתי
פעל 	עבר 	שני 	זכר 	יחיד	_ש_שית
פעל 	עבר 	שני 	נקבה	יחיד	_ש_שית
פעל 	עבר 	שלישי	זכר 	יחיד	_ש_שה
פעל 	עבר 	שלישי	נקבה	יחיד	_ש_שתה
פעל 	עבר 	ראשון	זכר 	רבים	_ש_שינו
פעל 	עבר 	ראשון	נקבה	רבים	_ש_שינו
פעל 	עבר 	שני 	זכר 	רבים	_ש_שיתמ
פעל 	עבר 	שני 	נקבה	רבים	_ש_שיתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ש_שו
פעל 	עבר 	שלישי	נקבה	רבים	_ש_שו
פעל 	הווה	ראשון	זכר 	יחיד	_שו_שה
פעל 	הווה	ראשון	נקבה	יחיד	_שו_שה
פעל 	הווה	שני 	זכר 	יחיד	_שו_שה
פעל 	הווה	שני 	נקבה	יחיד	_שו_שה
פעל 	הווה	שלישי	זכר 	יחיד	_שו_שה
פעל 	הווה	שלישי	נקבה	יחיד	_שו_שה
פעל 	הווה	ראשון	זכר 	רבים	_שו_שימ
פעל 	הווה	ראשון	נקבה	רבים	_שו_שות
פעל 	הווה	שני 	זכר 	רבים	_שו_שימ
פעל 	הווה	שני 	נקבה	רבים	_שו_שות
פעל 	הווה	שלישי	זכר 	רבים	_שו_שימ
פעל 	הווה	שלישי	נקבה	רבים	_שו_שות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ש_שה
פעל 	עתיד	ראשון	נקבה	יחיד	א_ש_שה
פעל 	עתיד	שני 	זכר 	יחיד	ת_ש_שה
פעל 	עתיד	שני 	נקבה	יחיד	ת_ש_שי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ש_שה
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ש_שה
פעל 	עתיד	ראשון	זכר 	רבים	נ_ש_שה
פעל 	עתיד	ראשון	נקבה	רבים	נ_ש_שה
פעל 	עתיד	שני 	זכר 	רבים	ת_ש_שו
פעל 	עתיד	שני 	נקבה	רבים	ת_ש_שינה
פעל 	עתיד	שלישי	זכר 	רבים	י_ש_שו
פעל 	עתיד	שלישי	נקבה	רבים	ת_ש_שינה
פעל 	ציווי	שני 	זכר 	יחיד	_ש_שה
פעל 	ציווי	שני 	נקבה	יחיד	_ש_שי
פעל 	ציווי	שני 	זכר 	רבים	_ש_שו
פעל 	ציווי	שני 	נקבה	רבים	_ש_שינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_ש_שיתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_ש_שיתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_ש_שית
נפעל 	עבר 	שני 	נקבה	יחיד	נ_ש_שית
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_ש_שה
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_ש_שתה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_ש_שינו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_ש_שינו
נפעל 	עבר 	שני 	זכר 	רבים	נ_ש_שיתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_ש_שיתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_ש_שו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_ש_שו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_ש_שה
נפעל 	הווה	ראשון	נקבה	יחיד	נ_ש_שית
נפעל 	הווה	שני 	זכר 	יחיד	נ_ש_שה
נפעל 	הווה	שני 	נקבה	יחיד	נ_ש_שית
נפעל 	הווה	שלישי	זכר 	יחיד	נ_ש_שה
נפעל 	הווה	שלישי	נקבה	יחיד	נ_ש_שית
נפעל 	הווה	ראשון	זכר 	רבים	נ_ש_שימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_ש_שות
נפעל 	הווה	שני 	זכר 	רבים	נ_ש_שימ
נפעל 	הווה	שני 	נקבה	רבים	נ_ש_שות
נפעל 	הווה	שלישי	זכר 	רבים	נ_ש_שימ
נפעל 	הווה	שלישי	נקבה	רבים	נ_ש_שות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_ש_שה
נפעל 	עתיד	ראשון	נקבה	יחיד	א_ש_שה
נפעל 	עתיד	שני 	זכר 	יחיד	ת_ש_שה
נפעל 	עתיד	שני 	נקבה	יחיד	ת_ש_שי
נפעל 	עתיד	שלישי	זכר 	יחיד	י_ש_שה
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_ש_שה
נפעל 	עתיד	ראשון	זכר 	רבים	נ_ש_שה
נפעל 	עתיד	ראשון	נקבה	רבים	נ_ש_שה
נפעל 	עתיד	שני 	זכר 	רבים	ת_ש_שו
נפעל 	עתיד	שני 	נקבה	רבים	ת_ש_שינה
נפעל 	עתיד	שלישי	זכר 	רבים	י_ש_שו
נפעל 	עתיד	שלישי	נקבה	רבים	ת_ש_שינה
נפעל 	ציווי	שני 	זכר 	יחיד	ה_ש_שה
נפעל 	ציווי	שני 	נקבה	יחיד	ה_ש_שי
נפעל 	ציווי	שני 	זכר 	רבים	ה_ש_שו
נפעל 	ציווי	שני 	נקבה	רבים	ה_ש_שינה
פיעל	עבר 	ראשון	זכר 	יחיד	_שי_שיתי
פיעל	עבר 	ראשון	נקבה	יחיד	_שי_שיתי
פיעל	עבר 	שני 	זכר 	יחיד	_שי_שית
פיעל	עבר 	שני 	נקבה	יחיד	_שי_שית
פיעל	עבר 	שלישי	זכר 	יחיד	_שי_שה
פיעל	עבר 	שלישי	נקבה	יחיד	_שי_שתה
פיעל	עבר 	ראשון	זכר 	רבים	_שי_שינו
פיעל	עבר 	ראשון	נקבה	רבים	_שי_שינו
פיעל	עבר 	שני 	זכר 	רבים	_שי_שיתמ
פיעל	עבר 	שני 	נקבה	רבים	_שי_שיתנ
פיעל	עבר 	שלישי	זכר 	רבים	_שי_שו
פיעל	עבר 	שלישי	נקבה	רבים	_שי_שו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ש_שה
פיעל	הווה	ראשון	נקבה	יחיד	מ_ש_שה
