סוט
פעל 	עבר 	ראשון	זכר 	יחיד	_ס_טתי
פעל 	עבר 	ראשון	נקבה	יחיד	_ס_טתי
פעל 	עבר 	שני 	זכר 	יחיד	_ס_טת
פעל 	עבר 	שני 	נקבה	יחיד	_ס_טת
פעל 	עבר 	שלישי	זכר 	יחיד	_ס_ט
פעל 	עבר 	שלישי	נקבה	יחיד	_ס_טה
פעל 	עבר 	ראשון	זכר 	רבים	_ס_טנו
פעל 	עבר 	ראשון	נקבה	רבים	_ס_טנו
פעל 	עבר 	שני 	זכר 	רבים	_ס_טתמ
פעל 	עבר 	שני 	נקבה	רבים	_ס_טתנ
פעל 	עבר 	שלישי	זכר 	רבים	_ס_טו
פעל 	עבר 	שלישי	נקבה	רבים	_ס_טו
פעל 	הווה	ראשון	זכר 	יחיד	_ס_ט
פעל 	הווה	ראשון	נקבה	יחיד	_ס_טה
פעל 	הווה	שני 	זכר 	יחיד	_ס_ט
פעל 	הווה	שני 	נקבה	יחיד	_ס_טה
פעל 	הווה	שלישי	זכר 	יחיד	_ס_ט
פעל 	הווה	שלישי	נקבה	יחיד	_ס_טה
פעל 	הווה	ראשון	זכר 	רבים	_ס_טימ
פעל 	הווה	ראשון	נקבה	רבים	_ס_טות
פעל 	הווה	שני 	זכר 	רבים	_ס_טימ
פעל 	הווה	שני 	נקבה	רבים	_ס_טות
פעל 	הווה	שלישי	זכר 	רבים	_ס_טימ
פעל 	הווה	שלישי	נקבה	רבים	_ס_טות
פעל 	עתיד	ראשון	זכר 	יחיד	א_סו_ט
פעל 	עתיד	ראשון	נקבה	יחיד	א_סו_ט
פעל 	עתיד	שני 	זכר 	יחיד	ת_סו_ט
פעל 	עתיד	שני 	נקבה	יחיד	ת_סו_טי
פעל 	עתיד	שלישי	זכר 	יחיד	י_סו_ט
פעל 	עתיד	שלישי	נקבה	יחיד	ת_סו_ט
פעל 	עתיד	ראשון	זכר 	רבים	נ_סו_ט
פעל 	עתיד	ראשון	נקבה	רבים	נ_סו_ט
פעל 	עתיד	שני 	זכר 	רבים	ת_סו_טו
פעל 	עתיד	שני 	נקבה	רבים	ת_סו_טנה
פעל 	עתיד	שלישי	זכר 	רבים	י_סו_טו
פעל 	עתיד	שלישי	נקבה	רבים	י_סו_טנה
פעל 	ציווי	שני 	זכר 	יחיד	_סו_ט
פעל 	ציווי	שני 	נקבה	יחיד	_סו_טי
פעל 	ציווי	שני 	זכר 	רבים	_סו_טו
פעל 	ציווי	שני 	נקבה	רבים	_סו_טנה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_סו_טתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_סו_טתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_סו_טת
נפעל 	עבר 	שני 	נקבה	יחיד	נ_סו_טת
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_סו_ט
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_סו_טה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_סו_טו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_סו_טו
נפעל 	עבר 	שני 	זכר 	רבים	נ_סו_טתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_סו_טתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_סו_טו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_סו_טו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_סו_ט
נפעל 	הווה	ראשון	נקבה	יחיד	נ_סו_טה
נפעל 	הווה	שני 	זכר 	יחיד	נ_סו_ט
נפעל 	הווה	שני 	נקבה	יחיד	נ_סו_טה
נפעל 	הווה	שלישי	זכר 	יחיד	נ_סו_ט
נפעל 	הווה	שלישי	נקבה	יחיד	נ_סו_טה
נפעל 	הווה	ראשון	זכר 	רבים	נ_סו_טימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_סו_טות
נפעל 	הווה	שני 	זכר 	רבים	נ_סו_טימ
נפעל 	הווה	שני 	נקבה	רבים	נ_סו_טות
נפעל 	הווה	שלישי	זכר 	רבים	נ_סו_טימ
נפעל 	הווה	שלישי	נקבה	רבים	נ_סו_טות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_סו_ט
נפעל 	עתיד	ראשון	נקבה	יחיד	א_סו_ט
נפעל 	עתיד	שני 	זכר 	יחיד	ת_סו_ט
נפעל 	עתיד	שני 	נקבה	יחיד	ת_סו_טי
נפעל 	עתיד	שלישי	זכר 	יחיד	י_סו_ט
