שוי
פעל 	הווה	_	_ 	_	ל_שוות
פיעל 	הווה	_	_ 	_	ל_שוות
הפעיל 	הווה	_	_ 	_	לה_שוות
נפעל 	הווה	_	_ 	_	להי_שוות
נפעל 	הווה	_	_ 	_	לה_שוות
התפעל 	הווה	_	_ 	_	להש_תוות
פעל 	עבר 	ראשון	זכר 	יחיד	_שויתי
פעל 	עבר 	ראשון	נקבה	יחיד	_שויתי
פעל 	עבר 	שני 	זכר 	יחיד	_שוית
פעל 	עבר 	שני 	נקבה	יחיד	_שוית
פעל 	עבר 	שלישי	זכר 	יחיד	_שוה
פעל 	עבר 	שלישי	נקבה	יחיד	_שותה
פעל 	עבר 	ראשון	זכר 	רבים	_שוינו
פעל 	עבר 	ראשון	נקבה	רבים	_שוינו
פעל 	עבר 	שני 	זכר 	רבים	_שויתמ
פעל 	עבר 	שני 	נקבה	רבים	_שויתנ
פעל 	עבר 	שלישי	זכר 	רבים	_שוו
פעל 	עבר 	שלישי	נקבה	רבים	_שוו
פעל 	הווה	ראשון	זכר 	יחיד	_שווה
פעל 	הווה	ראשון	נקבה	יחיד	_שווה
פעל 	הווה	שני 	זכר 	יחיד	_שווה
פעל 	הווה	שני 	נקבה	יחיד	_שווה
פעל 	הווה	שלישי	זכר 	יחיד	_שווה
פעל 	הווה	שלישי	נקבה	יחיד	_שווה
פעל 	הווה	ראשון	זכר 	רבים	_שווימ
פעל 	הווה	ראשון	נקבה	רבים	_שווות
פעל 	הווה	שני 	זכר 	רבים	_שווימ
פעל 	הווה	שני 	נקבה	רבים	_שווות
פעל 	הווה	שלישי	זכר 	רבים	_שווימ
פעל 	הווה	שלישי	נקבה	רבים	_שווות
פעל 	עתיד	ראשון	זכר 	יחיד	א_שוה
פעל 	עתיד	ראשון	נקבה	יחיד	א_שוה
פעל 	עתיד	שני 	זכר 	יחיד	ת_שוה
פעל 	עתיד	שני 	נקבה	יחיד	ת_שוי
פעל 	עתיד	שלישי	זכר 	יחיד	י_שוה
פעל 	עתיד	שלישי	נקבה	יחיד	ת_שוה
פעל 	עתיד	ראשון	זכר 	רבים	נ_שוה
פעל 	עתיד	ראשון	נקבה	רבים	נ_שוה
פעל 	עתיד	שני 	זכר 	רבים	ת_שוו
פעל 	עתיד	שני 	נקבה	רבים	ת_שוינה
פעל 	עתיד	שלישי	זכר 	רבים	י_שוו
פעל 	עתיד	שלישי	נקבה	רבים	ת_שוינה
פעל 	ציווי	שני 	זכר 	יחיד	_שוה
פעל 	ציווי	שני 	נקבה	יחיד	_שוי
פעל 	ציווי	שני 	זכר 	רבים	_שוו
פעל 	ציווי	שני 	נקבה	רבים	_שוינה
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_שויתי
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_שויתי
נפעל 	עבר 	שני 	זכר 	יחיד	נ_שוית
נפעל 	עבר 	שני 	נקבה	יחיד	נ_שוית
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_שוה
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_שותה
נפעל 	עבר 	ראשון	זכר 	רבים	נ_שוינו
נפעל 	עבר 	ראשון	נקבה	רבים	נ_שוינו
נפעל 	עבר 	שני 	זכר 	רבים	נ_שויתמ
נפעל 	עבר 	שני 	נקבה	רבים	נ_שויתנ
נפעל 	עבר 	שלישי	זכר 	רבים	נ_שוו
נפעל 	עבר 	שלישי	נקבה	רבים	נ_שוו
נפעל 	הווה	ראשון	זכר 	יחיד	נ_שוה
נפעל 	הווה	ראשון	נקבה	יחיד	נ_שוית
נפעל 	הווה	שני 	זכר 	יחיד	נ_שוה
נפעל 	הווה	שני 	נקבה	יחיד	נ_שוית
נפעל 	הווה	שלישי	זכר 	יחיד	נ_שוה
נפעל 	הווה	שלישי	נקבה	יחיד	נ_שוית
נפעל 	הווה	ראשון	זכר 	רבים	נ_שוימ
נפעל 	הווה	ראשון	נקבה	רבים	נ_שוות
נפעל 	הווה	שני 	זכר 	רבים	נ_שוימ
נפעל 	הווה	שני 	נקבה	רבים	נ_שוות
נפעל 	הווה	שלישי	זכר 	רבים	נ_שוימ
נפעל 	הווה	שלישי	נקבה	רבים	נ_שוות
נפעל 	עתיד	ראשון	זכר 	יחיד	א_שוה
נפעל 	עתיד	ראשון	נקבה	יחיד	א_שוה
נפעל 	עתיד	שני 	זכר 	יחיד	ת_שוה
נפעל 	עתיד	שני 	נקבה	יחיד	ת_שוי
נפעל 	עתיד	שלישי	זכר 	יחיד	י_שוה
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_שוה
נפעל 	עתיד	ראשון	זכר 	רבים	נ_שוה
נפעל 	עתיד	ראשון	נקבה	רבים	נ_שוה
נפעל 	עתיד	שני 	זכר 	רבים	ת_שוו
נפעל 	עתיד	שני 	נקבה	רבים	ת_שוינה
נפעל 	עתיד	שלישי	זכר 	רבים	י_שוו
נפעל 	עתיד	שלישי	נקבה	רבים	ת_שוינה
נפעל 	ציווי	שני 	זכר 	יחיד	ה_שוה
נפעל 	ציווי	שני 	נקבה	יחיד	ה_שוי
נפעל 	ציווי	שני 	זכר 	רבים	ה_שוו
נפעל 	ציווי	שני 	נקבה	רבים	ה_שוינה
פיעל	עבר 	ראשון	זכר 	יחיד	_שיויתי
פיעל	עבר 	ראשון	נקבה	יחיד	_שיויתי
פיעל	עבר 	שני 	זכר 	יחיד	_שיוית
פיעל	עבר 	שני 	נקבה	יחיד	_שיוית
פיעל	עבר 	שלישי	זכר 	יחיד	_שיוה
פיעל	עבר 	שלישי	נקבה	יחיד	_שיותה
פיעל	עבר 	ראשון	זכר 	רבים	_שיוינו
פיעל	עבר 	ראשון	נקבה	רבים	_שיוינו
פיעל	עבר 	שני 	זכר 	רבים	_שיויתמ
פיעל	עבר 	שני 	נקבה	רבים	_שיויתנ
פיעל	עבר 	שלישי	זכר 	רבים	_שיוו
פיעל	עבר 	שלישי	נקבה	רבים	_שיוו
פיעל	הווה	ראשון	זכר 	יחיד	מ_שוה
פיעל	הווה	ראשון	נקבה	יחיד	מ_שוה
פיעל	הווה	שני 	זכר 	יחיד	מ_שוה
פיעל	הווה	שני 	נקבה	יחיד	מ_שוה
פיעל	הווה	שלישי	זכר 	יחיד	מ_שוה
פיעל	הווה	שלישי	נקבה	יחיד	מ_שוה
פיעל	הווה	ראשון	זכר 	רבים	מ_שוימ
פיעל	הווה	ראשון	נקבה	רבים	מ_שוות
פיעל	הווה	שני 	זכר 	רבים	מ_שוימ
פיעל	הווה	שני 	נקבה	רבים	מ_שוות
פיעל	הווה	שלישי	זכר 	רבים	מ_שוימ
פיעל	הווה	שלישי	נקבה	רבים	מ_שוות
פיעל	עתיד	ראשון	זכר 	יחיד	א_שוה
פיעל	עתיד	ראשון	נקבה	יחיד	א_שוה
פיעל	עתיד	שני 	זכר 	יחיד	ת_שוה
פיעל	עתיד	שני 	נקבה	יחיד	ת_שוי
פיעל	עתיד	שלישי	זכר 	יחיד	י_שוה
פיעל	עתיד	שלישי	נקבה	יחיד	ת_שוה
פיעל	עתיד	ראשון	זכר 	רבים	נ_שוה
פיעל	עתיד	ראשון	נקבה	רבים	נ_שוה
פיעל	עתיד	שני 	זכר 	רבים	ת_שוו
פיעל	עתיד	שני 	נקבה	רבים	ת_שוינה
פיעל	עתיד	שלישי	זכר 	רבים	י_שוו
פיעל	עתיד	שלישי	נקבה	רבים	ת_שוינה
פיעל	ציווי	שני 	זכר 	יחיד	_שוה
פיעל	ציווי	שני 	נקבה	יחיד	_שוי
פיעל	ציווי	שני 	זכר 	רבים	_שוו
פיעל	ציווי	שני 	נקבה	רבים	_שוינה
פועל	עבר 	ראשון	זכר 	יחיד	_שוויתי
פועל	עבר 	ראשון	נקבה	יחיד	_שוויתי
פועל	עבר 	שני 	זכר 	יחיד	_שווית
פועל	עבר 	שני 	נקבה	יחיד	_שווית
פועל	עבר 	שלישי	זכר 	יחיד	_שווה
פועל	עבר 	שלישי	נקבה	יחיד	_שוותה
פועל	עבר 	ראשון	זכר 	רבים	_שווינו
פועל	עבר 	ראשון	נקבה	רבים	_שווינו
פועל	עבר 	שני 	זכר 	רבים	_שוויתמ
פועל	עבר 	שני 	נקבה	רבים	_שוויתנ
פועל	עבר 	שלישי	זכר 	רבים	_שווו
פועל	עבר 	שלישי	נקבה	רבים	_שווו
פועל	הווה	ראשון	זכר 	יחיד	מ_שווה
פועל	הווה	ראשון	נקבה	יחיד	מ_שווה
פועל	הווה	שני 	זכר 	יחיד	מ_שווה
פועל	הווה	שני 	נקבה	יחיד	מ_שווה
פועל	הווה	שלישי	זכר 	יחיד	מ_שווה
פעל 	הווה	שלישי	נקבה	יחיד	מ_שווה
פועל	הווה	ראשון	זכר 	רבים	מ_שווימ
פועל	הווה	ראשון	נקבה	רבים	מ_שווות
פועל	הווה	שני 	זכר 	רבים	מ_שווימ
פועל	הווה	שני 	נקבה	רבים	מ_שווות
פועל	הווה	שלישי	זכר 	רבים	מ_שווימ
פועל	הווה	שלישי	נקבה	רבים	מ_שווות
פועל	עתיד	ראשון	זכר 	יחיד	א_שווה
פועל	עתיד	ראשון	נקבה	יחיד	א_שווה
פועל	עתיד	שני 	זכר 	יחיד	ת_שווה
פועל	עתיד	שני 	נקבה	יחיד	ת_שווי
פועל	עתיד	שלישי	זכר 	יחיד	י_שווה
פועל	עתיד	שלישי	נקבה	יחיד	ת_שווה
פועל	עתיד	ראשון	זכר 	רבים	נ_שווה
פועל	עתיד	ראשון	נקבה	רבים	נ_שווה
פועל	עתיד	שני 	זכר 	רבים	ת_שווו
פועל	עתיד	שני 	נקבה	רבים	ת_שווינה
פועל	עתיד	שלישי	זכר 	רבים	י_שווו
פועל	עתיד	שלישי	נקבה	רבים	ת_שווינה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_שויתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_שויתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_שוית
הפעיל	עבר 	שני 	נקבה	יחיד	ה_שוית
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_שוה
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_שותה
