קטל
פעל 	הווה	_	_ 	_	ל_ק_טו_ל
פעל 	הווה	_	_ 	_	ל_ק_ט_ל
פיעל 	הווה	_	_ 	_	ל_ק_ט_ל
נפעל 	הווה	_	_ 	_	להי_ק_ט_ל
נפעל 	הווה	_	_ 	_	לה_ק_ט_ל
הפעיל 	הווה	_	_ 	_	לה_ק_טי_ל
התפעל 	הווה	_	_ 	_	להת_ק_ט_ל
פעל 	עבר  	ראשון	זכר 	יחיד	_ק_ט_לתי
פעל 	עבר  	ראשון	נקבה	יחיד	_ק_ט_לתי
פעל 	עבר  	שני 	זכר 	יחיד	_ק_ט_לת
פעל 	עבר  	שני 	נקבה	יחיד	_ק_ט_לת
פעל 	עבר  	שלישי	זכר 	יחיד	_ק_ט_ל
פעל 	עבר  	שלישי	נקבה	יחיד	_ק_ט_לה
פעל 	עבר  	ראשון	זכר 	רבים	_ק_ט_לנו
פעל 	עבר  	ראשון	נקבה	רבים	_ק_ט_לנו
פעל 	עבר  	שני 	זכר 	רבים	_ק_ט_לתמ
פעל 	עבר  	שני 	נקבה	רבים	_ק_ט_לתנ
פעל 	עבר  	שלישי	זכר 	רבים	_ק_ט_לו
פעל 	עבר  	שלישי	נקבה	רבים	_ק_ט_לו
פעל 	הווה	ראשון	זכר 	יחיד	_קו_ט_ל
פעל 	הווה	ראשון	נקבה	יחיד	_קו_ט_לת
פעל 	הווה	שני 	זכר 	יחיד	_קו_ט_ל
פעל 	הווה	שני 	נקבה	יחיד	_קו_ט_לת
פעל 	הווה	שלישי	זכר 	יחיד	_קו_ט_ל
פעל 	הווה	שלישי	נקבה	יחיד	_קו_ט_לת
פעל 	הווה	ראשון	זכר 	רבים	_קו_ט_לימ
פעל 	הווה	ראשון	נקבה	רבים	_קו_ט_לות
פעל 	הווה	שני 	זכר 	רבים	_קו_ט_לימ
פעל 	הווה	שני 	נקבה	רבים	_קו_ט_לות
פעל 	הווה	שלישי	זכר 	רבים	_קו_ט_לימ
פעל 	הווה	שלישי	נקבה	רבים	_קו_ט_לות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ק_טו_ל
פעל 	עתיד	ראשון	נקבה	יחיד	א_ק_טו_ל
פעל 	עתיד	שני 	זכר 	יחיד	ת_ק_טו_ל
פעל 	עתיד	שני 	נקבה	יחיד	ת_ק_ט_לי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ק_טו_ל
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ק_טו_ל
פעל 	עתיד	ראשון	זכר 	רבים	נ_ק_טו_ל
פעל 	עתיד	ראשון	נקבה	רבים	נ_ק_טו_ל
פעל 	עתיד	שני 	זכר 	רבים	ת_ק_ט_לו
פעל 	עתיד	שני 	נקבה	רבים	ת_ק_טו_לנה
פעל 	עתיד	שלישי	זכר 	רבים	י_ק_ט_לו
פעל 	עתיד	שלישי	נקבה	רבים	ת_ק_טו_לנה
פעל 	ציווי	שני 	זכר 	יחיד	_ק_טו_ל
פעל 	ציווי	שני 	נקבה	יחיד	_קי_ט_לי
פעל 	ציווי	שני 	זכר 	רבים	_קי_ט_לו
פעל 	ציווי	שני 	נקבה	רבים	_ק_טו_לנה
נפעל	עבר 	ראשון	זכר 	יחיד	נ_ק_ט_לתי
נפעל	עבר 	ראשון	נקבה	יחיד	נ_ק_ט_לתי
נפעל	עבר 	שני 	זכר 	יחיד	נ_ק_ט_לת
נפעל	עבר 	שני 	נקבה	יחיד	נ_ק_ט_לת
נפעל	עבר 	שלישי	זכר 	יחיד	נ_ק_ט_ל
נפעל	עבר 	שלישי	נקבה	יחיד	נ_ק_ט_לה
נפעל	עבר 	ראשון	זכר 	רבים	נ_ק_ט_לנו
נפעל	עבר 	ראשון	נקבה	רבים	נ_ק_ט_לנו
נפעל	עבר 	שני 	זכר 	רבים	נ_ק_ט_לתמ
נפעל	עבר 	שני 	נקבה	רבים	נ_ק_ט_לתנ
נפעל	עבר 	שלישי	זכר 	רבים	נ_ק_ט_לו
נפעל	עבר 	שלישי	נקבה	רבים	נ_ק_ט_לו
נפעל	הווה	ראשון	זכר 	יחיד	נ_ק_ט_ל
נפעל	הווה	ראשון	נקבה	יחיד	נ_ק_ט_לת
נפעל	הווה	שני 	זכר 	יחיד	נ_ק_ט_ל
נפעל	הווה	שני 	נקבה	יחיד	נ_ק_ט_לת
נפעל	הווה	שלישי	זכר 	יחיד	נ_ק_ט_ל
נפעל	הווה	שלישי	נקבה	יחיד	נ_ק_ט_לת
נפעל	הווה	ראשון	זכר 	רבים	נ_ק_ט_לימ
נפעל	הווה	ראשון	נקבה	רבים	נ_ק_ט_לות
נפעל	הווה	שני 	זכר 	רבים	נ_ק_ט_לימ
נפעל	הווה	שני 	נקבה	רבים	נ_ק_ט_לות
נפעל	הווה	שלישי	זכר 	רבים	נ_ק_ט_לימ
נפעל	הווה	שלישי	נקבה	רבים	נ_ק_ט_לות
נפעל	עתיד	ראשון	זכר 	יחיד	א_ק_ט_ל
נפעל	עתיד	ראשון	נקבה	יחיד	א_ק_ט_ל
נפעל	עתיד	שני 	זכר 	יחיד	תי_ק_ט_ל
נפעל	עתיד	שני 	נקבה	יחיד	תי_ק_ט_לי
נפעל	עתיד	שלישי	זכר 	יחיד	יי_ק_ט_ל
נפעל	עתיד	שלישי	נקבה	יחיד	תי_ק_ט_ל
נפעל	עתיד	ראשון	זכר 	רבים	נ_ק_ט_ל
נפעל	עתיד	ראשון	נקבה	רבים	נ_ק_ט_ל
נפעל	עתיד	שני 	זכר 	רבים	תי_ק_ט_לו
נפעל	עתיד	שני 	נקבה	רבים	תי_ק_ט_לנה
נפעל	עתיד	שלישי	זכר 	רבים	יי_ק_ט_לו
נפעל	עתיד	שלישי	נקבה	רבים	תי_ק_ט_לנה
נפעל	ציווי	שני 	זכר 	יחיד	הי_ק_ט_ל
נפעל	ציווי	שני 	נקבה	יחיד	ה_ק_ט_לי
נפעל	ציווי	שני 	זכר 	רבים	ה_ק_ט_לו
נפעל	ציווי	שני 	נקבה	רבים	ה_ק_ט_לנה
פיעל	עבר 	ראשון	זכר 	יחיד	_קי_ט_לתי
פיעל	עבר 	ראשון	נקבה	יחיד	_קי_ט_לתי
פיעל	עבר 	שני 	זכר 	יחיד	_קי_ט_לת
פיעל	עבר 	שני 	נקבה	יחיד	_קי_ט_לת
פיעל	עבר 	שלישי	זכר 	יחיד	_קי_ט_ל
פיעל	עבר 	שלישי	נקבה	יחיד	_קי_ט_לה
פיעל	עבר 	ראשון	זכר 	רבים	_קי_ט_לנו
פיעל	עבר 	ראשון	נקבה	רבים	_קי_ט_לנו
פיעל	עבר 	שני 	זכר 	רבים	_קי_ט_לתמ
פיעל	עבר 	שני 	נקבה	רבים	_קי_ט_לתנ
פיעל	עבר 	שלישי	זכר 	רבים	_קי_ט_לו
פיעל	עבר 	שלישי	נקבה	רבים	_קי_ט_לו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ק_ט_ל
פיעל	הווה	ראשון	נקבה	יחיד	מ_ק_ט_לת
פיעל	הווה	שני 	זכר 	יחיד	מ_ק_ט_ל
פיעל	הווה	שני 	נקבה	יחיד	מ_ק_ט_לת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ק_ט_ל
פיעל	הווה	שלישי	נקבה	יחיד	מ_ק_ט_לת
פיעל	הווה	ראשון	זכר 	רבים	מ_ק_ט_לימ
פיעל	הווה	ראשון	נקבה	רבים	מ_ק_ט_לות
פיעל	הווה	שני 	זכר 	רבים	מ_ק_ט_לימ
פיעל	הווה	שני 	נקבה	רבים	מ_ק_ט_לות
פיעל	הווה	שלישי	זכר 	רבים	מ_ק_ט_לימ
פיעל	הווה	שלישי	נקבה	רבים	מ_ק_ט_לות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ק_ט_ל
פיעל	עתיד	ראשון	נקבה	יחיד	א_ק_ט_ל
פיעל	עתיד	שני 	זכר 	יחיד	ת_ק_ט_ל
פיעל	עתיד	שני 	נקבה	יחיד	ת_ק_ט_לי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ק_ט_ל
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ק_ט_ל
פיעל	עתיד	ראשון	זכר 	רבים	נ_ק_ט_ל
פיעל	עתיד	ראשון	נקבה	רבים	נ_ק_ט_ל
פיעל	עתיד	שני 	זכר 	רבים	ת_ק_ט_לו
פיעל	עתיד	שני 	נקבה	רבים	ת_ק_ט_לנה
פיעל	עתיד	שלישי	זכר 	רבים	י_ק_ט_לו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ק_ט_לנה
פיעל	ציווי	שני 	זכר 	יחיד	_ק_ט_ל
פיעל	ציווי	שני 	נקבה	יחיד	_ק_ט_לי
פיעל	ציווי	שני 	זכר 	רבים	_ק_ט_לו
פיעל	ציווי	שני 	נקבה	רבים	_ק_ט_לנה
פועל	עבר 	ראשון	זכר 	יחיד	_קו_ט_לתי
פועל	עבר 	ראשון	נקבה	יחיד	_קו_ט_לתי
פועל	עבר 	שני 	זכר 	יחיד	_קו_ט_לת
פועל	עבר 	שני 	נקבה	יחיד	_קו_ט_לת
פועל	עבר 	שלישי	זכר 	יחיד	_קו_ט_ל
פועל	עבר 	שלישי	נקבה	יחיד	_קו_ט_לה
פועל	עבר 	ראשון	זכר 	רבים	_קו_ט_לנו
פועל	עבר 	ראשון	נקבה	רבים	_קו_ט_לנו
פועל	עבר 	שני 	זכר 	רבים	_קו_ט_לתמ
פועל	עבר 	שני 	נקבה	רבים	_קו_ט_לתנ
פועל	עבר 	שלישי	זכר 	רבים	_קו_ט_לו
פועל	עבר 	שלישי	נקבה	רבים	_קו_ט_לו
פועל	הווה	ראשון	זכר 	יחיד	מ_קו_ט_ל
פועל	הווה	ראשון	נקבה	יחיד	מ_קו_ט_לת
פועל	הווה	שני 	זכר 	יחיד	מ_קו_ט_ל
פועל	הווה	שני 	נקבה	יחיד	מ_קו_ט_לת
פועל	הווה	שלישי	זכר 	יחיד	מ_קו_ט_ל
פועל	הווה	שלישי	נקבה	יחיד	מ_קו_ט_לת
פועל	הווה	ראשון	זכר 	רבים	מ_קו_ט_לימ
פועל	הווה	ראשון	נקבה	רבים	מ_קו_ט_לות
פועל	הווה	שני 	זכר 	רבים	מ_קו_ט_לימ
פועל	הווה	שני 	נקבה	רבים	מ_קו_ט_לות
פועל	הווה	שלישי	זכר 	רבים	מ_קו_ט_לימ
פועל	הווה	שלישי	נקבה	רבים	מ_קו_ט_לות
פועל	עתיד	ראשון	זכר 	יחיד	א_קו_ט_ל
פועל	עתיד	ראשון	נקבה	יחיד	א_קו_ט_ל
פועל	עתיד	שני 	זכר 	יחיד	ת_קו_ט_ל
פועל	עתיד	שני 	נקבה	יחיד	ת_קו_ט_לי
פועל	עתיד	שלישי	זכר 	יחיד	י_קו_ט_ל
פועל	עתיד	שלישי	נקבה	יחיד	ת_קו_ט_ל
פועל	עתיד	ראשון	זכר 	רבים	נ_קו_ט_ל
פועל	עתיד	ראשון	נקבה	רבים	נ_קו_ט_ל
פועל	עתיד	שני 	זכר 	רבים	ת_קו_ט_לו
פועל	עתיד	שני 	נקבה	רבים	ת_קו_ט_לנה
פועל	עתיד	שלישי	זכר 	רבים	י_קו_ט_לו
פועל	עתיד	שלישי	נקבה	רבים	ת_קו_ט_לנה
הפעיל	עבר 	ראשון	זכר 	יחיד	ה_ק_ט_לתי
הפעיל	עבר 	ראשון	נקבה	יחיד	ה_ק_ט_לתי
הפעיל	עבר 	שני 	זכר 	יחיד	ה_ק_ט_לת
הפעיל	עבר 	שני 	נקבה	יחיד	ה_ק_ט_לת
הפעיל	עבר 	שלישי	זכר 	יחיד	ה_ק_טי_ל
הפעיל	עבר 	שלישי	נקבה	יחיד	ה_ק_טי_ל
הפעיל	עבר 	ראשון	זכר 	רבים	ה_ק_ט_לנו
הפעיל	עבר 	ראשון	נקבה	רבים	ה_ק_ט_לנו
הפעיל	עבר 	שני 	זכר 	רבים	ה_ק_ט_לתמ
הפעיל	עבר 	שני 	נקבה	רבים	ה_ק_ט_לתנ
הפעיל	עבר 	שלישי	זכר 	רבים	ה_ק_טי_לו
הפעיל	עבר 	שלישי	נקבה	רבים	ה_ק_טי_לו
הפעיל	הווה	ראשון	זכר 	יחיד	מ_ק_טי_ל
הפעיל	הווה	ראשון	נקבה	יחיד	מ_ק_טי_לה
הפעיל	הווה	שני 	זכר 	יחיד	מ_ק_טי_ל
הפעיל	הווה	שני 	נקבה	יחיד	מ_ק_טי_לה
הפעיל	הווה	שלישי	זכר 	יחיד	מ_ק_טי_ל
הפעיל	הווה	שלישי	נקבה	יחיד	מ_ק_טי_לה
הפעיל	הווה	ראשון	זכר 	רבים	מ_ק_טי_לימ
הפעיל	הווה	ראשון	נקבה	רבים	מ_ק_טי_לות
הפעיל	הווה	שני 	זכר 	רבים	מ_ק_טי_לימ
הפעיל	הווה	שני 	נקבה	רבים	מ_ק_טי_לות
הפעיל	הווה	שלישי	זכר 	רבים	מ_ק_טי_לימ
הפעיל	הווה	שלישי	נקבה	רבים	מ_ק_טי_לות
הפעיל	עתיד	ראשון	זכר 	יחיד	א_ק_טי_ל
הפעיל	עתיד	ראשון	נקבה	יחיד	א_ק_טי_ל
הפעיל	עתיד	שני 	זכר 	יחיד	ת_ק_טי_ל
הפעיל	עתיד	שני 	נקבה	יחיד	ת_ק_טי_לי
הפעיל	עתיד	שלישי	זכר 	יחיד	י_ק_טי_ל
הפעיל	עתיד	שלישי	נקבה	יחיד	ת_ק_טי_ל
הפעיל	עתיד	ראשון	זכר 	רבים	נ_ק_טי_ל
הפעיל	עתיד	ראשון	נקבה	רבים	נ_ק_טי_ל
הפעיל	עתיד	שני 	זכר 	רבים	ת_ק_טי_לו
הפעיל	עתיד	שני 	נקבה	רבים	ת_ק_ט_לנה
הפעיל	עתיד	שלישי	זכר 	רבים	י_ק_טי_לו
הפעיל	עתיד	שלישי	נקבה	רבים	ת_ק_ט_לנה
הפעיל	ציווי	שני 	זכר 	יחיד	ה_ק_ט_ל
הפעיל	ציווי	שני 	נקבה	יחיד	ה_ק_טי_לי
הפעיל	ציווי	שני 	זכר 	רבים	ה_ק_טי_לו
הפעיל	ציווי	שני 	נקבה	רבים	ה_ק_ט_לנה
הופעל	עבר 	ראשון	זכר 	יחיד	הו_ק_ט_לתי
הופעל	עבר 	ראשון	נקבה	יחיד	הו_ק_ט_לתי
הופעל	עבר 	שני 	זכר 	יחיד	הו_ק_ט_לת
הופעל	עבר 	שני 	נקבה	יחיד	הו_ק_ט_לת
הופעל	עבר 	שלישי	זכר 	יחיד	הו_ק_ט_ל
הופעל	עבר 	שלישי	נקבה	יחיד	הו_ק_ט_לה
הופעל	עבר 	ראשון	זכר 	רבים	הו_ק_ט_לנו
הופעל	עבר 	ראשון	נקבה	רבים	הו_ק_ט_לנו
הופעל	עבר 	שני 	זכר 	רבים	הו_ק_ט_לתמ
הופעל	עבר 	שני 	נקבה	רבים	הו_ק_ט_לתנ
הופעל	עבר 	שלישי	זכר 	רבים	הו_ק_ט_לו
הופעל	עבר 	שלישי	נקבה	רבים	הו_ק_ט_לו
הופעל	הווה	ראשון	זכר 	יחיד	מו_ק_ט_ל
הופעל	הווה	ראשון	נקבה	יחיד	מו_ק_ט_לת
הופעל	הווה	שני 	זכר 	יחיד	מו_ק_ט_ל
הופעל	הווה	שני 	נקבה	יחיד	מו_ק_ט_לת
הופעל	הווה	שלישי	זכר 	יחיד	מו_ק_ט_ל
הופעל	הווה	שלישי	נקבה	יחיד	מו_ק_ט_לת
הופעל	הווה	ראשון	זכר 	רבים	מו_ק_ט_לימ
הופעל	הווה	ראשון	נקבה	רבים	מו_ק_ט_לות
הופעל	הווה	שני 	זכר 	רבים	מו_ק_ט_לימ
הופעל	הווה	שני 	נקבה	רבים	מו_ק_ט_לות
הופעל	הווה	שלישי	זכר 	רבים	מו_ק_ט_לימ
הופעל	הווה	שלישי	נקבה	רבים	מו_ק_ט_לות
הופעל	עתיד	ראשון	זכר 	יחיד	או_ק_ט_ל
הופעל	עתיד	ראשון	נקבה	יחיד	או_ק_ט_ל
הופעל	עתיד	שני 	זכר 	יחיד	תו_ק_ט_ל
הופעל	עתיד	שני 	נקבה	יחיד	תו_ק_ט_לי
הופעל	עתיד	שלישי	זכר 	יחיד	יו_ק_ט_ל
הופעל	עתיד	שלישי	נקבה	יחיד	תו_ק_ט_ל
הופעל	עתיד	ראשון	זכר 	רבים	נו_ק_ט_ל
הופעל	עתיד	ראשון	נקבה	רבים	נו_ק_ט_ל
הופעל	עתיד	שני 	זכר 	רבים	תו_ק_ט_לו
הופעל	עתיד	שני 	נקבה	רבים	תו_ק_ט_לנה
הופעל	עתיד	שלישי	זכר 	רבים	יו_ק_ט_לו
הופעל	עתיד	שלישי	נקבה	רבים	תו_ק_ט_לנה
התפעל	עבר 	ראשון	זכר 	יחיד	הת_ק_ט_לתי
התפעל	עבר 	ראשון	נקבה	יחיד	הת_ק_ט_לתי
התפעל	עבר 	שני 	זכר 	יחיד	הת_ק_ט_לת
התפעל	עבר 	שני 	נקבה	יחיד	הת_ק_ט_לת
התפעל	עבר 	שלישי	זכר 	יחיד	הת_ק_ט_ל
התפעל	עבר 	שלישי	נקבה	יחיד	הת_ק_ט_לה
התפעל	עבר 	ראשון	זכר 	רבים	הת_ק_ט_לנו
התפעל	עבר 	ראשון	נקבה	רבים	הת_ק_ט_לנו
התפעל	עבר 	שני 	זכר 	רבים	הת_ק_ט_לתמ
התפעל	עבר 	שני 	נקבה	רבים	הת_ק_ט_לתנ
התפעל	עבר 	שלישי	זכר 	רבים	הת_ק_ט_לו
התפעל	עבר 	שלישי	נקבה	רבים	הת_ק_ט_לו
התפעל	הווה	ראשון	זכר 	יחיד	מת_ק_ט_ל
התפעל	הווה	ראשון	נקבה	יחיד	מת_ק_ט_לת
