פעל 	עבר  	ראשון	זכר 	יחיד	_ע_ג_נתי
פעל 	עבר  	ראשון	נקבה	יחיד	_ע_ג_נתי
פעל 	עבר  	שני 	זכר 	יחיד	_ע_ג_נת
פעל 	עבר  	שני 	נקבה	יחיד	_ע_ג_נת
פעל 	עבר  	שלישי	זכר 	יחיד	_ע_ג_נ
פעל 	עבר  	שלישי	נקבה	יחיד	_ע_ג_נה
פעל 	עבר  	ראשון	זכר 	רבים	_ע_ג_נו
פעל 	עבר  	ראשון	נקבה	רבים	_ע_ג_נו
פעל 	עבר  	שני 	זכר 	רבים	_ע_ג_נתם
פעל 	עבר  	שני 	נקבה	רבים	_ע_ג_נתן
פעל 	עבר  	שלישי	זכר 	רבים	_ע_ג_נו
פעל 	עבר  	שלישי	נקבה	רבים	_ע_ג_נו
פעל 	הווה	ראשון	זכר 	יחיד	_עו_ג_נ
פעל 	הווה	ראשון	נקבה	יחיד	_עו_ג_נת
פעל 	הווה	שני 	זכר 	יחיד	_עו_ג_נ
פעל 	הווה	שני 	נקבה	יחיד	_עו_ג_נת
פעל 	הווה	שלישי	זכר 	יחיד	_עו_ג_נ
פעל 	הווה	שלישי	נקבה	יחיד	_עו_ג_נת
פעל 	הווה	ראשון	זכר 	רבים	_עו_ג_נים
פעל 	הווה	ראשון	נקבה	רבים	_עו_ג_נות
פעל 	הווה	שני 	זכר 	רבים	_עו_ג_נים
פעל 	הווה	שני 	נקבה	רבים	_עו_ג_נות
פעל 	הווה	שלישי	זכר 	רבים	_עו_ג_נים
פעל 	הווה	שלישי	נקבה	רבים	_עו_ג_נות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ע_ג_נ
פעל 	עתיד	ראשון	נקבה	יחיד	א_ע_ג_נ
פעל 	עתיד	שני 	זכר 	יחיד	ת_ע_ג_נ
פעל 	עתיד	שני 	נקבה	יחיד	ת_ע_ג_ני
פעל 	עתיד	שלישי	זכר 	יחיד	י_ע_ג_נ
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ע_ג_נ
פעל 	עתיד	ראשון	זכר 	רבים	נ_ע_ג_נ
פעל 	עתיד	ראשון	נקבה	רבים	נ_ע_ג_נ
פעל 	עתיד	שני 	זכר 	רבים	ת_ע_ג_נו
פעל 	עתיד	שני 	נקבה	רבים	ת_ע_ג_נה
פעל 	עתיד	שלישי	זכר 	רבים	י_ע_ג_נו
פעל 	עתיד	שלישי	נקבה	רבים	ת_ע_ג_נה
פעל 	ציווי	שני 	זכר 	יחיד	_ע_גו_נ
פעל 	ציווי	שני 	נקבה	יחיד	_עי_ג_ני
פעל 	ציווי	שני 	זכר 	רבים	_עי_ג_נו
פעל 	ציווי	שני 	נקבה	רבים	_ע_גו_נה
נפעל	עבר 	ראשון	זכר 	יחיד	נ_ע_ג_נתי
