פעל 	עבר  	ראשון	זכר 	יחיד	_צ_ל_מתי
פעל 	עבר  	ראשון	נקבה	יחיד	_צ_ל_מתי
פעל 	עבר  	שני 	זכר 	יחיד	_צ_ל_מת
פעל 	עבר  	שני 	נקבה	יחיד	_צ_ל_מת
פעל 	עבר  	שלישי	זכר 	יחיד	_צ_ל_מ
פעל 	עבר  	שלישי	נקבה	יחיד	_צ_ל_מה
פעל 	עבר  	ראשון	זכר 	רבים	_צ_ל_מנו
פעל 	עבר  	ראשון	נקבה	רבים	_צ_ל_מנו
פעל 	עבר  	שני 	זכר 	רבים	_צ_ל_מתם
פעל 	עבר  	שני 	נקבה	רבים	_צ_ל_מתן
פעל 	עבר  	שלישי	זכר 	רבים	_צ_ל_מו
פעל 	עבר  	שלישי	נקבה	רבים	_צ_ל_מו
פעל 	הווה	ראשון	זכר 	יחיד	_צו_ל_מ
פעל 	הווה	ראשון	נקבה	יחיד	_צו_ל_מת
פעל 	הווה	שני 	זכר 	יחיד	_צו_ל_מ
פעל 	הווה	שני 	נקבה	יחיד	_צו_ל_מת
פעל 	הווה	שלישי	זכר 	יחיד	_צו_ל_מ
פעל 	הווה	שלישי	נקבה	יחיד	_צו_ל_מת
פעל 	הווה	ראשון	זכר 	רבים	_צו_ל_מים
פעל 	הווה	ראשון	נקבה	רבים	_צו_ל_מות
פעל 	הווה	שני 	זכר 	רבים	_צו_ל_מים
פעל 	הווה	שני 	נקבה	רבים	_צו_ל_מות
פעל 	הווה	שלישי	זכר 	רבים	_צו_ל_מים
פעל 	הווה	שלישי	נקבה	רבים	_צו_ל_מות
פעל 	עתיד	ראשון	זכר 	יחיד	א_צ_ל_מ
פעל 	עתיד	ראשון	נקבה	יחיד	א_צ_ל_מ
פעל 	עתיד	שני 	זכר 	יחיד	ת_צ_ל_מ
פעל 	עתיד	שני 	נקבה	יחיד	ת_צ_ל_מי
פעל 	עתיד	שלישי	זכר 	יחיד	י_צ_ל_מ
פעל 	עתיד	שלישי	נקבה	יחיד	ת_צ_ל_מ
פעל 	עתיד	ראשון	זכר 	רבים	נ_צ_ל_מ
פעל 	עתיד	ראשון	נקבה	רבים	נ_צ_ל_מ
פעל 	עתיד	שני 	זכר 	רבים	ת_צ_ל_מו
פעל 	עתיד	שני 	נקבה	רבים	ת_צ_ל_מנה
פעל 	עתיד	שלישי	זכר 	רבים	י_צ_ל_מו
פעל 	עתיד	שלישי	נקבה	רבים	ת_צ_ל_מנה
פעל 	ציווי	שני 	זכר 	יחיד	_צ_לו_מ
פעל 	ציווי	שני 	נקבה	יחיד	_צי_ל_מי
פעל 	ציווי	שני 	זכר 	רבים	_צי_ל_מו
פעל 	ציווי	שני 	נקבה	רבים	_צ_לו_מנה
נפעל	עבר 	ראשון	זכר 	יחיד	נ_צ_ל_מתי
נפעל	עבר 	ראשון	נקבה	יחיד	נ_צ_ל_מתי
נפעל	עבר 	שני 	זכר 	יחיד	נ_צ_ל_מת
נפעל	עבר 	שני 	נקבה	יחיד	נ_צ_ל_מת
נפעל	עבר 	שלישי	זכר 	יחיד	נ_צ_ל_מ
נפעל	עבר 	שלישי	נקבה	יחיד	נ_צ_ל_מה
נפעל	עבר 	ראשון	זכר 	רבים	נ_צ_ל_מנו
נפעל	עבר 	ראשון	נקבה	רבים	נ_צ_ל_מנו
נפעל	עבר 	שני 	זכר 	רבים	נ_צ_ל_מתם
נפעל	עבר 	שני 	נקבה	רבים	נ_צ_ל_מתן
נפעל	עבר 	שלישי	זכר 	רבים	נ_צ_ל_מו
נפעל	עבר 	שלישי	נקבה	רבים	נ_צ_ל_מו
