פיעל	עבר 	ראשון	זכר 	יחיד	_ד_ג_מ_נתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ד_ג_מ_נתי
פיעל	עבר 	שלישי	זכר 	יחיד	_ד_ג_מ_נ
פיעל	עבר 	שלישי	נקבה	יחיד	_ד_ג_מ_נה
פיעל	עבר 	ראשון	זכר 	רבים	_ד_ג_מ_נו
פיעל	עבר 	ראשון	נקבה	רבים	_ד_ג_מ_נו
פיעל	עבר 	ראשון	זכר 	יחיד	_די_ג_מ_נתי
פיעל	עבר 	ראשון	נקבה	יחיד	_די_ג_מ_נתי
פיעל	עבר 	שני 	זכר 	יחיד	_די_ג_מ_נת
פיעל	עבר 	שני 	נקבה	יחיד	_די_ג_מ_נת
פיעל	עבר 	שלישי	זכר 	יחיד	_די_ג_מ_נ
פיעל	עבר 	שלישי	נקבה	יחיד	_די_ג_מ_נה
פיעל	עבר 	שני 	זכר 	יחיד	_די_ג_מ_נת
פיעל	עבר 	שני 	נקבה	יחיד	_די_ג_מ_נת
פיעל	עבר 	שני 	זכר 	רבים	_ד_ג_מ_נתם
פיעל	עבר 	שני 	נקבה	רבים	_ד_ג_מ_נתן
פיעל	עבר 	שלישי	זכר 	רבים	_ד_ג_מ_נו
פיעל	עבר 	שלישי	נקבה	רבים	_ד_ג_מ_נו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ד_ג_מ_נ
פיעל	הווה	ראשון	נקבה	יחיד	מ_ד_ג_מ_נת
פיעל	הווה	שני 	זכר 	יחיד	מ_ד_ג_מ_נ
פיעל	הווה	שני 	נקבה	יחיד	מ_ד_ג_מ_נת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ד_ג_מ_נ
פיעל	הווה	שלישי	נקבה	יחיד	מ_ד_ג_מ_נת
פיעל	הווה	ראשון	זכר 	רבים	מ_ד_ג_מ_נים
פיעל	הווה	ראשון	נקבה	רבים	מ_ד_ג_מ_נות
פיעל	הווה	שני 	זכר 	רבים	מ_ד_ג_מ_נים
פיעל	הווה	שני 	נקבה	רבים	מ_ד_ג_מ_נות
פיעל	הווה	שלישי	זכר 	רבים	מ_ד_ג_מ_נים
פיעל	הווה	שלישי	נקבה	רבים	מ_ד_ג_מ_נות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ד_ג_מ_נ
פיעל	עתיד	ראשון	נקבה	יחיד	א_ד_ג_מ_נ
פיעל	עתיד	שני 	זכר 	יחיד	ת_ד_ג_מ_נ
פיעל	עתיד	שני 	נקבה	יחיד	ת_ד_ג_מ_ני
פיעל	עתיד	שלישי	זכר 	יחיד	י_ד_ג_מ_נ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ד_ג_מ_נ
פיעל	עתיד	ראשון	זכר 	רבים	נ_ד_ג_מ_נ
פיעל	עתיד	ראשון	נקבה	רבים	נ_ד_ג_מ_נ
פיעל	עתיד	שני 	זכר 	רבים	ת_ד_ג_מ_נו
פיעל	עתיד	שני 	נקבה	רבים	ת_ד_ג_מ_נה
פיעל	עתיד	שלישי	זכר 	רבים	י_ד_ג_מ_נו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ד_ג_מ_נה
פיעל	ציווי	שני 	זכר 	יחיד	_ד_ג_מ_נ
פיעל	ציווי	שני 	נקבה	יחיד	_ד_ג_מ_ני
פיעל	ציווי	שני 	זכר 	רבים	_ד_ג_מ_נו
פיעל	ציווי	שני 	נקבה	רבים	_ד_ג_מ_נה
פועל	עבר 	ראשון	זכר 	יחיד	_דו_ג_מ_נתי
