זמבר
פיעל	עבר 	ראשון	זכר 	יחיד	_ז_מ_ב_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ז_מ_ב_רתי
פיעל	עבר 	שלישי	זכר 	יחיד	_ז_מ_ב_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_ז_מ_ב_רה
פיעל	עבר 	ראשון	זכר 	רבים	_ז_מ_ב_רנו
פיעל	עבר 	ראשון	נקבה	רבים	_ז_מ_ב_רנו
פיעל	עבר 	ראשון	זכר 	יחיד	_זי_מ_ב_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_זי_מ_ב_רתי
פיעל	עבר 	שני 	זכר 	יחיד	_זי_מ_ב_רת
פיעל	עבר 	שני 	נקבה	יחיד	_זי_מ_ב_רת
פיעל	עבר 	שלישי	זכר 	יחיד	_זי_מ_ב_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_זי_מ_ב_רה
פיעל	עבר 	שני 	זכר 	יחיד	_זי_מ_ב_רת
פיעל	עבר 	שני 	נקבה	יחיד	_זי_מ_ב_רת
פיעל	עבר 	שני 	זכר 	רבים	_ז_מ_ב_רתמ
פיעל	עבר 	שני 	נקבה	רבים	_ז_מ_ב_רתנ
פיעל	עבר 	שלישי	זכר 	רבים	_ז_מ_ב_רו
פיעל	עבר 	שלישי	נקבה	רבים	_ז_מ_ב_רו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ז_מ_ב_ר
פיעל	הווה	ראשון	נקבה	יחיד	מ_ז_מ_ב_רת
פיעל	הווה	שני 	זכר 	יחיד	מ_ז_מ_ב_ר
פיעל	הווה	שני 	נקבה	יחיד	מ_ז_מ_ב_רת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ז_מ_ב_ר
פיעל	הווה	שלישי	נקבה	יחיד	מ_ז_מ_ב_רת
פיעל	הווה	ראשון	זכר 	רבים	מ_ז_מ_ב_רימ
פיעל	הווה	ראשון	נקבה	רבים	מ_ז_מ_ב_רות
פיעל	הווה	שני 	זכר 	רבים	מ_ז_מ_ב_רימ
פיעל	הווה	שני 	נקבה	רבים	מ_ז_מ_ב_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_ז_מ_ב_רימ
פיעל	הווה	שלישי	נקבה	רבים	מ_ז_מ_ב_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ז_מ_ב_ר
פיעל	עתיד	ראשון	נקבה	יחיד	א_ז_מ_ב_ר
פיעל	עתיד	שני 	זכר 	יחיד	ת_ז_מ_ב_ר
פיעל	עתיד	שני 	נקבה	יחיד	ת_ז_מ_ב_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ז_מ_ב_ר
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ז_מ_ב_ר
פיעל	עתיד	ראשון	זכר 	רבים	נ_ז_מ_ב_ר
פיעל	עתיד	ראשון	נקבה	רבים	נ_ז_מ_ב_ר
פיעל	עתיד	שני 	זכר 	רבים	ת_ז_מ_ב_רו
פיעל	עתיד	שני 	נקבה	רבים	ת_ז_מ_ב_רנה
פיעל	עתיד	שלישי	זכר 	רבים	י_ז_מ_ב_רו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ז_מ_ב_רנה
פיעל	ציווי	שני 	זכר 	יחיד	_ז_מ_ב_ר
פיעל	ציווי	שני 	נקבה	יחיד	_ז_מ_ב_רי
פיעל	ציווי	שני 	זכר 	רבים	_ז_מ_ב_רו
פיעל	ציווי	שני 	נקבה	רבים	_ז_מ_ב_רנה
פועל	עבר 	ראשון	זכר 	יחיד	_זו_מ_ב_רתי
פועל	עבר 	ראשון	נקבה	יחיד	_זו_מ_ב_רתי
פועל	עבר 	שני 	זכר 	יחיד	_זו_מ_ב_רת
פועל	עבר 	שני 	נקבה	יחיד	_זו_מ_ב_רת
פועל	עבר 	שלישי	זכר 	יחיד	_זו_מ_ב_ר
פועל	עבר 	שלישי	נקבה	יחיד	_זו_מ_ב_רה
פועל	עבר 	ראשון	זכר 	רבים	_זו_מ_ב_רנו
פועל	עבר 	ראשון	נקבה	רבים	_זו_מ_ב_רנו
פועל	עבר 	שני 	זכר 	רבים	_זו_מ_ב_רתמ
פועל	עבר 	שני 	נקבה	רבים	_זו_מ_ב_רתנ
פועל	עבר 	שלישי	זכר 	רבים	_זו_מ_ב_רו
פועל	עבר 	שלישי	נקבה	רבים	_זו_מ_ב_רו
