צנתר
פיעל	עבר 	ראשון	זכר 	יחיד	_צ_נ_ת_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_צ_נ_ת_רתי
פיעל	עבר 	שלישי	זכר 	יחיד	_צ_נ_ת_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_צ_נ_ת_רה
פיעל	עבר 	ראשון	זכר 	רבים	_צ_נ_ת_רנו
פיעל	עבר 	ראשון	נקבה	רבים	_צ_נ_ת_רנו
פיעל	עבר 	ראשון	זכר 	יחיד	_צי_נ_ת_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_צי_נ_ת_רתי
פיעל	עבר 	שני 	זכר 	יחיד	_צי_נ_ת_רת
פיעל	עבר 	שני 	נקבה	יחיד	_צי_נ_ת_רת
פיעל	עבר 	שלישי	זכר 	יחיד	_צי_נ_ת_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_צי_נ_ת_רה
פיעל	עבר 	שני 	זכר 	יחיד	_צי_נ_ת_רת
פיעל	עבר 	שני 	נקבה	יחיד	_צי_נ_ת_רת
פיעל	עבר 	שני 	זכר 	רבים	_צ_נ_ת_רתמ
פיעל	עבר 	שני 	נקבה	רבים	_צ_נ_ת_רתנ
פיעל	עבר 	שלישי	זכר 	רבים	_צ_נ_ת_רו
פיעל	עבר 	שלישי	נקבה	רבים	_צ_נ_ת_רו
פיעל	הווה	ראשון	זכר 	יחיד	מ_צ_נ_ת_ר
פיעל	הווה	ראשון	נקבה	יחיד	מ_צ_נ_ת_רת
פיעל	הווה	שני 	זכר 	יחיד	מ_צ_נ_ת_ר
פיעל	הווה	שני 	נקבה	יחיד	מ_צ_נ_ת_רת
פיעל	הווה	שלישי	זכר 	יחיד	מ_צ_נ_ת_ר
פיעל	הווה	שלישי	נקבה	יחיד	מ_צ_נ_ת_רת
פיעל	הווה	ראשון	זכר 	רבים	מ_צ_נ_ת_רימ
פיעל	הווה	ראשון	נקבה	רבים	מ_צ_נ_ת_רות
פיעל	הווה	שני 	זכר 	רבים	מ_צ_נ_ת_רימ
פיעל	הווה	שני 	נקבה	רבים	מ_צ_נ_ת_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_צ_נ_ת_רימ
פיעל	הווה	שלישי	נקבה	רבים	מ_צ_נ_ת_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_צ_נ_ת_ר
פיעל	עתיד	ראשון	נקבה	יחיד	א_צ_נ_ת_ר
פיעל	עתיד	שני 	זכר 	יחיד	ת_צ_נ_ת_ר
פיעל	עתיד	שני 	נקבה	יחיד	ת_צ_נ_ת_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_צ_נ_ת_ר
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צ_נ_ת_ר
פיעל	עתיד	ראשון	זכר 	רבים	נ_צ_נ_ת_ר
פיעל	עתיד	ראשון	נקבה	רבים	נ_צ_נ_ת_ר
פיעל	עתיד	שני 	זכר 	רבים	ת_צ_נ_ת_רו
פיעל	עתיד	שני 	נקבה	רבים	ת_צ_נ_ת_רנה
פיעל	עתיד	שלישי	זכר 	רבים	י_צ_נ_ת_רו
פיעל	עתיד	שלישי	נקבה	רבים	ת_צ_נ_ת_רנה
פיעל	ציווי	שני 	זכר 	יחיד	_צ_נ_ת_ר
פיעל	ציווי	שני 	נקבה	יחיד	_צ_נ_ת_רי
פיעל	ציווי	שני 	זכר 	רבים	_צ_נ_ת_רו
פיעל	ציווי	שני 	נקבה	רבים	_צ_נ_ת_רנה
פועל	עבר 	ראשון	זכר 	יחיד	_צו_נ_ת_רתי
פועל	עבר 	ראשון	נקבה	יחיד	_צו_נ_ת_רתי
פועל	עבר 	שני 	זכר 	יחיד	_צו_נ_ת_רת
פועל	עבר 	שני 	נקבה	יחיד	_צו_נ_ת_רת
פועל	עבר 	שלישי	זכר 	יחיד	_צו_נ_ת_ר
פועל	עבר 	שלישי	נקבה	יחיד	_צו_נ_ת_רה
פועל	עבר 	ראשון	זכר 	רבים	_צו_נ_ת_רנו
פועל	עבר 	ראשון	נקבה	רבים	_צו_נ_ת_רנו
פועל	עבר 	שני 	זכר 	רבים	_צו_נ_ת_רתמ
פועל	עבר 	שני 	נקבה	רבים	_צו_נ_ת_רתנ
פועל	עבר 	שלישי	זכר 	רבים	_צו_נ_ת_רו
פועל	עבר 	שלישי	נקבה	רבים	_צו_נ_ת_רו
פועל	הווה	ראשון	זכר 	יחיד	מ_צו_נ_ת_ר
