שחזר
פיעל	עבר 	ראשון	זכר 	יחיד	_ש_ח_ז_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ש_ח_ז_רתי
פיעל	עבר 	שלישי	זכר 	יחיד	_ש_ח_ז_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_ש_ח_ז_רה
פיעל	עבר 	ראשון	זכר 	רבים	_ש_ח_ז_רנו
פיעל	עבר 	ראשון	נקבה	רבים	_ש_ח_ז_רנו
פיעל	עבר 	ראשון	זכר 	יחיד	_שי_ח_ז_רתי
פיעל	עבר 	ראשון	נקבה	יחיד	_שי_ח_ז_רתי
פיעל	עבר 	שני 	זכר 	יחיד	_שי_ח_ז_רת
פיעל	עבר 	שני 	נקבה	יחיד	_שי_ח_ז_רת
פיעל	עבר 	שלישי	זכר 	יחיד	_שי_ח_ז_ר
פיעל	עבר 	שלישי	נקבה	יחיד	_שי_ח_ז_רה
פיעל	עבר 	שני 	זכר 	יחיד	_שי_ח_ז_רת
פיעל	עבר 	שני 	נקבה	יחיד	_שי_ח_ז_רת
פיעל	עבר 	שני 	זכר 	רבים	_ש_ח_ז_רתמ
פיעל	עבר 	שני 	נקבה	רבים	_ש_ח_ז_רתנ
פיעל	עבר 	שלישי	זכר 	רבים	_ש_ח_ז_רו
פיעל	עבר 	שלישי	נקבה	רבים	_ש_ח_ז_רו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ש_ח_ז_ר
פיעל	הווה	ראשון	נקבה	יחיד	מ_ש_ח_ז_רת
פיעל	הווה	שני 	זכר 	יחיד	מ_ש_ח_ז_ר
פיעל	הווה	שני 	נקבה	יחיד	מ_ש_ח_ז_רת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ש_ח_ז_ר
פיעל	הווה	שלישי	נקבה	יחיד	מ_ש_ח_ז_רת
פיעל	הווה	ראשון	זכר 	רבים	מ_ש_ח_ז_רימ
פיעל	הווה	ראשון	נקבה	רבים	מ_ש_ח_ז_רות
פיעל	הווה	שני 	זכר 	רבים	מ_ש_ח_ז_רימ
פיעל	הווה	שני 	נקבה	רבים	מ_ש_ח_ז_רות
פיעל	הווה	שלישי	זכר 	רבים	מ_ש_ח_ז_רימ
פיעל	הווה	שלישי	נקבה	רבים	מ_ש_ח_ז_רות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ש_ח_ז_ר
פיעל	עתיד	ראשון	נקבה	יחיד	א_ש_ח_ז_ר
פיעל	עתיד	שני 	זכר 	יחיד	ת_ש_ח_ז_ר
פיעל	עתיד	שני 	נקבה	יחיד	ת_ש_ח_ז_רי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ש_ח_ז_ר
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ש_ח_ז_ר
פיעל	עתיד	ראשון	זכר 	רבים	נ_ש_ח_ז_ר
פיעל	עתיד	ראשון	נקבה	רבים	נ_ש_ח_ז_ר
פיעל	עתיד	שני 	זכר 	רבים	ת_ש_ח_ז_רו
פיעל	עתיד	שני 	נקבה	רבים	ת_ש_ח_ז_רנה
פיעל	עתיד	שלישי	זכר 	רבים	י_ש_ח_ז_רו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ש_ח_ז_רנה
פיעל	ציווי	שני 	זכר 	יחיד	_ש_ח_ז_ר
פיעל	ציווי	שני 	נקבה	יחיד	_ש_ח_ז_רי
פיעל	ציווי	שני 	זכר 	רבים	_ש_ח_ז_רו
פיעל	ציווי	שני 	נקבה	רבים	_ש_ח_ז_רנה
פועל	עבר 	ראשון	זכר 	יחיד	_שו_ח_ז_רתי
פועל	עבר 	ראשון	נקבה	יחיד	_שו_ח_ז_רתי
פועל	עבר 	שני 	זכר 	יחיד	_שו_ח_ז_רת
פועל	עבר 	שני 	נקבה	יחיד	_שו_ח_ז_רת
פועל	עבר 	שלישי	זכר 	יחיד	_שו_ח_ז_ר
פועל	עבר 	שלישי	נקבה	יחיד	_שו_ח_ז_רה
פועל	עבר 	ראשון	זכר 	רבים	_שו_ח_ז_רנו
פועל	עבר 	ראשון	נקבה	רבים	_שו_ח_ז_רנו
פועל	עבר 	שני 	זכר 	רבים	_שו_ח_ז_רתמ
