שחוי
התפעל	עבר 	ראשון	זכר 	יחיד	ה_שת_ח_ויתי
התפעל	עבר 	ראשון	נקבה	יחיד	ה_שת_ח_ויתי
התפעל	עבר 	שני 	זכר 	יחיד	ה_שת_ח_וית
התפעל	עבר 	שני 	נקבה	יחיד	ה_שת_ח_וית
התפעל	עבר 	שלישי	זכר 	יחיד	ה_שת_ח_וה
התפעל	עבר 	שלישי	נקבה	יחיד	ה_שת_ח_ותה
התפעל	עבר 	ראשון	זכר 	רבים	ה_שת_ח_וינו
התפעל	עבר 	ראשון	נקבה	רבים	ה_שת_ח_וינו
התפעל	עבר 	שני 	זכר 	רבים	ה_שת_ח_ויתמ
התפעל	עבר 	שני 	נקבה	רבים	ה_שת_ח_ויתנ
התפעל	עבר 	שלישי	זכר 	רבים	ה_שת_ח_וו
התפעל	עבר 	שלישי	נקבה	רבים	ה_שת_ח_וו
התפעל	הווה	ראשון	זכר 	יחיד	מ_שת_ח_וה
התפעל	הווה	ראשון	נקבה	יחיד	מ_שת_ח_וה
התפעל	הווה	שני 	זכר 	יחיד	מ_שת_ח_וה
התפעל	הווה	שני 	נקבה	יחיד	מ_שת_ח_וה
התפעל	הווה	שלישי	זכר 	יחיד	מ_שת_ח_וה
התפעל	הווה	שלישי	נקבה	יחיד	מ_שת_ח_וית
התפעל	הווה	ראשון	זכר 	רבים	מ_שת_ח_וימ
התפעל	הווה	ראשון	נקבה	רבים	מ_שת_ח_וות
התפעל	הווה	שני 	זכר 	רבים	מ_שת_ח_וימ
התפעל	הווה	שני 	נקבה	רבים	מ_שת_ח_וות
התפעל	הווה	שלישי	זכר 	רבים	מ_שת_ח_וימ
התפעל	הווה	שלישי	נקבה	רבים	מ_שת_ח_וות
התפעל	עתיד	ראשון	זכר 	יחיד	א_שת_ח_וה
התפעל	עתיד	ראשון	נקבה	יחיד	א_שת_ח_וה
התפעל	עתיד	שני 	זכר 	יחיד	ת_שת_ח_וה
התפעל	עתיד	שני 	נקבה	יחיד	ת_שת_ח_וי
התפעל	עתיד	שלישי	זכר 	יחיד	י_שת_ח_וו
התפעל	עתיד	שלישי	נקבה	יחיד	ת_שת_ח_וו
התפעל	עתיד	ראשון	זכר 	רבים	נ_שת_ח_וה
התפעל	עתיד	ראשון	נקבה	רבים	נ_שת_ח_וה
התפעל	עתיד	שני 	זכר 	רבים	ת_שת_ח_וו
התפעל	עתיד	שני 	נקבה	רבים	ת_שת_ח_וינה
התפעל	עתיד	שלישי	זכר 	רבים	י_שת_ח_וו
התפעל	עתיד	שלישי	נקבה	רבים	ת_שת_ח_וינה
התפעל	ציווי	שני 	זכר 	יחיד	ה_שת_ח_וה
התפעל	ציווי	שני 	נקבה	יחיד	ה_שת_ח_וי
התפעל	ציווי	שני 	זכר 	רבים	ה_שת_ח_וו
התפעל	ציווי	שני 	נקבה	רבים	ה_שת_ח_וינה
