קרזל
פיעל	עבר 	ראשון	זכר 	יחיד	_ק_ר_ז_לתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ק_ר_ז_לתי
פיעל	עבר 	שלישי	זכר 	יחיד	_ק_ר_ז_ל
פיעל	עבר 	שלישי	נקבה	יחיד	_ק_ר_ז_לה
פיעל	עבר 	ראשון	זכר 	רבים	_ק_ר_ז_לנו
פיעל	עבר 	ראשון	נקבה	רבים	_ק_ר_ז_לנו
פיעל	עבר 	ראשון	זכר 	יחיד	_קי_ר_ז_לתי
פיעל	עבר 	ראשון	נקבה	יחיד	_קי_ר_ז_לתי
פיעל	עבר 	שני 	זכר 	יחיד	_קי_ר_ז_לת
פיעל	עבר 	שני 	נקבה	יחיד	_קי_ר_ז_לת
פיעל	עבר 	שלישי	זכר 	יחיד	_קי_ר_ז_ל
פיעל	עבר 	שלישי	נקבה	יחיד	_קי_ר_ז_לה
פיעל	עבר 	שני 	זכר 	יחיד	_קי_ר_ז_לת
פיעל	עבר 	שני 	נקבה	יחיד	_קי_ר_ז_לת
פיעל	עבר 	שני 	זכר 	רבים	_ק_ר_ז_לתמ
פיעל	עבר 	שני 	נקבה	רבים	_ק_ר_ז_לתנ
פיעל	עבר 	שלישי	זכר 	רבים	_ק_ר_ז_לו
פיעל	עבר 	שלישי	נקבה	רבים	_ק_ר_ז_לו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ק_ר_ז_ל
פיעל	הווה	ראשון	נקבה	יחיד	מ_ק_ר_ז_לת
פיעל	הווה	שני 	זכר 	יחיד	מ_ק_ר_ז_ל
פיעל	הווה	שני 	נקבה	יחיד	מ_ק_ר_ז_לת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ק_ר_ז_ל
פיעל	הווה	שלישי	נקבה	יחיד	מ_ק_ר_ז_לת
פיעל	הווה	ראשון	זכר 	רבים	מ_ק_ר_ז_לימ
פיעל	הווה	ראשון	נקבה	רבים	מ_ק_ר_ז_לות
פיעל	הווה	שני 	זכר 	רבים	מ_ק_ר_ז_לימ
פיעל	הווה	שני 	נקבה	רבים	מ_ק_ר_ז_לות
פיעל	הווה	שלישי	זכר 	רבים	מ_ק_ר_ז_לימ
פיעל	הווה	שלישי	נקבה	רבים	מ_ק_ר_ז_לות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ק_ר_ז_ל
פיעל	עתיד	ראשון	נקבה	יחיד	א_ק_ר_ז_ל
פיעל	עתיד	שני 	זכר 	יחיד	ת_ק_ר_ז_ל
פיעל	עתיד	שני 	נקבה	יחיד	ת_ק_ר_ז_לי
פיעל	עתיד	שלישי	זכר 	יחיד	י_ק_ר_ז_ל
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ק_ר_ז_ל
פיעל	עתיד	ראשון	זכר 	רבים	נ_ק_ר_ז_ל
פיעל	עתיד	ראשון	נקבה	רבים	נ_ק_ר_ז_ל
פיעל	עתיד	שני 	זכר 	רבים	ת_ק_ר_ז_לו
פיעל	עתיד	שני 	נקבה	רבים	ת_ק_ר_ז_לנה
פיעל	עתיד	שלישי	זכר 	רבים	י_ק_ר_ז_לו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ק_ר_ז_לנה
פיעל	ציווי	שני 	זכר 	יחיד	_ק_ר_ז_ל
פיעל	ציווי	שני 	נקבה	יחיד	_ק_ר_ז_לי
פיעל	ציווי	שני 	זכר 	רבים	_ק_ר_ז_לו
פיעל	ציווי	שני 	נקבה	רבים	_ק_ר_ז_לנה
פועל	עבר 	ראשון	זכר 	יחיד	_קו_ר_ז_לתי
פועל	עבר 	ראשון	נקבה	יחיד	_קו_ר_ז_לתי
פועל	עבר 	שני 	זכר 	יחיד	_קו_ר_ז_לת
פועל	עבר 	שני 	נקבה	יחיד	_קו_ר_ז_לת
פועל	עבר 	שלישי	זכר 	יחיד	_קו_ר_ז_ל
פועל	עבר 	שלישי	נקבה	יחיד	_קו_ר_ז_לה
פועל	עבר 	ראשון	זכר 	רבים	_קו_ר_ז_לנו
פועל	עבר 	ראשון	נקבה	רבים	_קו_ר_ז_לנו
פועל	עבר 	שני 	זכר 	רבים	_קו_ר_ז_לתמ
פועל	עבר 	שני 	נקבה	רבים	_קו_ר_ז_לתנ
פועל	עבר 	שלישי	זכר 	רבים	_קו_ר_ז_לו
פועל	עבר 	שלישי	נקבה	רבים	_קו_ר_ז_לו
פועל	הווה	ראשון	זכר 	יחיד	מ_קו_ר_ז_ל
פועל	הווה	ראשון	נקבה	יחיד	מ_קו_ר_ז_לת
פועל	הווה	שני 	זכר 	יחיד	מ_קו_ר_ז_ל
פועל	הווה	שני 	נקבה	יחיד	מ_קו_ר_ז_לת
פועל	הווה	שלישי	זכר 	יחיד	מ_קו_ר_ז_ל
פועל	הווה	שלישי	נקבה	יחיד	מ_קו_ר_ז_לת
פועל	הווה	ראשון	זכר 	רבים	מ_קו_ר_ז_לימ
פועל	הווה	ראשון	נקבה	רבים	מ_קו_ר_ז_לות
פועל	הווה	שני 	זכר 	רבים	מ_קו_ר_ז_לימ
פועל	הווה	שני 	נקבה	רבים	מ_קו_ר_ז_לות
פועל	הווה	שלישי	זכר 	רבים	מ_קו_ר_ז_לימ
פועל	הווה	שלישי	נקבה	רבים	מ_קו_ר_ז_לות
פועל	עתיד	ראשון	זכר 	יחיד	א_קו_ר_ז_ל
פועל	עתיד	ראשון	נקבה	יחיד	א_קו_ר_ז_ל
פועל	עתיד	שני 	זכר 	יחיד	ת_קו_ר_ז_ל
פועל	עתיד	שני 	נקבה	יחיד	ת_קו_ר_ז_לי
פועל	עתיד	שלישי	זכר 	יחיד	י_קו_ר_ז_ל
פועל	עתיד	שלישי	נקבה	יחיד	ת_קו_ר_ז_ל
פועל	עתיד	ראשון	זכר 	רבים	נ_קו_ר_ז_ל
פועל	עתיד	ראשון	נקבה	רבים	נ_קו_ר_ז_ל
פועל	עתיד	שני 	זכר 	רבים	ת_קו_ר_ז_לו
פועל	עתיד	שני 	נקבה	רבים	ת_קו_ר_ז_לנה
פועל	עתיד	שלישי	זכר 	רבים	י_קו_ר_ז_לו
פועל	עתיד	שלישי	נקבה	רבים	ת_קו_ר_ז_לנה
התפעל	עבר 	ראשון	זכר 	יחיד	הת_ק_ר_ז_לתי
התפעל	עבר 	ראשון	נקבה	יחיד	הת_ק_ר_ז_לתי
התפעל	עבר 	שני 	זכר 	יחיד	הת_ק_ר_ז_לת
התפעל	עבר 	שני 	נקבה	יחיד	הת_ק_ר_ז_לת
התפעל	עבר 	שלישי	זכר 	יחיד	הת_ק_ר_ז_ל
התפעל	עבר 	שלישי	נקבה	יחיד	הת_ק_ר_ז_לה
התפעל	עבר 	ראשון	זכר 	רבים	הת_ק_ר_ז_לנו
התפעל	עבר 	ראשון	נקבה	רבים	הת_ק_ר_ז_לנו
התפעל	עבר 	שני 	זכר 	רבים	הת_ק_ר_ז_לתמ
התפעל	עבר 	שני 	נקבה	רבים	הת_ק_ר_ז_לתנ
התפעל	עבר 	שלישי	זכר 	רבים	הת_ק_ר_ז_לו
התפעל	עבר 	שלישי	נקבה	רבים	הת_ק_ר_ז_לו
התפעל	הווה	ראשון	זכר 	יחיד	מת_ק_ר_ז_ל
התפעל	הווה	ראשון	נקבה	יחיד	מת_ק_ר_ז_לת
התפעל	הווה	שני 	זכר 	יחיד	מת_ק_ר_ז_ל
התפעל	הווה	שני 	נקבה	יחיד	מת_ק_ר_ז_לת
התפעל	הווה	שלישי	זכר 	יחיד	מת_ק_ר_ז_ל
התפעל	הווה	שלישי	נקבה	יחיד	מת_ק_ר_ז_לת
התפעל	הווה	ראשון	זכר 	רבים	מת_ק_ר_ז_לימ
התפעל	הווה	ראשון	נקבה	רבים	מת_ק_ר_ז_לות
התפעל	הווה	שני 	זכר 	רבים	מת_ק_ר_ז_לימ
התפעל	הווה	שני 	נקבה	רבים	מת_ק_ר_ז_לות
התפעל	הווה	שלישי	זכר 	רבים	מת_ק_ר_ז_לימ
התפעל	הווה	שלישי	נקבה	רבים	מת_ק_ר_ז_לות
התפעל	עתיד	ראשון	זכר 	יחיד	את_ק_ר_ז_ל
התפעל	עתיד	ראשון	נקבה	יחיד	את_ק_ר_ז_ל
התפעל	עתיד	שני 	זכר 	יחיד	תת_ק_ר_ז_ל
התפעל	עתיד	שני 	נקבה	יחיד	תת_ק_ר_ז_לי
התפעל	עתיד	שלישי	זכר 	יחיד	ית_ק_ר_ז_ל
התפעל	עתיד	שלישי	נקבה	יחיד	תת_ק_ר_ז_ל
התפעל	עתיד	ראשון	זכר 	רבים	נת_ק_ר_ז_ל
התפעל	עתיד	ראשון	נקבה	רבים	נת_ק_ר_ז_ל
התפעל	עתיד	שני 	זכר 	רבים	תת_ק_ר_ז_לו
התפעל	עתיד	שני 	נקבה	רבים	תת_ק_ר_ז_לנה
התפעל	עתיד	שלישי	זכר 	רבים	ית_ק_ר_ז_לו
התפעל	עתיד	שלישי	נקבה	רבים	תת_ק_ר_ז_לנה
התפעל	ציווי	שני 	זכר 	יחיד	הת_ק_ר_ז_ל
התפעל	ציווי	שני 	נקבה	יחיד	הת_ק_ר_ז_לי
התפעל	ציווי	שני 	זכר 	רבים	הת_ק_ר_ז_לו
התפעל	ציווי	שני 	נקבה	רבים	הת_ק_ר_ז_לנה
