אבסס	א	ב	ס	ס	שלמים
אורר	א	ו	ר	ר	שלמים
אזרח	א	ז	ר	ח	שלמים
אחזר	א	ח	ז	ר	שלמים
אכזב	א	כ	ז	ב	שלמים
אכלס	א	כ	ל	ס	שלמים
אלמנ	א	ל	מ	נ	שלמים
אמלל	א	מ	ל	ל	שלמים
אמלק	א	מ	ל	ק	שלמים
אנפל	א	נ	פ	ל	שלמים
אנפפ	א	נ	פ	פ	שלמים
אפטמ	א	פ	ט	מ	שלמים
אפינ	א	פ	י	נ	שלמים
אפסנ	א	פ	ס	נ	שלמים
אקלמ	א	ק	ל	מ	שלמים
ארגנ	א	ר	ג	נ	שלמים
ארכב	א	ר	כ	ב	שלמים
אשפז	א	ש	פ	ז	שלמים
אתגר	א	ת	ג	ר	שלמים
אתרג	א	ת	ר	ג	שלמים
בזבז	ב	ז	ב	ז	שלמים
בחבש	ב	ח	ב	ש	שלמים
בכינ	ב	כ	י	נ	שלמים
בלבל	ב	ל	ב	ל	שלמים
בנג'ג'	ב	נ	ג'	ג'	שלמים
בעבע	ב	ע	ב	ע	שלמים
בצבצ	ב	צ	ב	צ	שלמים
בקבק	ב	ק	ב	ק	שלמים
ברבר	ב	ר	ב	ר	שלמים
ברגנ	ב	ר	ג	נ	שלמים
ברדק	ב	ר	ד	ק	שלמים
ברוז	ב	ר	ו	ז	שלמים
ברינ	ב	ר	י	נ	שלמים
גזגז	ג	ז	ג	ז	שלמים
גלגל	ג	ל	ג	ל	שלמים
גלונ	ג	ל	ו	נ	שלמים
גמגמ	ג	מ	ג	מ	שלמים
גנדר	ג	נ	ד	ר	שלמים
געגע	ג	ע	ג	ע	שלמים
גרבצ	ג	ר	ב	צ	שלמים
גרגר	ג	ר	ג	ר	שלמים
גרדמ	ג	ר	ד	מ	שלמים
גרזנ	ג	ר	ז	נ	שלמים
גשגש	ג	ש	ג	ש	שלמים
ג'נגל	ג'	נ	ג	ל	פז
ג'נרט	ג'	נ	ר	ט	פז
ג'עג'ע	ג'	ע	ג'	ע	פז
געגע	ג	ע	ג	ע	שלמים
דבלל	ד	ב	ל	ל	פדט
דבקק	ד	ב	ק	ק	פדט
דגדג	ד	ג	ד	ג	פדט
דגמנ	ד	ג	מ	נ	פדט
דכדכ	ד	כ	ד	כ	פדט
דלדל	ד	ל	ד	ל	פדט
דלור	ד	ל	ו	ר	פדט
דלטר	ד	ל	ט	ר	פדט
דמדמ	ד	מ	ד	מ	פדט
דמינ	ד	מ	י	נ	פדט
דנדנ	ד	נ	ד	נ	פדט
דסקס	ד	ס	ק	ס	פדט
דפדפ	ד	פ	ד	פ	פדט
דקדק	ד	ק	ד	ק	פדט
דרבנ	ד	ר	ב	נ	פדט
דרדס	ד	ר	ד	ס	פדט
דרדר	ד	ר	ד	ר	פדט
דשדש	ד	ש	ד	ש	פדט
הבהב	ה	ב	ה	ב	שלמים
הגהג	ה	ג	ה	ג	שלמים
הדהד	ה	ד	ה	ד	שלמים
הלקט	ה	ל	ק	ט	שלמים
המהמ	ה	מ	ה	מ	שלמים
הנדס	ה	נ	ד	ס	שלמים
הנהנ	ה	נ	ה	נ	שלמים
הרהר	ה	ר	ה	ר	שלמים
זגזג	ז	ג	ז	ג	פז
זלזל	ז	ל	ז	ל	פז
זמבר	ז	מ	ב	ר	פז
זמזמ	ז	מ	ז	מ	פז
זמננ	ז	מ	נ	נ	פז
זעזע	ז	ע	ז	ע	פז
זפזפ	ז	פ	ז	פ	פז
זרגג	ז	ר	ג	ג	פז
זרזפ	ז	ר	ז	פ	פז
חזלש	ח	ז	ל	ש	שלמים
חטחט	ח	ט	ח	ט	שלמים
חלחל	ח	ל	ח	ל	שלמים
חמצנ	ח	מ	צ	נ	שלמים
חנחנ	ח	נ	ח	נ	שלמים
חפצנ	ח	פ	צ	נ	שלמים
חפשנ	ח	פ	ש	נ	שלמים
חצצר	ח	צ	צ	ר	שלמים
חצ'קנ	ח	צ'	ק	נ	שלמים
חרבנ	ח	ר	ב	נ	שלמים
חרבש	ח	ר	ב	ש	שלמים
חרחר	ח	ר	ח	ר	שלמים
חרטט	ח	ר	ט	ט	שלמים
חרמנ	ח	ר	מ	נ	שלמים
חרפנ	ח	ר	פ	נ	שלמים
חשבנ	ח	ש	ב	נ	שלמים
חשמל	ח	ש	מ	ל	שלמים
חשמק	ח	ש	מ	ק	שלמים
טאטא	ט	א	ט	א	פדט
טכסס	ט	כ	ס	ס	פדט
טלטל	ט	ל	ט	ל	פדט
טלפנ	ט	ל	פ	נ	פדט
טמטמ	ט	מ	ט	מ	פדט
טנטנ	ט	נ	ט	נ	פדט
טפטפ	ט	פ	ט	פ	פדט
טפלל	ט	פ	ל	ל	פדט
טקטק	ט	ק	ט	ק	פדט
טרגט	ט	ר	ג	ט	פדט
טרטר	ט	ר	ט	ר	פדט
טרפד	ט	ר	פ	ד	פדט
טשטש	ט	ש	ט	ש	פדט
יחצנ	י	ח	צ	נ	שלמים
ימימ	י	מ	י	מ	שלמים
יפיפ	י	פ	י	פ	שלמים
כדרר	כ	ד	ר	ר	שלמים
כחכח	כ	ח	כ	ח	שלמים
כלכל	כ	ל	כ	ל	שלמים
כסתח	כ	ס	ת	ח	שלמים
כעכע	כ	ע	כ	ע	שלמים
כפכפ	כ	פ	כ	פ	שלמים
כפתר	כ	פ	ת	ר	שלמים
כרכמ	כ	ר	כ	מ	שלמים
כרכר	כ	ר	כ	ר	שלמים
כרסמ	כ	ר	ס	מ	שלמים
כשכש	כ	ש	כ	ש	שלמים
לבלב	ל	ב	ל	ב	שלמים
לגלג	ל	ג	ל	ג	שלמים
להלה	ל	ה	ל	ה	שלמים
לחלח	ל	ח	ל	ח	שלמים
ליקק	ל	י	ק	ק	שלמים
לכלכ	ל	כ	ל	כ	שלמים
לכסנ	ל	כ	ס	נ	שלמים
לעלע	ל	ע	ל	ע	שלמים
לקלק	ל	ק	ל	ק	שלמים
לרלר	ל	ר	ל	ר	שלמים
לשלש	ל	ש	ל	ש	שלמים
מגנט	מ	ג	נ	ט	שלמים
מדבר	מ	ד	ב	ר	שלמים
מדרג	מ	ד	ר	ג	שלמים
מהמה	מ	ה	מ	ה	שלמים
מזמז	מ	ז	מ	ז	שלמים
מחזר	מ	ח	ז	ר	שלמים
מחשב	מ	ח	ש	ב	שלמים
מכמכ	מ	כ	מ	כ	שלמים
מלמל	מ	ל	מ	ל	שלמים
מנגל	מ	נ	ג	ל	שלמים
מנממ	מ	נ	מ	מ	שלמים
מנשנ	מ	נ	ש	נ	שלמים
מסגר	מ	ס	ג	ר	שלמים
מסמס	מ	ס	מ	ס	שלמים
מסמר	מ	ס	מ	ר	שלמים
מספר	מ	ס	פ	ר	שלמים
מפתח	מ	פ	ת	ח	שלמים
מצמצ	מ	צ	מ	צ	שלמים
מקבל	מ	ק	ב	ל	שלמים
מקמק	מ	ק	מ	ק	שלמים
מקסמ	מ	ק	ס	מ	שלמים
מרחב	מ	ר	ח	ב	שלמים
מרכז	מ	ר	כ	ז	שלמים
מרמר	מ	ר	מ	ר	שלמים
מרפק	מ	ר	פ	ק	שלמים
מרקר	מ	ר	ק	ר	שלמים
משטר	מ	ש	ט	ר	שלמים
משמש	מ	ש	מ	ש	שלמים
נדנד	נ	ד	נ	ד	שלמים
נוני	נ	ו	נ	י	שלמים
נחמד	נ	ח	מ	ד	שלמים
נטפק	נ	ט	פ	ק	שלמים
נמלל	נ	מ	ל	ל	שלמים
נמנמ	נ	מ	נ	מ	שלמים
נענע	נ	ע	נ	ע	שלמים
נפנפ	נ	פ	נ	פ	שלמים
נצנצ	נ	צ	נ	צ	שלמים
נקנק	נ	ק	נ	ק	שלמים
נרמל	נ	ר	מ	ל	שלמים
נשנש	נ	ש	נ	ש	שלמים
סבסב	ס	ב	ס	ב	פשס
סבסד	ס	ב	ס	ד	פשס
סגלל	ס	ג	ל	ל	פשס
סגננ	ס	ג	נ	נ	פשס
סגסג	ס	ג	ס	ג	פשס
סחנש	ס	ח	נ	ש	פשס
סכסכ	ס	כ	ס	כ	פשס
סלפפ	ס	ל	פ	פ	פשס
סמפט	ס	מ	פ	ט	פשס
סמפל	ס	מ	פ	ל	פשס
סנגר	ס	נ	ג	ר	פשס
סנג'ר	ס	נ	ג'	ר	פשס
סנדל	ס	נ	ד	ל	פשס
סנור	ס	נ	ו	ר	פשס
סערב	ס	ע	ר	ב	פשס
ספסל	ס	פ	ס	ל	פשס
ספרד	ס	פ	ר	ד	פשס
סרבל	ס	ר	ב	ל	פשס
סרגל	ס	ר	ג	ל	פשס
סרהב	ס	ר	ה	ב	פשס
