פעל 	עבר  	ראשון	זכר 	יחיד	_י_צ_בתי_
פעל 	עבר  	ראשון	נקבה	יחיד	_י_צ_בתי_
פעל 	עבר  	שני 	זכר 	יחיד	_י_צ_בת_
פעל 	עבר  	שני 	נקבה	יחיד	_י_צ_בת_
פעל 	עבר  	שלישי	זכר 	יחיד	_י_צ_ב_
פעל 	עבר  	שלישי	נקבה	יחיד	_י_צ_בה_
פעל 	עבר  	ראשון	זכר 	רבים	_י_צ_בנו_
פעל 	עבר  	ראשון	נקבה	רבים	_י_צ_בנו_
פעל 	עבר  	שני 	זכר 	רבים	_י_צ_בתם_
פעל 	עבר  	שני 	נקבה	רבים	_י_צ_בתן_
פעל 	עבר  	שלישי	זכר 	רבים	_י_צ_בו_
פעל 	עבר  	שלישי	נקבה	רבים	_י_צ_בו_
פעל 	הווה	ראשון	זכר 	יחיד	_יו_צ_ב_
פעל 	הווה	ראשון	נקבה	יחיד	_יו_צ_בת_
פעל 	הווה	שני 	זכר 	יחיד	_יו_צ_ב_
פעל 	הווה	שני 	נקבה	יחיד	_יו_צ_בת_
פעל 	הווה	שלישי	זכר 	יחיד	_יו_צ_ב_
פעל 	הווה	שלישי	נקבה	יחיד	_יו_צ_בת_
פעל 	הווה	ראשון	זכר 	רבים	_יו_צ_בים_
פעל 	הווה	ראשון	נקבה	רבים	_יו_צ_בות_
פעל 	הווה	שני 	זכר 	רבים	_יו_צ_בים_
פעל 	הווה	שני 	נקבה	רבים	_יו_צ_בות_
פעל 	הווה	שלישי	זכר 	רבים	_יו_צ_בים_
פעל 	הווה	שלישי	נקבה	רבים	_יו_צ_בות_
פעל 	עתיד	ראשון	זכר 	יחיד	א_צ_ב_
פעל 	עתיד	ראשון	נקבה	יחיד	א_צ_ב_
פעל 	עתיד	שני 	זכר 	יחיד	ת_י_צ_ב_
פעל 	עתיד	שני 	נקבה	יחיד	ת_י_צ_בי_
פעל 	עתיד	שלישי	זכר 	יחיד	י_י_צ_ב_
פעל 	עתיד	שלישי	נקבה	יחיד	ת_י_צ_ב_
פעל 	עתיד	ראשון	זכר 	רבים	נ_צ_ב_
פעל 	עתיד	ראשון	נקבה	רבים	נ_צ_ב_
פעל 	עתיד	שני 	זכר 	רבים	ת_י_צ_בו_
פעל 	עתיד	שני 	נקבה	רבים	ת_י_צ_בנה_
פעל 	עתיד	שלישי	זכר 	רבים	י_י_צ_בו_
פעל 	עתיד	שלישי	נקבה	רבים	ת_י_צ_בנה_
פעל 	ציווי	שני 	זכר 	יחיד	_צו_ב_
פעל 	ציווי	שני 	נקבה	יחיד	_צ_בי_
פעל 	ציווי	שני 	זכר 	רבים	_צ_בו_
פעל 	ציווי	שני 	נקבה	רבים	_צו_בנה_
נפעל	עבר 	ראשון	זכר 	יחיד	ני_צ_בתי_
נפעל	עבר 	ראשון	נקבה	יחיד	ני_צ_בתי_
נפעל	עבר 	שני 	זכר 	יחיד	ני_צ_בת_
נפעל	עבר 	שני 	נקבה	יחיד	ני_צ_בת_
נפעל	עבר 	שלישי	זכר 	יחיד	ני_צ_ב_
נפעל	עבר 	שלישי	נקבה	יחיד	ני_צ_בה_
נפעל	עבר 	ראשון	זכר 	רבים	ני_צ_בנו_
נפעל	עבר 	ראשון	נקבה	רבים	ני_צ_בנו_
נפעל	עבר 	שני 	זכר 	רבים	ני_צ_בתם_
נפעל	עבר 	שני 	נקבה	רבים	ני_צ_בתן_
נפעל	עבר 	שלישי	זכר 	רבים	ני_צ_בו_
נפעל	עבר 	שלישי	נקבה	רבים	ני_צ_בו_
נפעל	הווה	ראשון	זכר 	יחיד	ני_צ_ב_
נפעל	הווה	ראשון	נקבה	יחיד	ני_צ_בת_
נפעל	הווה	שני 	זכר 	יחיד	ני_צ_ב_
נפעל	הווה	שני 	נקבה	יחיד	ני_צ_בת_
נפעל	הווה	שלישי	זכר 	יחיד	ני_צ_ב_
נפעל	הווה	שלישי	נקבה	יחיד	ני_צ_בת_
נפעל	הווה	ראשון	זכר 	רבים	ני_צ_בים_
נפעל	הווה	ראשון	נקבה	רבים	ני_צ_בות_
נפעל	הווה	שני 	זכר 	רבים	ני_צ_בים_
נפעל	הווה	שני 	נקבה	רבים	ני_צ_בות_
נפעל	הווה	שלישי	זכר 	רבים	ני_צ_בים_
נפעל	הווה	שלישי	נקבה	רבים	ני_צ_בות_
נפעל	עתיד	ראשון	זכר 	יחיד	א_צ_ב_
נפעל	עתיד	ראשון	נקבה	יחיד	א_צ_ב_
נפעל	עתיד	שני 	זכר 	יחיד	תי_צ_ב_
נפעל	עתיד	שני 	נקבה	יחיד	תי_צ_בי_
נפעל	עתיד	שלישי	זכר 	יחיד	יי_צ_ב_
נפעל	עתיד	שלישי	נקבה	יחיד	תי_צ_ב_
נפעל	עתיד	ראשון	זכר 	רבים	ני_צ_ב_
נפעל	עתיד	ראשון	נקבה	רבים	ני_צ_ב_
נפעל	עתיד	שני 	זכר 	רבים	תי_צ_בו_
נפעל	עתיד	שני 	נקבה	רבים	תי_צ_בנה_
נפעל	עתיד	שלישי	זכר 	רבים	יי_צ_בו_
נפעל	עתיד	שלישי	נקבה	רבים	תי_צ_בנה_
נפעל	ציווי	שני 	זכר 	יחיד	הי_צ_ב_
נפעל	ציווי	שני 	נקבה	יחיד	הי_צ_בי_
נפעל	ציווי	שני 	זכר 	רבים	הי_צ_בו_
נפעל	ציווי	שני 	נקבה	רבים	הי_צ_בנה_
נפעל	עבר 	ראשון	זכר 	יחיד	נו_צ_בתי_
נפעל	עבר 	ראשון	נקבה	יחיד	נו_צ_בתי_
נפעל	עבר 	שני 	זכר 	יחיד	נו_צ_בת_
נפעל	עבר 	שני 	נקבה	יחיד	נו_צ_בת_
נפעל	עבר 	שלישי	זכר 	יחיד	נו_צ_ב_
נפעל	עבר 	שלישי	נקבה	יחיד	נו_צ_בה_
נפעל	עבר 	ראשון	זכר 	רבים	נו_צ_בנו_
נפעל	עבר 	ראשון	נקבה	רבים	נו_צ_בנו_
נפעל	עבר 	שני 	זכר 	רבים	נו_צ_בתם_
נפעל	עבר 	שני 	נקבה	רבים	נו_צ_בתן_
נפעל	עבר 	שלישי	זכר 	רבים	נו_צ_בו_
נפעל	עבר 	שלישי	נקבה	רבים	נו_צ_בו_
נפעל	הווה	ראשון	זכר 	יחיד	נו_צ_ב_
נפעל	הווה	ראשון	נקבה	יחיד	נו_צ_בת_
נפעל	הווה	שני 	זכר 	יחיד	נו_צ_ב_
נפעל	הווה	שני 	נקבה	יחיד	נו_צ_בת_
נפעל	הווה	שלישי	זכר 	יחיד	נו_צ_ב_
נפעל	הווה	שלישי	נקבה	יחיד	נו_צ_בת_
נפעל	הווה	ראשון	זכר 	רבים	נו_צ_בים_
נפעל	הווה	ראשון	נקבה	רבים	נו_צ_בות_
נפעל	הווה	שני 	זכר 	רבים	נו_צ_בים_
נפעל	הווה	שני 	נקבה	רבים	נו_צ_בות_
נפעל	הווה	שלישי	זכר 	רבים	נו_צ_בים_
נפעל	הווה	שלישי	נקבה	רבים	נו_צ_בות_
נפעל	עתיד	ראשון	זכר 	יחיד	או_צ_ב_
נפעל	עתיד	ראשון	נקבה	יחיד	או_צ_ב_
נפעל	עתיד	שני 	זכר 	יחיד	תיו_צ_ב_
נפעל	עתיד	שני 	נקבה	יחיד	תיו_צ_בי_
נפעל	עתיד	שלישי	זכר 	יחיד	ייו_צ_ב_
נפעל	עתיד	שלישי	נקבה	יחיד	תיו_צ_ב_
נפעל	עתיד	ראשון	זכר 	רבים	נו_צ_ב_
נפעל	עתיד	ראשון	נקבה	רבים	נו_צ_ב_
נפעל	עתיד	שני 	זכר 	רבים	תיו_צ_בו_
נפעל	עתיד	שני 	נקבה	רבים	תיו_צ_בנה_
נפעל	עתיד	שלישי	זכר 	רבים	יי_צ_בו_
נפעל	עתיד	שלישי	נקבה	רבים	תיו_צ_בנה_
פיעל	עבר 	ראשון	זכר 	יחיד	_יי_צ_בתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_יי_צ_בתי_
פיעל	עבר 	שני 	זכר 	יחיד	_יי_צ_בת_
פיעל	עבר 	שני 	נקבה	יחיד	_יי_צ_בת_
פיעל	עבר 	שלישי	זכר 	יחיד	_יי_צ_ב_
פיעל	עבר 	שלישי	נקבה	יחיד	_יי_צ_בה_
פיעל	עבר 	ראשון	זכר 	רבים	_יי_צ_בנו_
פיעל	עבר 	ראשון	נקבה	רבים	_יי_צ_בנו_
פיעל	עבר 	שני 	זכר 	רבים	_יי_צ_בתם_
פיעל	עבר 	שני 	נקבה	רבים	_יי_צ_בתן_
פיעל	עבר 	שלישי	זכר 	רבים	_יי_צ_בו_
פיעל	עבר 	שלישי	נקבה	רבים	_יי_צ_בו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_י_צ_ב_
פיעל	הווה	ראשון	נקבה	יחיד	מ_י_צ_בת_
פיעל	הווה	שני 	זכר 	יחיד	מ_י_צ_ב_
פיעל	הווה	שני 	נקבה	יחיד	מ_י_צ_בת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_י_צ_ב_
פיעל	הווה	שלישי	נקבה	יחיד	מ_י_צ_בת_
פיעל	הווה	ראשון	זכר 	רבים	מ_י_צ_בים_
פיעל	הווה	ראשון	נקבה	רבים	מ_י_צ_בות_
פיעל	הווה	שני 	זכר 	רבים	מ_י_צ_בים_
פיעל	הווה	שני 	נקבה	רבים	מ_י_צ_בות_
פיעל	הווה	שלישי	זכר 	רבים	מ_י_צ_בים_
פיעל	הווה	שלישי	נקבה	רבים	מ_י_צ_בות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_י_צ_ב_
פיעל	עתיד	ראשון	נקבה	יחיד	א_י_צ_ב_
פיעל	עתיד	שני 	זכר 	יחיד	ת_י_צ_ב_
פיעל	עתיד	שני 	נקבה	יחיד	ת_י_צ_בי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_י_צ_ב_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_י_צ_ב_
פיעל	עתיד	ראשון	זכר 	רבים	נ_י_צ_ב_
פיעל	עתיד	ראשון	נקבה	רבים	נ_י_צ_ב_
פיעל	עתיד	שני 	זכר 	רבים	ת_י_צ_בו_
פיעל	עתיד	שני 	נקבה	רבים	ת_י_צ_בנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_י_צ_בו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_י_צ_בנה_
פיעל	ציווי	שני 	זכר 	יחיד	_י_צ_ב_
פיעל	ציווי	שני 	נקבה	יחיד	_י_צ_בי_
פיעל	ציווי	שני 	זכר 	רבים	_י_צ_בו_
פיעל	ציווי	שני 	נקבה	רבים	_י_צ_בנה_
פועל	עבר 	ראשון	זכר 	יחיד	_יו_צ_בתי_
פועל	עבר 	ראשון	נקבה	יחיד	_יו_צ_בתי_
