פיעל	עבר 	ראשון	זכר 	יחיד	_ק_ר_ז_לתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_ק_ר_ז_לתי_
פיעל	עבר 	שני 	זכר 	יחיד	_ק_ר_ז_לת_
פיעל	עבר 	שני 	נקבה	יחיד	_ק_ר_ז_לת_
פיעל	עבר 	שלישי	זכר 	יחיד	_ק_ר_ז_ל_
פיעל	עבר 	שלישי	נקבה	יחיד	_ק_ר_ז_לה_
פיעל	עבר 	ראשון	זכר 	רבים	_ק_ר_ז_לנו_
פיעל	עבר 	ראשון	נקבה	רבים	_ק_ר_ז_לנו_
פיעל	עבר 	שני 	זכר 	רבים	_ק_ר_ז_לתם_
פיעל	עבר 	שני 	נקבה	רבים	_ק_ר_ז_לתן_
פיעל	עבר 	שלישי	זכר 	רבים	_ק_ר_ז_לו_
פיעל	עבר 	שלישי	נקבה	רבים	_ק_ר_ז_לו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_ק_ר_ז_ל_
פיעל	הווה	ראשון	נקבה	יחיד	מ_ק_ר_ז_לת_
פיעל	הווה	שני 	זכר 	יחיד	מ_ק_ר_ז_ל_
פיעל	הווה	שני 	נקבה	יחיד	מ_ק_ר_ז_לת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_ק_ר_ז_ל_
פיעל	הווה	שלישי	נקבה	יחיד	מ_ק_ר_ז_לת_
פיעל	הווה	ראשון	זכר 	רבים	מ_ק_ר_ז_לים_
פיעל	הווה	ראשון	נקבה	רבים	מ_ק_ר_ז_לות_
פיעל	הווה	שני 	זכר 	רבים	מ_ק_ר_ז_לים_
פיעל	הווה	שני 	נקבה	רבים	מ_ק_ר_ז_לות_
פיעל	הווה	שלישי	זכר 	רבים	מ_ק_ר_ז_לים_
פיעל	הווה	שלישי	נקבה	רבים	מ_ק_ר_ז_לות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_ק_ר_ז_ל_
פיעל	עתיד	ראשון	נקבה	יחיד	א_ק_ר_ז_ל_
פיעל	עתיד	שני 	זכר 	יחיד	ת_ק_ר_ז_ל_
פיעל	עתיד	שני 	נקבה	יחיד	ת_ק_ר_ז_לי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_ק_ר_ז_ל_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ק_ר_ז_ל_
פיעל	עתיד	ראשון	זכר 	רבים	נ_ק_ר_ז_ל_
פיעל	עתיד	ראשון	נקבה	רבים	נ_ק_ר_ז_ל_
פיעל	עתיד	שני 	זכר 	רבים	ת_ק_ר_ז_לו_
פיעל	עתיד	שני 	נקבה	רבים	ת_ק_ר_ז_לנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_ק_ר_ז_לו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_ק_ר_ז_לנה_
פיעל	ציווי	שני 	זכר 	יחיד	_ק_ר_ז_ל_
פיעל	ציווי	שני 	נקבה	יחיד	_ק_ר_ז_לי_
פיעל	ציווי	שני 	זכר 	רבים	_ק_ר_ז_לו_
פיעל	ציווי	שני 	נקבה	רבים	_ק_ר_ז_לנה_
פועל	עבר 	ראשון	זכר 	יחיד	_ק_ר_ז_לתי_
פועל	עבר 	ראשון	נקבה	יחיד	_ק_ר_ז_לתי_
פועל	עבר 	שני 	זכר 	יחיד	_ק_ר_ז_לת_
פועל	עבר 	שני 	נקבה	יחיד	_ק_ר_ז_לת_
פועל	עבר 	שלישי	זכר 	יחיד	_ק_ר_ז_ל_
פועל	עבר 	שלישי	נקבה	יחיד	_ק_ר_ז_לה_
פועל	עבר 	ראשון	זכר 	רבים	_ק_ר_ז_לנו_
פועל	עבר 	ראשון	נקבה	רבים	_ק_ר_ז_לנו_
פועל	עבר 	שני 	זכר 	רבים	_ק_ר_ז_לתם_
פועל	עבר 	שני 	נקבה	רבים	_ק_ר_ז_לתן_
פועל	עבר 	שלישי	זכר 	רבים	_ק_ר_ז_לו_
פועל	עבר 	שלישי	נקבה	רבים	_ק_ר_ז_לו_
פועל	הווה	ראשון	זכר 	יחיד	מ_ק_ר_ז_ל_
פועל	הווה	ראשון	נקבה	יחיד	מ_ק_ר_ז_לת_
פועל	הווה	שני 	זכר 	יחיד	מ_ק_ר_ז_ל_
פועל	הווה	שני 	נקבה	יחיד	מ_ק_ר_ז_לת_
פועל	הווה	שלישי	זכר 	יחיד	מ_ק_ר_ז_ל_
פועל	הווה	שלישי	נקבה	יחיד	מ_ק_ר_ז_לת_
פועל	הווה	ראשון	זכר 	רבים	מ_ק_ר_ז_לים_
פועל	הווה	ראשון	נקבה	רבים	מ_ק_ר_ז_לות_
פועל	הווה	שני 	זכר 	רבים	מ_ק_ר_ז_לים_
פועל	הווה	שני 	נקבה	רבים	מ_ק_ר_ז_לות_
פועל	הווה	שלישי	זכר 	רבים	מ_ק_ר_ז_לים_
פועל	הווה	שלישי	נקבה	רבים	מ_ק_ר_ז_לות_
פועל	עתיד	ראשון	זכר 	יחיד	א_ק_ר_ז_ל_
פועל	עתיד	ראשון	נקבה	יחיד	א_ק_ר_ז_ל_
פועל	עתיד	שני 	זכר 	יחיד	ת_ק_ר_ז_ל_
פועל	עתיד	שני 	נקבה	יחיד	ת_ק_ר_ז_לי_
פועל	עתיד	שלישי	זכר 	יחיד	י_ק_ר_ז_ל_
פועל	עתיד	שלישי	נקבה	יחיד	ת_ק_ר_ז_ל_
פועל	עתיד	ראשון	זכר 	רבים	נ_ק_ר_ז_ל_
