פיעל	עבר 	ראשון	זכר 	יחיד	_ח_ש_ב_נתי
פיעל	עבר 	ראשון	נקבה	יחיד	_ח_ש_ב_נתי
פיעל	עבר 	שלישי	זכר 	יחיד	_ח_ש_ב_נ
פיעל	עבר 	שלישי	נקבה	יחיד	_ח_ש_ב_נה
פיעל	עבר 	ראשון	זכר 	רבים	_ח_ש_ב_ננו
פיעל	עבר 	ראשון	נקבה	רבים	_ח_ש_ב_ננו
פיעל	עבר 	ראשון	זכר 	יחיד	_חי_ש_ב_נתי
פיעל	עבר 	ראשון	נקבה	יחיד	_חי_ש_ב_נתי
פיעל	עבר 	שני 	זכר 	יחיד	_חי_ש_ב_נת
פיעל	עבר 	שני 	נקבה	יחיד	_חי_ש_ב_נת
פיעל	עבר 	שלישי	זכר 	יחיד	_חי_ש_ב_נ
פיעל	עבר 	שלישי	נקבה	יחיד	_חי_ש_ב_נה
פיעל	עבר 	שני 	זכר 	יחיד	_חי_ש_ב_נת
פיעל	עבר 	שני 	נקבה	יחיד	_חי_ש_ב_נת
פיעל	עבר 	שני 	זכר 	רבים	_ח_ש_ב_נתם
פיעל	עבר 	שני 	נקבה	רבים	_ח_ש_ב_נתן
פיעל	עבר 	שלישי	זכר 	רבים	_ח_ש_ב_נו
פיעל	עבר 	שלישי	נקבה	רבים	_ח_ש_ב_נו
פיעל	הווה	ראשון	זכר 	יחיד	מ_ח_ש_ב_נ
פיעל	הווה	ראשון	נקבה	יחיד	מ_ח_ש_ב_נת
פיעל	הווה	שני 	זכר 	יחיד	מ_ח_ש_ב_נ
פיעל	הווה	שני 	נקבה	יחיד	מ_ח_ש_ב_נת
פיעל	הווה	שלישי	זכר 	יחיד	מ_ח_ש_ב_נ
פיעל	הווה	שלישי	נקבה	יחיד	מ_ח_ש_ב_נת
פיעל	הווה	ראשון	זכר 	רבים	מ_ח_ש_ב_נים
פיעל	הווה	ראשון	נקבה	רבים	מ_ח_ש_ב_נות
פיעל	הווה	שני 	זכר 	רבים	מ_ח_ש_ב_נים
פיעל	הווה	שני 	נקבה	רבים	מ_ח_ש_ב_נות
פיעל	הווה	שלישי	זכר 	רבים	מ_ח_ש_ב_נים
פיעל	הווה	שלישי	נקבה	רבים	מ_ח_ש_ב_נות
פיעל	עתיד	ראשון	זכר 	יחיד	א_ח_ש_ב_נ
פיעל	עתיד	ראשון	נקבה	יחיד	א_ח_ש_ב_נ
פיעל	עתיד	שני 	זכר 	יחיד	ת_ח_ש_ב_נ
פיעל	עתיד	שני 	נקבה	יחיד	ת_ח_ש_ב_ני
פיעל	עתיד	שלישי	זכר 	יחיד	י_ח_ש_ב_נ
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ח_ש_ב_נ
פיעל	עתיד	ראשון	זכר 	רבים	נ_ח_ש_ב_נ
פיעל	עתיד	ראשון	נקבה	רבים	נ_ח_ש_ב_נ
פיעל	עתיד	שני 	זכר 	רבים	ת_ח_ש_ב_נו
פיעל	עתיד	שני 	נקבה	רבים	ת_ח_ש_ב_ננה
פיעל	עתיד	שלישי	זכר 	רבים	י_ח_ש_ב_נו
פיעל	עתיד	שלישי	נקבה	רבים	ת_ח_ש_ב_ננה
פיעל	ציווי	שני 	זכר 	יחיד	_ח_ש_ב_נ
פיעל	ציווי	שני 	נקבה	יחיד	_ח_ש_ב_ני
פיעל	ציווי	שני 	זכר 	רבים	_ח_ש_ב_נו
פיעל	ציווי	שני 	נקבה	רבים	_ח_ש_ב_ננה
פועל	עבר 	ראשון	זכר 	יחיד	_חו_ש_ב_נתי
פועל	עבר 	ראשון	נקבה	יחיד	_חו_ש_ב_נתי
פועל	עבר 	שני 	זכר 	יחיד	_חו_ש_ב_נת
פועל	עבר 	שני 	נקבה	יחיד	_חו_ש_ב_נת
פועל	עבר 	שלישי	זכר 	יחיד	_חו_ש_ב_נ
פועל	עבר 	שלישי	נקבה	יחיד	_חו_ש_ב_נה
פועל	עבר 	ראשון	זכר 	רבים	_חו_ש_ב_ננו
פועל	עבר 	ראשון	נקבה	רבים	_חו_ש_ב_ננו
פועל	עבר 	שני 	זכר 	רבים	_חו_ש_ב_נתם
פועל	עבר 	שני 	נקבה	רבים	_חו_ש_ב_נתן
פועל	עבר 	שלישי	זכר 	רבים	_חו_ש_ב_נו
פועל	עבר 	שלישי	נקבה	רבים	_חו_ש_ב_נו
פועל	הווה	ראשון	זכר 	יחיד	מ_חו_ש_ב_נ
פועל	הווה	ראשון	נקבה	יחיד	מ_חו_ש_ב_נת
פועל	הווה	שני 	זכר 	יחיד	מ_חו_ש_ב_נ
פועל	הווה	שני 	נקבה	יחיד	מ_חו_ש_ב_נת
פועל	הווה	שלישי	זכר 	יחיד	מ_חו_ש_ב_נ
פועל	הווה	שלישי	נקבה	יחיד	מ_חו_ש_ב_נת
פועל	הווה	ראשון	זכר 	רבים	מ_חו_ש_ב_נים
פועל	הווה	ראשון	נקבה	רבים	מ_חו_ש_ב_נות
פועל	הווה	שני 	זכר 	רבים	מ_חו_ש_ב_נים
פועל	הווה	שני 	נקבה	רבים	מ_חו_ש_ב_נות
פועל	הווה	שלישי	זכר 	רבים	מ_חו_ש_ב_נים
פועל	הווה	שלישי	נקבה	רבים	מ_חו_ש_ב_נות
פועל	עתיד	ראשון	זכר 	יחיד	א_חו_ש_ב_נ
פועל	עתיד	ראשון	נקבה	יחיד	א_חו_ש_ב_נ
פועל	עתיד	שני 	זכר 	יחיד	ת_חו_ש_ב_נ
פועל	עתיד	שני 	נקבה	יחיד	ת_חו_ש_ב_ני
פועל	עתיד	שלישי	זכר 	יחיד	י_חו_ש_ב_נ
פועל	עתיד	שלישי	נקבה	יחיד	ת_חו_ש_ב_נ
פועל	עתיד	ראשון	זכר 	רבים	נ_חו_ש_ב_נ
פועל	עתיד	ראשון	נקבה	רבים	נ_חו_ש_ב_נ
פועל	עתיד	שני 	זכר 	רבים	ת_חו_ש_ב_נו
פועל	עתיד	שני 	נקבה	רבים	ת_חו_ש_ב_ננה
פועל	עתיד	שלישי	זכר 	רבים	י_חו_ש_ב_נו
פועל	עתיד	שלישי	נקבה	רבים	ת_חו_ש_ב_ננה
התפעל	עבר 	ראשון	זכר 	יחיד	הת_ח_ש_ב_נתי
התפעל	עבר 	ראשון	נקבה	יחיד	הת_ח_ש_ב_נתי
התפעל	עבר 	שני 	זכר 	יחיד	הת_ח_ש_ב_נת
התפעל	עבר 	שני 	נקבה	יחיד	הת_ח_ש_ב_נת
התפעל	עבר 	שלישי	זכר 	יחיד	הת_ח_ש_ב_נ
התפעל	עבר 	שלישי	נקבה	יחיד	הת_ח_ש_ב_נה
התפעל	עבר 	ראשון	זכר 	רבים	הת_ח_ש_ב_ננו
התפעל	עבר 	ראשון	נקבה	רבים	הת_ח_ש_ב_ננו
התפעל	עבר 	שני 	זכר 	רבים	הת_ח_ש_ב_נתם
התפעל	עבר 	שני 	נקבה	רבים	הת_ח_ש_ב_נתן
התפעל	עבר 	שלישי	זכר 	רבים	הת_ח_ש_ב_נו
התפעל	עבר 	שלישי	נקבה	רבים	הת_ח_ש_ב_נו
התפעל	הווה	ראשון	זכר 	יחיד	מת_ח_ש_ב_נ
התפעל	הווה	ראשון	נקבה	יחיד	מת_ח_ש_ב_נת
התפעל	הווה	שני 	זכר 	יחיד	מת_ח_ש_ב_נ
התפעל	הווה	שני 	נקבה	יחיד	מת_ח_ש_ב_נת
התפעל	הווה	שלישי	זכר 	יחיד	מת_ח_ש_ב_נ
התפעל	הווה	שלישי	נקבה	יחיד	מת_ח_ש_ב_נת
התפעל	הווה	ראשון	זכר 	רבים	מת_ח_ש_ב_נים
התפעל	הווה	ראשון	נקבה	רבים	מת_ח_ש_ב_נות
התפעל	הווה	שני 	זכר 	רבים	מת_ח_ש_ב_נים
התפעל	הווה	שני 	נקבה	רבים	מת_ח_ש_ב_נות
התפעל	הווה	שלישי	זכר 	רבים	מת_ח_ש_ב_נים
התפעל	הווה	שלישי	נקבה	רבים	מת_ח_ש_ב_נות
התפעל	עתיד	ראשון	זכר 	יחיד	את_ח_ש_ב_נ
התפעל	עתיד	ראשון	נקבה	יחיד	את_ח_ש_ב_נ
התפעל	עתיד	שני 	זכר 	יחיד	תת_ח_ש_ב_נ
התפעל	עתיד	שני 	נקבה	יחיד	תת_ח_ש_ב_ני
התפעל	עתיד	שלישי	זכר 	יחיד	ית_ח_ש_ב_נ
התפעל	עתיד	שלישי	נקבה	יחיד	תת_ח_ש_ב_נ
התפעל	עתיד	ראשון	זכר 	רבים	נת_ח_ש_ב_נ
התפעל	עתיד	ראשון	נקבה	רבים	נת_ח_ש_ב_נ
התפעל	עתיד	שני 	זכר 	רבים	תת_ח_ש_ב_נו
התפעל	עתיד	שני 	נקבה	רבים	תת_ח_ש_ב_נה
התפעל	עתיד	שלישי	זכר 	רבים	ית_ח_ש_ב_נו
התפעל	עתיד	שלישי	נקבה	רבים	תת_ח_ש_ב_נה
התפעל	ציווי	שני 	זכר 	יחיד	הת_ח_ש_ב_נ
התפעל	ציווי	שני 	נקבה	יחיד	הת_ח_ש_ב_ני
התפעל	ציווי	שני 	זכר 	רבים	הת_ח_ש_ב_נו
התפעל	ציווי	שני 	נקבה	רבים	הת_ח_ש_ב_נה
