פיעל	עבר 	ראשון	זכר 	יחיד	_ט_ר_פ_דתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_ט_ר_פ_דתי_
פיעל	עבר 	שלישי	זכר 	יחיד	_ט_ר_פ_ד_
פיעל	עבר 	שלישי	נקבה	יחיד	_ט_ר_פ_דה_
פיעל	עבר 	ראשון	זכר 	רבים	_ט_ר_פ_דנו_
פיעל	עבר 	ראשון	נקבה	רבים	_ט_ר_פ_דנו_
פיעל	עבר 	ראשון	זכר 	יחיד	_טי_ר_פ_דתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_טי_ר_פ_דתי_
פיעל	עבר 	שני 	זכר 	יחיד	_טי_ר_פ_דת_
פיעל	עבר 	שני 	נקבה	יחיד	_טי_ר_פ_דת_
פיעל	עבר 	שלישי	זכר 	יחיד	_טי_ר_פ_ד_
פיעל	עבר 	שלישי	נקבה	יחיד	_טי_ר_פ_דה_
פיעל	עבר 	שני 	זכר 	יחיד	_טי_ר_פ_דת_
פיעל	עבר 	שני 	נקבה	יחיד	_טי_ר_פ_דת_
פיעל	עבר 	שני 	זכר 	רבים	_ט_ר_פ_דתם_
פיעל	עבר 	שני 	נקבה	רבים	_ט_ר_פ_דתן_
פיעל	עבר 	שלישי	זכר 	רבים	_ט_ר_פ_דו_
פיעל	עבר 	שלישי	נקבה	רבים	_ט_ר_פ_דו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_ט_ר_פ_ד_
פיעל	הווה	ראשון	נקבה	יחיד	מ_ט_ר_פ_דת_
פיעל	הווה	שני 	זכר 	יחיד	מ_ט_ר_פ_ד_
פיעל	הווה	שני 	נקבה	יחיד	מ_ט_ר_פ_דת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_ט_ר_פ_ד_
פיעל	הווה	שלישי	נקבה	יחיד	מ_ט_ר_פ_דת_
פיעל	הווה	ראשון	זכר 	רבים	מ_ט_ר_פ_דים_
פיעל	הווה	ראשון	נקבה	רבים	מ_ט_ר_פ_דות_
פיעל	הווה	שני 	זכר 	רבים	מ_ט_ר_פ_דים_
פיעל	הווה	שני 	נקבה	רבים	מ_ט_ר_פ_דות_
פיעל	הווה	שלישי	זכר 	רבים	מ_ט_ר_פ_דים_
פיעל	הווה	שלישי	נקבה	רבים	מ_ט_ר_פ_דות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_ט_ר_פ_ד_
פיעל	עתיד	ראשון	נקבה	יחיד	א_ט_ר_פ_ד_
פיעל	עתיד	שני 	זכר 	יחיד	ת_ט_ר_פ_ד_
פיעל	עתיד	שני 	נקבה	יחיד	ת_ט_ר_פ_די_
פיעל	עתיד	שלישי	זכר 	יחיד	י_ט_ר_פ_ד_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ט_ר_פ_ד_
פיעל	עתיד	ראשון	זכר 	רבים	נ_ט_ר_פ_ד_
פיעל	עתיד	ראשון	נקבה	רבים	נ_ט_ר_פ_ד_
פיעל	עתיד	שני 	זכר 	רבים	ת_ט_ר_פ_דו_
פיעל	עתיד	שני 	נקבה	רבים	ת_ט_ר_פ_דנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_ט_ר_פ_דו_
