פיעל	עבר 	ראשון	זכר 	יחיד	_ז_מ_ב_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_ז_מ_ב_רתי_
פיעל	עבר 	שלישי	זכר 	יחיד	_ז_מ_ב_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_ז_מ_ב_רה_
פיעל	עבר 	ראשון	זכר 	רבים	_ז_מ_ב_רנו_
פיעל	עבר 	ראשון	נקבה	רבים	_ז_מ_ב_רנו_
פיעל	עבר 	ראשון	זכר 	יחיד	_זי_מ_ב_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_זי_מ_ב_רתי_
פיעל	עבר 	שני 	זכר 	יחיד	_זי_מ_ב_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_זי_מ_ב_רת_
פיעל	עבר 	שלישי	זכר 	יחיד	_זי_מ_ב_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_זי_מ_ב_רה_
פיעל	עבר 	שני 	זכר 	יחיד	_זי_מ_ב_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_זי_מ_ב_רת_
פיעל	עבר 	שני 	זכר 	רבים	_ז_מ_ב_רתם_
פיעל	עבר 	שני 	נקבה	רבים	_ז_מ_ב_רתן_
פיעל	עבר 	שלישי	זכר 	רבים	_ז_מ_ב_רו_
פיעל	עבר 	שלישי	נקבה	רבים	_ז_מ_ב_רו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_ז_מ_ב_ר_
פיעל	הווה	ראשון	נקבה	יחיד	מ_ז_מ_ב_רת_
פיעל	הווה	שני 	זכר 	יחיד	מ_ז_מ_ב_ר_
פיעל	הווה	שני 	נקבה	יחיד	מ_ז_מ_ב_רת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_ז_מ_ב_ר_
פיעל	הווה	שלישי	נקבה	יחיד	מ_ז_מ_ב_רת_
פיעל	הווה	ראשון	זכר 	רבים	מ_ז_מ_ב_רים_
פיעל	הווה	ראשון	נקבה	רבים	מ_ז_מ_ב_רות_
פיעל	הווה	שני 	זכר 	רבים	מ_ז_מ_ב_רים_
פיעל	הווה	שני 	נקבה	רבים	מ_ז_מ_ב_רות_
פיעל	הווה	שלישי	זכר 	רבים	מ_ז_מ_ב_רים_
פיעל	הווה	שלישי	נקבה	רבים	מ_ז_מ_ב_רות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_ז_מ_ב_ר_
פיעל	עתיד	ראשון	נקבה	יחיד	א_ז_מ_ב_ר_
פיעל	עתיד	שני 	זכר 	יחיד	ת_ז_מ_ב_ר_
פיעל	עתיד	שני 	נקבה	יחיד	ת_ז_מ_ב_רי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_ז_מ_ב_ר_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ז_מ_ב_ר_
פיעל	עתיד	ראשון	זכר 	רבים	נ_ז_מ_ב_ר_
פיעל	עתיד	ראשון	נקבה	רבים	נ_ז_מ_ב_ר_
פיעל	עתיד	שני 	זכר 	רבים	ת_ז_מ_ב_רו_
פיעל	עתיד	שני 	נקבה	רבים	ת_ז_מ_ב_רנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_ז_מ_ב_רו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_ז_מ_ב_רנה_
פיעל	ציווי	שני 	זכר 	יחיד	_ז_מ_ב_ר_
פיעל	ציווי	שני 	נקבה	יחיד	_ז_מ_ב_רי_
פיעל	ציווי	שני 	זכר 	רבים	_ז_מ_ב_רו_
פיעל	ציווי	שני 	נקבה	רבים	_ז_מ_ב_רנה_
פועל	עבר 	ראשון	זכר 	יחיד	_זו_מ_ב_רתי_
פועל	עבר 	ראשון	נקבה	יחיד	_זו_מ_ב_רתי_
פועל	עבר 	שני 	זכר 	יחיד	_זו_מ_ב_רת_
פועל	עבר 	שני 	נקבה	יחיד	_זו_מ_ב_רת_
פועל	עבר 	שלישי	זכר 	יחיד	_זו_מ_ב_ר_
פועל	עבר 	שלישי	נקבה	יחיד	_זו_מ_ב_רה_
פועל	עבר 	ראשון	זכר 	רבים	_זו_מ_ב_רנו_
פועל	עבר 	ראשון	נקבה	רבים	_זו_מ_ב_רנו_
פועל	עבר 	שני 	זכר 	רבים	_זו_מ_ב_רתם_
פועל	עבר 	שני 	נקבה	רבים	_זו_מ_ב_רתן_
