פיעל	עבר 	ראשון	זכר 	יחיד	_צ_נ_ת_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_צ_נ_ת_רתי_
פיעל	עבר 	שלישי	זכר 	יחיד	_צ_נ_ת_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_צ_נ_ת_רה_
פיעל	עבר 	ראשון	זכר 	רבים	_צ_נ_ת_רנו_
פיעל	עבר 	ראשון	נקבה	רבים	_צ_נ_ת_רנו_
פיעל	עבר 	ראשון	זכר 	יחיד	_צי_נ_ת_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_צי_נ_ת_רתי_
פיעל	עבר 	שני 	זכר 	יחיד	_צי_נ_ת_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_צי_נ_ת_רת_
פיעל	עבר 	שלישי	זכר 	יחיד	_צי_נ_ת_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_צי_נ_ת_רה_
פיעל	עבר 	שני 	זכר 	יחיד	_צי_נ_ת_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_צי_נ_ת_רת_
פיעל	עבר 	שני 	זכר 	רבים	_צ_נ_ת_רתם_
פיעל	עבר 	שני 	נקבה	רבים	_צ_נ_ת_רתן_
פיעל	עבר 	שלישי	זכר 	רבים	_צ_נ_ת_רו_
פיעל	עבר 	שלישי	נקבה	רבים	_צ_נ_ת_רו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_צ_נ_ת_ר_
פיעל	הווה	ראשון	נקבה	יחיד	מ_צ_נ_ת_רת_
פיעל	הווה	שני 	זכר 	יחיד	מ_צ_נ_ת_ר_
פיעל	הווה	שני 	נקבה	יחיד	מ_צ_נ_ת_רת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_צ_נ_ת_ר_
פיעל	הווה	שלישי	נקבה	יחיד	מ_צ_נ_ת_רת_
פיעל	הווה	ראשון	זכר 	רבים	מ_צ_נ_ת_רים_
פיעל	הווה	ראשון	נקבה	רבים	מ_צ_נ_ת_רות_
פיעל	הווה	שני 	זכר 	רבים	מ_צ_נ_ת_רים_
פיעל	הווה	שני 	נקבה	רבים	מ_צ_נ_ת_רות_
פיעל	הווה	שלישי	זכר 	רבים	מ_צ_נ_ת_רים_
פיעל	הווה	שלישי	נקבה	רבים	מ_צ_נ_ת_רות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_צ_נ_ת_ר_
פיעל	עתיד	ראשון	נקבה	יחיד	א_צ_נ_ת_ר_
פיעל	עתיד	שני 	זכר 	יחיד	ת_צ_נ_ת_ר_
פיעל	עתיד	שני 	נקבה	יחיד	ת_צ_נ_ת_רי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_צ_נ_ת_ר_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_צ_נ_ת_ר_
פיעל	עתיד	ראשון	זכר 	רבים	נ_צ_נ_ת_ר_
פיעל	עתיד	ראשון	נקבה	רבים	נ_צ_נ_ת_ר_
פיעל	עתיד	שני 	זכר 	רבים	ת_צ_נ_ת_רו_
פיעל	עתיד	שני 	נקבה	רבים	ת_צ_נ_ת_רנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_צ_נ_ת_רו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_צ_נ_ת_רנה_
פיעל	ציווי	שני 	זכר 	יחיד	_צ_נ_ת_ר_
פיעל	ציווי	שני 	נקבה	יחיד	_צ_נ_ת_רי_
פיעל	ציווי	שני 	זכר 	רבים	_צ_נ_ת_רו_
פיעל	ציווי	שני 	נקבה	רבים	_צ_נ_ת_רנה_
פועל	עבר 	ראשון	זכר 	יחיד	_צו_נ_ת_רתי_
פועל	עבר 	ראשון	נקבה	יחיד	_צו_נ_ת_רתי_
פועל	עבר 	שני 	זכר 	יחיד	_צו_נ_ת_רת_
פועל	עבר 	שני 	נקבה	יחיד	_צו_נ_ת_רת_
פועל	עבר 	שלישי	זכר 	יחיד	_צו_נ_ת_ר_
פועל	עבר 	שלישי	נקבה	יחיד	_צו_נ_ת_רה_
פועל	עבר 	ראשון	זכר 	רבים	_צו_נ_ת_רנו_
פועל	עבר 	ראשון	נקבה	רבים	_צו_נ_ת_רנו_
פועל	עבר 	שני 	זכר 	רבים	_צו_נ_ת_רתם_
פועל	עבר 	שני 	נקבה	רבים	_צו_נ_ת_רתן_
פועל	עבר 	שלישי	זכר 	רבים	_צו_נ_ת_רו_
