פיעל	עבר 	ראשון	זכר 	יחיד	_ש_ח_ז_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_ש_ח_ז_רתי_
פיעל	עבר 	שלישי	זכר 	יחיד	_ש_ח_ז_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_ש_ח_ז_רה_
פיעל	עבר 	ראשון	זכר 	רבים	_ש_ח_ז_רנו_
פיעל	עבר 	ראשון	נקבה	רבים	_ש_ח_ז_רנו_
פיעל	עבר 	ראשון	זכר 	יחיד	_שי_ח_ז_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_שי_ח_ז_רתי_
פיעל	עבר 	שני 	זכר 	יחיד	_שי_ח_ז_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_שי_ח_ז_רת_
פיעל	עבר 	שלישי	זכר 	יחיד	_שי_ח_ז_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_שי_ח_ז_רה_
פיעל	עבר 	שני 	זכר 	יחיד	_שי_ח_ז_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_שי_ח_ז_רת_
פיעל	עבר 	שני 	זכר 	רבים	_ש_ח_ז_רתם_
פיעל	עבר 	שני 	נקבה	רבים	_ש_ח_ז_רתן_
פיעל	עבר 	שלישי	זכר 	רבים	_ש_ח_ז_רו_
פיעל	עבר 	שלישי	נקבה	רבים	_ש_ח_ז_רו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_ש_ח_ז_ר_
פיעל	הווה	ראשון	נקבה	יחיד	מ_ש_ח_ז_רת_
פיעל	הווה	שני 	זכר 	יחיד	מ_ש_ח_ז_ר_
פיעל	הווה	שני 	נקבה	יחיד	מ_ש_ח_ז_רת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_ש_ח_ז_ר_
פיעל	הווה	שלישי	נקבה	יחיד	מ_ש_ח_ז_רת_
פיעל	הווה	ראשון	זכר 	רבים	מ_ש_ח_ז_רים_
פיעל	הווה	ראשון	נקבה	רבים	מ_ש_ח_ז_רות_
פיעל	הווה	שני 	זכר 	רבים	מ_ש_ח_ז_רים_
פיעל	הווה	שני 	נקבה	רבים	מ_ש_ח_ז_רות_
פיעל	הווה	שלישי	זכר 	רבים	מ_ש_ח_ז_רים_
פיעל	הווה	שלישי	נקבה	רבים	מ_ש_ח_ז_רות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_ש_ח_ז_ר_
פיעל	עתיד	ראשון	נקבה	יחיד	א_ש_ח_ז_ר_
פיעל	עתיד	שני 	זכר 	יחיד	ת_ש_ח_ז_ר_
פיעל	עתיד	שני 	נקבה	יחיד	ת_ש_ח_ז_רי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_ש_ח_ז_ר_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ש_ח_ז_ר_
פיעל	עתיד	ראשון	זכר 	רבים	נ_ש_ח_ז_ר_
פיעל	עתיד	ראשון	נקבה	רבים	נ_ש_ח_ז_ר_
פיעל	עתיד	שני 	זכר 	רבים	ת_ש_ח_ז_רו_
פיעל	עתיד	שני 	נקבה	רבים	ת_ש_ח_ז_רנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_ש_ח_ז_רו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_ש_ח_ז_רנה_
פיעל	ציווי	שני 	זכר 	יחיד	_ש_ח_ז_ר_
פיעל	ציווי	שני 	נקבה	יחיד	_ש_ח_ז_רי_
פיעל	ציווי	שני 	זכר 	רבים	_ש_ח_ז_רו_
פיעל	ציווי	שני 	נקבה	רבים	_ש_ח_ז_רנה_
פועל	עבר 	ראשון	זכר 	יחיד	_שו_ח_ז_רתי_
פועל	עבר 	ראשון	נקבה	יחיד	_שו_ח_ז_רתי_
פועל	עבר 	שני 	זכר 	יחיד	_שו_ח_ז_רת_
פועל	עבר 	שני 	נקבה	יחיד	_שו_ח_ז_רת_
פועל	עבר 	שלישי	זכר 	יחיד	_שו_ח_ז_ר_
פועל	עבר 	שלישי	נקבה	יחיד	_שו_ח_ז_רה_
פועל	עבר 	ראשון	זכר 	רבים	_שו_ח_ז_רנו_
פועל	עבר 	ראשון	נקבה	רבים	_שו_ח_ז_רנו_
