פיעל	עבר 	ראשון	זכר 	יחיד	_ת_ח_ק_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_ת_ח_ק_רתי_
פיעל	עבר 	שלישי	זכר 	יחיד	_ת_ח_ק_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_ת_ח_ק_רה_
פיעל	עבר 	ראשון	זכר 	רבים	_ת_ח_ק_רנו_
פיעל	עבר 	ראשון	נקבה	רבים	_ת_ח_ק_רנו_
פיעל	עבר 	ראשון	זכר 	יחיד	_תי_ח_ק_רתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_תי_ח_ק_רתי_
פיעל	עבר 	שני 	זכר 	יחיד	_תי_ח_ק_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_תי_ח_ק_רת_
פיעל	עבר 	שלישי	זכר 	יחיד	_תי_ח_ק_ר_
פיעל	עבר 	שלישי	נקבה	יחיד	_תי_ח_ק_רה_
פיעל	עבר 	שני 	זכר 	יחיד	_תי_ח_ק_רת_
פיעל	עבר 	שני 	נקבה	יחיד	_תי_ח_ק_רת_
פיעל	עבר 	שני 	זכר 	רבים	_ת_ח_ק_רתם_
פיעל	עבר 	שני 	נקבה	רבים	_ת_ח_ק_רתן_
פיעל	עבר 	שלישי	זכר 	רבים	_ת_ח_ק_רו_
פיעל	עבר 	שלישי	נקבה	רבים	_ת_ח_ק_רו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_ת_ח_ק_ר_
פיעל	הווה	ראשון	נקבה	יחיד	מ_ת_ח_ק_רת_
פיעל	הווה	שני 	זכר 	יחיד	מ_ת_ח_ק_ר_
פיעל	הווה	שני 	נקבה	יחיד	מ_ת_ח_ק_רת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_ת_ח_ק_ר_
פיעל	הווה	שלישי	נקבה	יחיד	מ_ת_ח_ק_רת_
פיעל	הווה	ראשון	זכר 	רבים	מ_ת_ח_ק_רים_
פיעל	הווה	ראשון	נקבה	רבים	מ_ת_ח_ק_רות_
פיעל	הווה	שני 	זכר 	רבים	מ_ת_ח_ק_רים_
פיעל	הווה	שני 	נקבה	רבים	מ_ת_ח_ק_רות_
פיעל	הווה	שלישי	זכר 	רבים	מ_ת_ח_ק_רים_
פיעל	הווה	שלישי	נקבה	רבים	מ_ת_ח_ק_רות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_ת_ח_ק_ר_
פיעל	עתיד	ראשון	נקבה	יחיד	א_ת_ח_ק_ר_
פיעל	עתיד	שני 	זכר 	יחיד	ת_ת_ח_ק_ר_
פיעל	עתיד	שני 	נקבה	יחיד	ת_ת_ח_ק_רי_
פיעל	עתיד	שלישי	זכר 	יחיד	י_ת_ח_ק_ר_
פיעל	עתיד	שלישי	נקבה	יחיד	ת_ת_ח_ק_ר_
פיעל	עתיד	ראשון	זכר 	רבים	נ_ת_ח_ק_ר_
פיעל	עתיד	ראשון	נקבה	רבים	נ_ת_ח_ק_ר_
פיעל	עתיד	שני 	זכר 	רבים	ת_ת_ח_ק_רו_
פיעל	עתיד	שני 	נקבה	רבים	ת_ת_ח_ק_רנה_
פיעל	עתיד	שלישי	זכר 	רבים	י_ת_ח_ק_רו_
פיעל	עתיד	שלישי	נקבה	רבים	ת_ת_ח_ק_רנה_
פיעל	ציווי	שני 	זכר 	יחיד	_ת_ח_ק_ר_
פיעל	ציווי	שני 	נקבה	יחיד	_ת_ח_ק_רי_
פיעל	ציווי	שני 	זכר 	רבים	_ת_ח_ק_רו_
פיעל	ציווי	שני 	נקבה	רבים	_ת_ח_ק_רנה_
פועל	עבר 	ראשון	זכר 	יחיד	_תו_ח_ק_רתי_
פועל	עבר 	ראשון	נקבה	יחיד	_תו_ח_ק_רתי_
פועל	עבר 	שני 	זכר 	יחיד	_תו_ח_ק_רת_
פועל	עבר 	שני 	נקבה	יחיד	_תו_ח_ק_רת_
פועל	עבר 	שלישי	זכר 	יחיד	_תו_ח_ק_ר_
פועל	עבר 	שלישי	נקבה	יחיד	_תו_ח_ק_רה_
פועל	עבר 	ראשון	זכר 	רבים	_תו_ח_ק_רנו_
פועל	עבר 	ראשון	נקבה	רבים	_תו_ח_ק_רנו_
פועל	עבר 	שני 	זכר 	רבים	_תו_ח_ק_רתם_
פועל	עבר 	שני 	נקבה	רבים	_תו_ח_ק_רתן_
פועל	עבר 	שלישי	זכר 	רבים	_תו_ח_ק_רו_
פועל	עבר 	שלישי	נקבה	רבים	_תו_ח_ק_רו_
פועל	הווה	ראשון	זכר 	יחיד	מ_תו_ח_ק_ר_
פועל	הווה	ראשון	נקבה	יחיד	מ_תו_ח_ק_רת_
פועל	הווה	שני 	זכר 	יחיד	מ_תו_ח_ק_ר_
פועל	הווה	שני 	נקבה	יחיד	מ_תו_ח_ק_רת_
פועל	הווה	שלישי	זכר 	יחיד	מ_תו_ח_ק_ר_
פועל	הווה	שלישי	נקבה	יחיד	מ_תו_ח_ק_רת_
פועל	הווה	ראשון	זכר 	רבים	מ_תו_ח_ק_רים_
פועל	הווה	ראשון	נקבה	רבים	מ_תו_ח_ק_רות_
פועל	הווה	שני 	זכר 	רבים	מ_תו_ח_ק_רים_
פועל	הווה	שני 	נקבה	רבים	מ_תו_ח_ק_רות_
פועל	הווה	שלישי	זכר 	רבים	מ_תו_ח_ק_רים_
פועל	הווה	שלישי	נקבה	רבים	מ_תו_ח_ק_רות_
פועל	עתיד	ראשון	זכר 	יחיד	א_תו_ח_ק_ר_
פועל	עתיד	ראשון	נקבה	יחיד	א_תו_ח_ק_ר_
פועל	עתיד	שני 	זכר 	יחיד	ת_תו_ח_ק_ר_
פועל	עתיד	שני 	נקבה	יחיד	ת_תו_ח_ק_רי_
פועל	עתיד	שלישי	זכר 	יחיד	י_תו_ח_ק_ר_
פועל	עתיד	שלישי	נקבה	יחיד	ת_תו_ח_ק_ר_
פועל	עתיד	ראשון	זכר 	רבים	נ_תו_ח_ק_ר_
פועל	עתיד	ראשון	נקבה	רבים	נ_תו_ח_ק_ר_
פועל	עתיד	שני 	זכר 	רבים	ת_תו_ח_ק_רו_
פועל	עתיד	שני 	נקבה	רבים	ת_תו_ח_ק_רנה_
פועל	עתיד	שלישי	זכר 	רבים	י_תו_ח_ק_רו_
פועל	עתיד	שלישי	נקבה	רבים	ת_תו_ח_ק_רנה_
התפעל	עבר 	ראשון	זכר 	יחיד	ה_ת_ח_ק_רתי_
התפעל	עבר 	ראשון	נקבה	יחיד	ה_ת_ח_ק_רתי_
התפעל	עבר 	שני 	זכר 	יחיד	ה_ת_ח_ק_רת_
התפעל	עבר 	שני 	נקבה	יחיד	ה_ת_ח_ק_רת_
התפעל	עבר 	שלישי	זכר 	יחיד	ה_ת_ח_ק_ר_
התפעל	עבר 	שלישי	נקבה	יחיד	ה_ת_ח_ק_רה_
התפעל	עבר 	ראשון	זכר 	רבים	ה_ת_ח_ק_רנו_
התפעל	עבר 	ראשון	נקבה	רבים	ה_ת_ח_ק_רנו_
התפעל	עבר 	שני 	זכר 	רבים	ה_ת_ח_ק_רתם_
התפעל	עבר 	שני 	נקבה	רבים	ה_ת_ח_ק_רתן_
התפעל	עבר 	שלישי	זכר 	רבים	ה_ת_ח_ק_רו_
התפעל	עבר 	שלישי	נקבה	רבים	ה_ת_ח_ק_רו_
התפעל	הווה	ראשון	זכר 	יחיד	מ_ת_ח_ק_ר_
התפעל	הווה	ראשון	נקבה	יחיד	מ_ת_ח_ק_רת_
התפעל	הווה	שני 	זכר 	יחיד	מ_ת_ח_ק_ר_
התפעל	הווה	שני 	נקבה	יחיד	מ_ת_ח_ק_רת_
התפעל	הווה	שלישי	זכר 	יחיד	מ_ת_ח_ק_ר_
התפעל	הווה	שלישי	נקבה	יחיד	מ_ת_ח_ק_רת_
התפעל	הווה	ראשון	זכר 	רבים	מ_ת_ח_ק_רים_
התפעל	הווה	ראשון	נקבה	רבים	מ_ת_ח_ק_רות_
התפעל	הווה	שני 	זכר 	רבים	מ_ת_ח_ק_רים_
התפעל	הווה	שני 	נקבה	רבים	מ_ת_ח_ק_רות_
התפעל	הווה	שלישי	זכר 	רבים	מ_ת_ח_ק_רים_
התפעל	הווה	שלישי	נקבה	רבים	מ_ת_ח_ק_רות_
התפעל	עתיד	ראשון	זכר 	יחיד	א_ת_ח_ק_ר_
התפעל	עתיד	ראשון	נקבה	יחיד	א_ת_ח_ק_ר_
התפעל	עתיד	שני 	זכר 	יחיד	ת_ת_ח_ק_ר_
התפעל	עתיד	שני 	נקבה	יחיד	ת_ת_ח_ק_רי_
התפעל	עתיד	שני 	זכר 	יחיד	ת_ת_ח_ק_ר_
התפעל	עתיד	שני 	נקבה	יחיד	ת_ת_ח_ק_רי_
התפעל	עתיד	שלישי	זכר 	יחיד	י_ת_ח_ק_ר_
התפעל	עתיד	שלישי	נקבה	יחיד	ת_ת_ח_ק_ר_
התפעל	עתיד	שלישי	נקבה	יחיד	ת_ת_ח_ק_ר_
התפעל	עתיד	ראשון	זכר 	רבים	נ_ת_ח_ק_ר_
התפעל	עתיד	ראשון	נקבה	רבים	נ_ת_ח_ק_ר_
התפעל	עתיד	שני 	זכר 	רבים	ת_ת_ח_ק_רו_
התפעל	עתיד	שני 	נקבה	רבים	ת_ת_ח_ק_רנה_
התפעל	עתיד	שני 	זכר 	רבים	ת_ת_ח_ק_רו_
התפעל	עתיד	שני 	נקבה	רבים	ת_ת_ח_ק_רנה_
התפעל	עתיד	שלישי	זכר 	רבים	י_ת_ח_ק_רו_
התפעל	עתיד	שלישי	נקבה	רבים	ת_ת_ח_ק_רנה_
התפעל	עתיד	שלישי	נקבה	רבים	ת_ת_ח_ק_רנה_
התפעל	ציווי	שני 	זכר 	יחיד	ה_ת_ח_ק_ר_
התפעל	ציווי	שני 	נקבה	יחיד	ה_ת_ח_ק_רי_
התפעל	ציווי	שני 	זכר 	רבים	ה_ת_ח_ק_רו_
התפעל	ציווי	שני 	נקבה	רבים	ה_ת_ח_ק_רנה_
