פעל 	עבר 	ראשון	זכר 	יחיד	_ב_סתי_
פעל 	עבר 	ראשון	נקבה	יחיד	_ב_סתי_
פעל 	עבר 	שני 	זכר 	יחיד	_ב_סת_
פעל 	עבר 	שני 	נקבה	יחיד	_ב_סת_
פעל 	עבר 	שלישי	זכר 	יחיד	_ב_ס_
פעל 	עבר 	שלישי	נקבה	יחיד	_ב_סה_
פעל 	עבר 	ראשון	זכר 	רבים	_ב_סנו_
פעל 	עבר 	ראשון	נקבה	רבים	_ב_סנו_
פעל 	עבר 	שני 	זכר 	רבים	_ב_סתם_
פעל 	עבר 	שני 	נקבה	רבים	_ב_סתן_
פעל 	עבר 	שלישי	זכר 	רבים	_ב_סו_
פעל 	עבר 	שלישי	נקבה	רבים	_ב_סו_
פעל 	הווה	ראשון	זכר 	יחיד	_ב_ס_
פעל 	הווה	ראשון	נקבה	יחיד	_ב_סה_
פעל 	הווה	שני 	זכר 	יחיד	_ב_ס_
פעל 	הווה	שני 	נקבה	יחיד	_ב_סה_
פעל 	הווה	שלישי	זכר 	יחיד	_ב_ס_
פעל 	הווה	שלישי	נקבה	יחיד	_ב_סה_
פעל 	הווה	ראשון	זכר 	רבים	_ב_סים_
פעל 	הווה	ראשון	נקבה	רבים	_ב_סות_
פעל 	הווה	שני 	זכר 	רבים	_ב_סים_
פעל 	הווה	שני 	נקבה	רבים	_ב_סות_
פעל 	הווה	שלישי	זכר 	רבים	_ב_סים_
פעל 	הווה	שלישי	נקבה	רבים	_ב_סות_
פעל 	עתיד	ראשון	זכר 	יחיד	א_בו_ס_
פעל 	עתיד	ראשון	נקבה	יחיד	א_בו_ס_
פעל 	עתיד	שני 	זכר 	יחיד	ת_בו_ס_
פעל 	עתיד	שני 	נקבה	יחיד	ת_בו_סי_
פעל 	עתיד	שלישי	זכר 	יחיד	י_בו_ס_
פעל 	עתיד	שלישי	נקבה	יחיד	ת_בו_ס_
פעל 	עתיד	ראשון	זכר 	רבים	נ_בו_ס_
פעל 	עתיד	ראשון	נקבה	רבים	נ_בו_ס_
פעל 	עתיד	שני 	זכר 	רבים	ת_בו_סו_
פעל 	עתיד	שני 	נקבה	רבים	ת_בו_סנה_
פעל 	עתיד	שלישי	זכר 	רבים	י_בו_סו_
פעל 	עתיד	שלישי	נקבה	רבים	י_בו_סנה_
פעל 	ציווי	שני 	זכר 	יחיד	_בו_ס_
פעל 	ציווי	שני 	נקבה	יחיד	_בו_סי_
פעל 	ציווי	שני 	זכר 	רבים	_בו_סו_
פעל 	ציווי	שני 	נקבה	רבים	_בו_סנה_
נפעל 	עבר 	ראשון	זכר 	יחיד	נ_בו_סתי_
נפעל 	עבר 	ראשון	נקבה	יחיד	נ_בו_סתי_
נפעל 	עבר 	שני 	זכר 	יחיד	נ_בו_סת_
נפעל 	עבר 	שני 	נקבה	יחיד	נ_בו_סת_
נפעל 	עבר 	שלישי	זכר 	יחיד	נ_בו_ס_
נפעל 	עבר 	שלישי	נקבה	יחיד	נ_בו_סה_
נפעל 	עבר 	ראשון	זכר 	רבים	נ_בו_סו_
נפעל 	עבר 	ראשון	נקבה	רבים	נ_בו_סו_
נפעל 	עבר 	שני 	זכר 	רבים	נ_בו_סתם_
נפעל 	עבר 	שני 	נקבה	רבים	נ_בו_סתן_
נפעל 	עבר 	שלישי	זכר 	רבים	נ_בו_סו_
נפעל 	עבר 	שלישי	נקבה	רבים	נ_בו_סו_
נפעל 	הווה	ראשון	זכר 	יחיד	נ_בו_ס_
נפעל 	הווה	ראשון	נקבה	יחיד	נ_בו_סה_
נפעל 	הווה	שני 	זכר 	יחיד	נ_בו_ס_
נפעל 	הווה	שני 	נקבה	יחיד	נ_בו_סה_
נפעל 	הווה	שלישי	זכר 	יחיד	נ_בו_ס_
נפעל 	הווה	שלישי	נקבה	יחיד	נ_בו_סה_
נפעל 	הווה	ראשון	זכר 	רבים	נ_בו_סים_
נפעל 	הווה	ראשון	נקבה	רבים	נ_בו_סות_
נפעל 	הווה	שני 	זכר 	רבים	נ_בו_סים_
נפעל 	הווה	שני 	נקבה	רבים	נ_בו_סות_
נפעל 	הווה	שלישי	זכר 	רבים	נ_בו_סים_
נפעל 	הווה	שלישי	נקבה	רבים	נ_בו_סות_
נפעל 	עתיד	ראשון	זכר 	יחיד	א_בו_ס_
נפעל 	עתיד	ראשון	נקבה	יחיד	א_בו_ס_
נפעל 	עתיד	שני 	זכר 	יחיד	ת_בו_ס_
נפעל 	עתיד	שני 	נקבה	יחיד	ת_בו_סי_
נפעל 	עתיד	שלישי	זכר 	יחיד	י_בו_ס_
נפעל 	עתיד	שלישי	נקבה	יחיד	ת_בו_ס_
נפעל 	עתיד	ראשון	זכר 	רבים	נ_בו_ס_
נפעל 	עתיד	ראשון	נקבה	רבים	נ_בו_ס_
נפעל 	עתיד	שני 	זכר 	רבים	ת_בו_סו_
נפעל 	עתיד	שני 	נקבה	רבים	ת_בו_סנה_
נפעל 	עתיד	שלישי	זכר 	רבים	י_בו_סו_
נפעל 	עתיד	שלישי	נקבה	רבים	ת_בו_סנה_
נפעל 	ציווי	שני 	זכר 	יחיד	הי_בו_ס_
נפעל 	ציווי	שני 	נקבה	יחיד	הי_בו_סי_
נפעל 	ציווי	שני 	זכר 	רבים	הי_בו_סו_
נפעל 	ציווי	שני 	נקבה	רבים	הי_בו_סנה_
פיעל	עבר 	ראשון	זכר 	יחיד	_ביי_סתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_ביי_סתי_
