פעל 	עבר  	ראשון	זכר 	יחיד	_ק_ט_לתי_
פעל 	עבר  	ראשון	נקבה	יחיד	_ק_ט_לתי_
פעל 	עבר  	שני 	זכר 	יחיד	_ק_ט_לת_
פעל 	עבר  	שני 	נקבה	יחיד	_ק_ט_לת_
פעל 	עבר  	שלישי	זכר 	יחיד	_ק_ט_ל_
פעל 	עבר  	שלישי	נקבה	יחיד	_ק_ט_לה_
פעל 	עבר  	ראשון	זכר 	רבים	_ק_ט_לנו_
פעל 	עבר  	ראשון	נקבה	רבים	_ק_ט_לנו_
פעל 	עבר  	שני 	זכר 	רבים	_ק_ט_לתם_
פעל 	עבר  	שני 	נקבה	רבים	_ק_ט_לתן_
פעל 	עבר  	שלישי	זכר 	רבים	_ק_ט_לו_
פעל 	עבר  	שלישי	נקבה	רבים	_ק_ט_לו_
פעל 	הווה	ראשון	זכר 	יחיד	_קו_ט_ל_
פעל 	הווה	ראשון	נקבה	יחיד	_קו_ט_לת_
פעל 	הווה	שני 	זכר 	יחיד	_קו_ט_ל_
פעל 	הווה	שני 	נקבה	יחיד	_קו_ט_לת_
פעל 	הווה	שלישי	זכר 	יחיד	_קו_ט_ל_
פעל 	הווה	שלישי	נקבה	יחיד	_קו_ט_לת_
פעל 	הווה	ראשון	זכר 	רבים	_קו_ט_לים_
פעל 	הווה	ראשון	נקבה	רבים	_קו_ט_לות_
פעל 	הווה	שני 	זכר 	רבים	_קו_ט_לים_
פעל 	הווה	שני 	נקבה	רבים	_קו_ט_לות_
פעל 	הווה	שלישי	זכר 	רבים	_קו_ט_לים_
פעל 	הווה	שלישי	נקבה	רבים	_קו_ט_לות_
פעל 	עתיד	ראשון	זכר 	יחיד	א_ק_ט_ל_
פעל 	עתיד	ראשון	נקבה	יחיד	א_ק_ט_ל_
פעל 	עתיד	שני 	זכר 	יחיד	ת_ק_ט_ל_
פעל 	עתיד	שני 	נקבה	יחיד	ת_ק_ט_לי_
פעל 	עתיד	שלישי	זכר 	יחיד	י_ק_ט_ל_
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ק_ט_ל_
פעל 	עתיד	ראשון	זכר 	רבים	נ_ק_ט_ל_
פעל 	עתיד	ראשון	נקבה	רבים	נ_ק_ט_ל_
פעל 	עתיד	שני 	זכר 	רבים	ת_ק_ט_לו_
פעל 	עתיד	שני 	נקבה	רבים	ת_ק_ט_לנה_
פעל 	עתיד	שלישי	זכר 	רבים	י_ק_ט_לו_
פעל 	עתיד	שלישי	נקבה	רבים	ת_ק_ט_לנה_
פעל 	ציווי	שני 	זכר 	יחיד	_ק_טו_ל_
פעל 	ציווי	שני 	נקבה	יחיד	_קי_ט_לי_
פעל 	ציווי	שני 	זכר 	רבים	_קי_ט_לו_
פעל 	ציווי	שני 	נקבה	רבים	_ק_טו_לנה_
נפעל	עבר 	ראשון	זכר 	יחיד	נ_ק_ט_לתי_
נפעל	עבר 	ראשון	נקבה	יחיד	נ_ק_ט_לתי_
נפעל	עבר 	שני 	זכר 	יחיד	נ_ק_ט_לת_
נפעל	עבר 	שני 	נקבה	יחיד	נ_ק_ט_לת_
נפעל	עבר 	שלישי	זכר 	יחיד	נ_ק_ט_ל_
נפעל	עבר 	שלישי	נקבה	יחיד	נ_ק_ט_לת_
נפעל	עבר 	ראשון	זכר 	רבים	נ_ק_ט_לים_
נפעל	עבר 	ראשון	נקבה	רבים	נ_ק_ט_לים_
נפעל	עבר 	שני 	זכר 	רבים	נ_ק_ט_לים_
נפעל	עבר 	שני 	נקבה	רבים	נ_ק_ט_לות_
נפעל	עבר 	שלישי	זכר 	רבים	נ_ק_ט_לים_
נפעל	עבר 	שלישי	נקבה	רבים	נ_ק_ט_לים_
נפעל	הווה	ראשון	זכר 	יחיד	נ_ק_ט_ל_
נפעל	הווה	ראשון	נקבה	יחיד	נ_ק_ט_לת_
נפעל	הווה	שני 	זכר 	יחיד	נ_ק_ט_ל_
נפעל	הווה	שני 	נקבה	יחיד	נ_ק_ט_לת_
נפעל	הווה	שלישי	זכר 	יחיד	נ_ק_ט_ל_
נפעל	הווה	שלישי	נקבה	יחיד	נ_ק_ט_לת_
נפעל	הווה	ראשון	זכר 	רבים	נ_ק_ט_לים_
נפעל	הווה	ראשון	נקבה	רבים	נ_ק_ט_לות_
נפעל	הווה	שני 	זכר 	רבים	נ_ק_ט_לים_
נפעל	הווה	שני 	נקבה	רבים	נ_ק_ט_לות_
נפעל	הווה	שלישי	זכר 	רבים	נ_ק_ט_לים_
נפעל	הווה	שלישי	נקבה	רבים	נ_ק_ט_לות_
נפעל	עתיד	ראשון	זכר 	יחיד	א_ק_ט_ל_
נפעל	עתיד	ראשון	נקבה	יחיד	א_ק_ט_ל_
נפעל	עתיד	שני 	זכר 	יחיד	תי_ק_ט_ל_
נפעל	עתיד	שני 	נקבה	יחיד	תי_ק_ט_לי_
נפעל	עתיד	שלישי	זכר 	יחיד	יי_ק_ט_ל_
נפעל	עתיד	שלישי	נקבה	יחיד	תי_ק_ט_ל_
נפעל	עתיד	ראשון	זכר 	רבים	נ_ק_ט_ל_
נפעל	עתיד	ראשון	נקבה	רבים	נ_ק_ט_ל_
נפעל	עתיד	שני 	זכר 	רבים	תי_ק_ט_לו_
נפעל	עתיד	שני 	נקבה	רבים	תי_ק_ט_לנה_
נפעל	עתיד	שלישי	זכר 	רבים	יי_ק_ט_לו_
נפעל	עתיד	שלישי	נקבה	רבים	תי_ק_ט_לנה_
נפעל	ציווי	שני 	זכר 	יחיד	הי_ק_ט_ל_
נפעל	ציווי	שני 	נקבה	יחיד	ה_ק_ט_לי_
נפעל	ציווי	שני 	זכר 	רבים	ה_ק_ט_לו_
נפעל	ציווי	שני 	נקבה	רבים	ה_ק_ט_לנה_
פיעל	עבר 	ראשון	זכר 	יחיד	_קי_ט_לתי_
פיעל	עבר 	ראשון	נקבה	יחיד	_קי_ט_לתי_
פיעל	עבר 	שני 	זכר 	יחיד	_קי_ט_לת_
פיעל	עבר 	שני 	נקבה	יחיד	_קי_ט_לת_
פיעל	עבר 	שלישי	זכר 	יחיד	_קי_ט_ל_
פיעל	עבר 	שלישי	נקבה	יחיד	_קי_ט_לה_
פיעל	עבר 	ראשון	זכר 	רבים	_קי_ט_לנו_
פיעל	עבר 	ראשון	נקבה	רבים	_קי_ט_לנו_
פיעל	עבר 	שני 	זכר 	רבים	_קי_ט_לתם_
פיעל	עבר 	שני 	נקבה	רבים	_קי_ט_לתן_
פיעל	עבר 	שלישי	זכר 	רבים	_קי_ט_לו_
פיעל	עבר 	שלישי	נקבה	רבים	_קי_ט_לו_
פיעל	הווה	ראשון	זכר 	יחיד	מ_ק_ט_ל_
פיעל	הווה	ראשון	נקבה	יחיד	מ_ק_ט_לת_
פיעל	הווה	שני 	זכר 	יחיד	מ_ק_ט_ל_
פיעל	הווה	שני 	נקבה	יחיד	מ_ק_ט_לת_
פיעל	הווה	שלישי	זכר 	יחיד	מ_ק_ט_ל_
פיעל	הווה	שלישי	נקבה	יחיד	מ_ק_ט_לת_
פיעל	הווה	ראשון	זכר 	רבים	מ_ק_ט_לים_
פיעל	הווה	ראשון	נקבה	רבים	מ_ק_ט_לות_
פיעל	הווה	שני 	זכר 	רבים	מ_ק_ט_לים_
פיעל	הווה	שני 	נקבה	רבים	מ_ק_ט_לות_
פיעל	הווה	שלישי	זכר 	רבים	מ_ק_ט_לים_
פיעל	הווה	שלישי	נקבה	רבים	מ_ק_ט_לות_
פיעל	עתיד	ראשון	זכר 	יחיד	א_ק_ט_ל_
פיעל	עתיד	ראשון	נקבה	יחיד	א_ק_ט_ל_
פיעל	עתיד	שני 	זכר 	יחיד	ת_ק_ט_ל_
