פעל 	עבר  	ראשון	זכר 	יחיד	_ז_ק_רתי_
פעל 	עבר  	ראשון	נקבה	יחיד	_ז_ק_רתי_
פעל 	עבר  	שני 	זכר 	יחיד	_ז_ק_רת_
פעל 	עבר  	שני 	נקבה	יחיד	_ז_ק_רת_
פעל 	עבר  	שלישי	זכר 	יחיד	_ז_ק_ר_
פעל 	עבר  	שלישי	נקבה	יחיד	_ז_ק_רה_
פעל 	עבר  	ראשון	זכר 	רבים	_ז_ק_רנו_
פעל 	עבר  	ראשון	נקבה	רבים	_ז_ק_רנו_
פעל 	עבר  	שני 	זכר 	רבים	_ז_ק_רתם_
פעל 	עבר  	שני 	נקבה	רבים	_ז_ק_רתן_
פעל 	עבר  	שלישי	זכר 	רבים	_ז_ק_רו_
פעל 	עבר  	שלישי	נקבה	רבים	_ז_ק_רו_
פעל 	הווה	ראשון	זכר 	יחיד	_זו_ק_ר_
פעל 	הווה	ראשון	נקבה	יחיד	_זו_ק_רת_
פעל 	הווה	שני 	זכר 	יחיד	_זו_ק_ר_
פעל 	הווה	שני 	נקבה	יחיד	_זו_ק_רת_
פעל 	הווה	שלישי	זכר 	יחיד	_זו_ק_ר_
פעל 	הווה	שלישי	נקבה	יחיד	_זו_ק_רת_
פעל 	הווה	ראשון	זכר 	רבים	_זו_ק_רים_
פעל 	הווה	ראשון	נקבה	רבים	_זו_ק_רות_
פעל 	הווה	שני 	זכר 	רבים	_זו_ק_רים_
פעל 	הווה	שני 	נקבה	רבים	_זו_ק_רות_
פעל 	הווה	שלישי	זכר 	רבים	_זו_ק_רים_
פעל 	הווה	שלישי	נקבה	רבים	_זו_ק_רות_
פעל 	עתיד	ראשון	זכר 	יחיד	א_ז_ק_ר_
פעל 	עתיד	ראשון	נקבה	יחיד	א_ז_ק_ר_
פעל 	עתיד	שני 	זכר 	יחיד	ת_ז_ק_ר_
פעל 	עתיד	שני 	נקבה	יחיד	ת_ז_ק_רי_
פעל 	עתיד	שלישי	זכר 	יחיד	י_ז_ק_ר_
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ז_ק_ר_
פעל 	עתיד	ראשון	זכר 	רבים	נ_ז_ק_ר_
פעל 	עתיד	ראשון	נקבה	רבים	נ_ז_ק_ר_
פעל 	עתיד	שני 	זכר 	רבים	ת_ז_ק_רו_
פעל 	עתיד	שני 	נקבה	רבים	ת_ז_ק_רנה_
פעל 	עתיד	שלישי	זכר 	רבים	י_ז_ק_רו_
פעל 	עתיד	שלישי	נקבה	רבים	ת_ז_ק_רנה_
פעל 	ציווי	שני 	זכר 	יחיד	_ז_קו_ר_
פעל 	ציווי	שני 	נקבה	יחיד	_זי_ק_רי_
פעל 	ציווי	שני 	זכר 	רבים	_זי_ק_רו_
פעל 	ציווי	שני 	נקבה	רבים	_ז_קו_רנה_
נפעל	עבר 	ראשון	זכר 	יחיד	נ_ז_ק_רתי_
נפעל	עבר 	ראשון	נקבה	יחיד	נ_ז_ק_רתי_
נפעל	עבר 	שני 	זכר 	יחיד	נ_ז_ק_רת_
נפעל	עבר 	שני 	נקבה	יחיד	נ_ז_ק_רת_
נפעל	עבר 	שלישי	זכר 	יחיד	נ_ז_ק_ר_
נפעל	עבר 	שלישי	נקבה	יחיד	נ_ז_ק_רת_
נפעל	עבר 	ראשון	זכר 	רבים	נ_ז_ק_רים_
נפעל	עבר 	ראשון	נקבה	רבים	נ_ז_ק_רים_
נפעל	עבר 	שני 	זכר 	רבים	נ_ז_ק_רים_
נפעל	עבר 	שני 	נקבה	רבים	נ_ז_ק_רות_
נפעל	עבר 	שלישי	זכר 	רבים	נ_ז_ק_רים_
נפעל	עבר 	שלישי	נקבה	רבים	נ_ז_ק_רים_
נפעל	הווה	ראשון	זכר 	יחיד	נ_ז_ק_ר_
נפעל	הווה	ראשון	נקבה	יחיד	נ_ז_ק_רת_
נפעל	הווה	שני 	זכר 	יחיד	נ_ז_ק_ר_
נפעל	הווה	שני 	נקבה	יחיד	נ_ז_ק_רת_
נפעל	הווה	שלישי	זכר 	יחיד	נ_ז_ק_ר_
