פעל 	עבר  	ראשון	זכר 	יחיד	_צ_ל_מתי_
פעל 	עבר  	ראשון	נקבה	יחיד	_צ_ל_מתי_
פעל 	עבר  	שני 	זכר 	יחיד	_צ_ל_מת_
פעל 	עבר  	שני 	נקבה	יחיד	_צ_ל_מת_
פעל 	עבר  	שלישי	זכר 	יחיד	_צ_ל_מ_
פעל 	עבר  	שלישי	נקבה	יחיד	_צ_ל_מה_
פעל 	עבר  	ראשון	זכר 	רבים	_צ_ל_מנו_
פעל 	עבר  	ראשון	נקבה	רבים	_צ_ל_מנו_
פעל 	עבר  	שני 	זכר 	רבים	_צ_ל_מתם_
פעל 	עבר  	שני 	נקבה	רבים	_צ_ל_מתן_
פעל 	עבר  	שלישי	זכר 	רבים	_צ_ל_מו_
פעל 	עבר  	שלישי	נקבה	רבים	_צ_ל_מו_
פעל 	הווה	ראשון	זכר 	יחיד	_צו_ל_מ_
פעל 	הווה	ראשון	נקבה	יחיד	_צו_ל_מת_
פעל 	הווה	שני 	זכר 	יחיד	_צו_ל_מ_
פעל 	הווה	שני 	נקבה	יחיד	_צו_ל_מת_
פעל 	הווה	שלישי	זכר 	יחיד	_צו_ל_מ_
פעל 	הווה	שלישי	נקבה	יחיד	_צו_ל_מת_
פעל 	הווה	ראשון	זכר 	רבים	_צו_ל_מים_
פעל 	הווה	ראשון	נקבה	רבים	_צו_ל_מות_
פעל 	הווה	שני 	זכר 	רבים	_צו_ל_מים_
פעל 	הווה	שני 	נקבה	רבים	_צו_ל_מות_
פעל 	הווה	שלישי	זכר 	רבים	_צו_ל_מים_
פעל 	הווה	שלישי	נקבה	רבים	_צו_ל_מות_
פעל 	עתיד	ראשון	זכר 	יחיד	א_צ_ל_מ_
פעל 	עתיד	ראשון	נקבה	יחיד	א_צ_ל_מ_
פעל 	עתיד	שני 	זכר 	יחיד	ת_צ_ל_מ_
פעל 	עתיד	שני 	נקבה	יחיד	ת_צ_ל_מי_
פעל 	עתיד	שלישי	זכר 	יחיד	י_צ_ל_מ_
פעל 	עתיד	שלישי	נקבה	יחיד	ת_צ_ל_מ_
פעל 	עתיד	ראשון	זכר 	רבים	נ_צ_ל_מ_
פעל 	עתיד	ראשון	נקבה	רבים	נ_צ_ל_מ_
פעל 	עתיד	שני 	זכר 	רבים	ת_צ_ל_מו_
פעל 	עתיד	שני 	נקבה	רבים	ת_צ_ל_מנה_
פעל 	עתיד	שלישי	זכר 	רבים	י_צ_ל_מו_
פעל 	עתיד	שלישי	נקבה	רבים	ת_צ_ל_מנה_
פעל 	ציווי	שני 	זכר 	יחיד	_צ_לו_מ_
פעל 	ציווי	שני 	נקבה	יחיד	_צי_ל_מי_
פעל 	ציווי	שני 	זכר 	רבים	_צי_ל_מו_
פעל 	ציווי	שני 	נקבה	רבים	_צ_לו_מנה_
נפעל	עבר 	ראשון	זכר 	יחיד	נ_צ_ל_מתי_
נפעל	עבר 	ראשון	נקבה	יחיד	נ_צ_ל_מתי_
נפעל	עבר 	שני 	זכר 	יחיד	נ_צ_ל_מת_
נפעל	עבר 	שני 	נקבה	יחיד	נ_צ_ל_מת_
נפעל	עבר 	שלישי	זכר 	יחיד	נ_צ_ל_מ_
נפעל	עבר 	שלישי	נקבה	יחיד	נ_צ_ל_מת_
נפעל	עבר 	ראשון	זכר 	רבים	נ_צ_ל_מים_
נפעל	עבר 	ראשון	נקבה	רבים	נ_צ_ל_מים_
נפעל	עבר 	שני 	זכר 	רבים	נ_צ_ל_מים_
נפעל	עבר 	שני 	נקבה	רבים	נ_צ_ל_מות_
נפעל	עבר 	שלישי	זכר 	רבים	נ_צ_ל_מים_
