פעל 	עבר  	ראשון	זכר 	יחיד	_ס_ג_רתי
פעל 	עבר  	ראשון	נקבה	יחיד	_ס_ג_רתי
פעל 	עבר  	שני 	זכר 	יחיד	_ס_ג_רת
פעל 	עבר  	שני 	נקבה	יחיד	_ס_ג_רת
פעל 	עבר  	שלישי	זכר 	יחיד	_ס_ג_ר
פעל 	עבר  	שלישי	נקבה	יחיד	_ס_ג_רה
פעל 	עבר  	ראשון	זכר 	רבים	_ס_ג_רנו
פעל 	עבר  	ראשון	נקבה	רבים	_ס_ג_רנו
פעל 	עבר  	שני 	זכר 	רבים	_ס_ג_רתם
פעל 	עבר  	שני 	נקבה	רבים	_ס_ג_רתן
פעל 	עבר  	שלישי	זכר 	רבים	_ס_ג_רו
פעל 	עבר  	שלישי	נקבה	רבים	_ס_ג_רו
פעל 	הווה	ראשון	זכר 	יחיד	_סו_ג_ר
פעל 	הווה	ראשון	נקבה	יחיד	_סו_ג_רת
פעל 	הווה	שני 	זכר 	יחיד	_סו_ג_ר
פעל 	הווה	שני 	נקבה	יחיד	_סו_ג_רת
פעל 	הווה	שלישי	זכר 	יחיד	_סו_ג_ר
פעל 	הווה	שלישי	נקבה	יחיד	_סו_ג_רת
פעל 	הווה	ראשון	זכר 	רבים	_סו_ג_רים
פעל 	הווה	ראשון	נקבה	רבים	_סו_ג_רות
פעל 	הווה	שני 	זכר 	רבים	_סו_ג_רים
פעל 	הווה	שני 	נקבה	רבים	_סו_ג_רות
פעל 	הווה	שלישי	זכר 	רבים	_סו_ג_רים
פעל 	הווה	שלישי	נקבה	רבים	_סו_ג_רות
פעל 	עתיד	ראשון	זכר 	יחיד	א_ס_ג_ר
פעל 	עתיד	ראשון	נקבה	יחיד	א_ס_ג_ר
פעל 	עתיד	שני 	זכר 	יחיד	ת_ס_ג_ר
פעל 	עתיד	שני 	נקבה	יחיד	ת_ס_ג_רי
פעל 	עתיד	שלישי	זכר 	יחיד	י_ס_ג_ר
פעל 	עתיד	שלישי	נקבה	יחיד	ת_ס_ג_ר
פעל 	עתיד	ראשון	זכר 	רבים	נ_ס_ג_ר
פעל 	עתיד	ראשון	נקבה	רבים	נ_ס_ג_ר
פעל 	עתיד	שני 	זכר 	רבים	ת_ס_ג_רו
פעל 	עתיד	שני 	נקבה	רבים	ת_ס_ג_רנה
